office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,Directions,precinct,Address 2,city,state,zip,start_time,end_time,notes
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,AJO FEDERATED CHURCH,Pima 001,101 W LOMITA AVENUE,Tucson,AZ,85321,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,"WHY DOMESTIC WATER IMPROVEMENT DISTRICT, HIGHWAY 85 SOUTH",Pima 002,341 S SONOITA WAY,Tucson,AZ,85321,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,SCHUK TOAK DISTRICT OFFICE,Pima 003,"HIGHWAY 86, MILE POST 126.5",Tucson,AZ,85653,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,SELLS DISTRICT OFFICE,Pima 004,ARIZONA HIGHWAY 86 AND MILE POST 112,Tucson,AZ,85653,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,MUSD - ROADRUNNER ELEMENTARY SCHOOL,Pima 005,16651 W CALLE CARMELA,Tucson,AZ,85653,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,TOWN OF MARANA PARKS & RECREATION DEPARTMENT,Pima 006,13251 N LON ADAMS ROAD,Tucson,AZ,85653,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,ROBLES RANCH COMMUNITY CENTER,Pima 007,16150 W AJO WAY,Tucson,AZ,85735,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,ARIVACA OLD SCHOOL BUILDING,Pima 008,17180 W 4TH ST,Tucson,AZ,85705,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,MORRIS K UDALL RECREATION CENTER,Pima 009,7200 E TANQUE VERDE ROAD,Tucson,AZ,85715,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,EAST SOCIAL CENTER,Pima 010,7 S ABREGO DRIVE,Tucson,AZ,85614,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,AMERICAN LEGION POST 109,Pima 011,15921 S HOUGHTON ROAD,Tucson,AZ,85641,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,HOLIDAY INN EXPRESS ORO VALLEY,Pima 012,11075 N ORACLE ROAD,Tucson,AZ,85737,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,ORO VALLEY CHURCH OF THE NAZARENE,Pima 013,500 W CALLE CONCORDIA,Tucson,AZ,85704,06:00:00 - 07:00,19:00:00 - 07:00,
Pima County,County Recorder,":election,:registration",ocd-division/country:us/state:az/county:pima,Pima County AZ,http://www.recorder.Pima.gov/,"(520) 724-4330, 520-724-6830",recorder@recorder.pima.gov,,Pima 014,7800 N SCHISLER DRIVE,Tucson,AZ,85743,06:00:00 - 07:00,19:00:00 - 07:00,
