office-name,ocd-division,homepage-url,phone,email,location name,address1,address2,city,state,zip,start_time,end_time,start_date,end_date,notes
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/12/16,10/12/16,OCt 12 - Nov 7 7:00a.m. - 5:00p.m. 2 locations: Chinle Road Yard and Ft. Defiance Road Yard (see http://www.co.apache.az.us/wp-content/uploads/2016/08/EarlyVoting-Flyer2.pdf) 
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/19/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/26/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/2/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/12/16,10/12/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/19/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/26/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/2/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,St. John's Recorder's Office,75 W Cleveland St,,St Johns,AZ,85936,6:30:00 - 06:00,17:30:00 - 07:00,10/24/16,10/27/16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,St. John's Recorder's Office,75 W Cleveland St,,St Johns,AZ,85936,6:30:00 - 06:00,17:30:00 - 07:00,10/31/16,11/3/16,
