county,ocd_division,homepage_url,phone,email,loc_name,street,dirs,city,state,zip_code,start_time,end_time,start_date,end_date,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/12/16,10/12/16,OCt 12 - Nov 7 7:00a.m. - 5:00p.m. 2 locations: Chinle Road Yard and Ft. Defiance Road Yard (see http://www.co.apache.az.us/wp-content/uploads/2016/08/EarlyVoting-Flyer2.pdf) ,1,"Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho28235777,false,AZ,,,,poll8424314
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/19/16,,2,"Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho28235777,false,AZ,,,,poll8424314
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/26/16,,3,"Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho28235777,false,AZ,,,,poll8424314
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/2/16,,4,"Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho28235777,false,AZ,,,,poll8424314
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Chinle Road Yard, Highway 191,,Chinle,AZ,86503,7:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16,,5,"Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho28235777,false,AZ,,,,poll8424314
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/12/16,10/12/16,,6,"Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho31466304,false,AZ,,,,poll70458343
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/19/16,,7,"Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho31466304,false,AZ,,,,poll70458343
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/26/16,,8,"Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho31466304,false,AZ,,,,poll70458343
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/2/16,,9,"Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho31466304,false,AZ,,,,poll70458343
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,Fort Defiance Road Yard, Indn Route 12,,Fort Defiance,AZ,86504,7:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16,,10,"Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho31466304,false,AZ,,,,poll70458343
