Spr,Name,ocd-division,division - description,homepage - url,phone,email,name,address1,address2,city,state,zip,start_time,end_time,start_date,end_date,notes
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"8-6 M-F , 10-4 two Saturdays prior to election, Monday before the election 8-5"
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,17:00:00 - 05:00,11/7/2016,11/7/2016,
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m."
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m."
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m."
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m."
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m."
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk,1 East 7th St.,Suite 103,Mountain Home,AR,72653,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"1. Yes, early voting takes place in the Courthouse at the Clerk's Office.
 2. By law the hours for early voting are 8 a.m. to 6 p.m. M-F, and 10-4 on Saturdays. Early voting (again by law) ends at 5 p.m. on Monday Nov. 7."
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk,1 East 7th St.,Suite 103,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk,1 East 7th St.,Suite 103,Mountain Home,AR,72653,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk,1 East 7th St.,Suite 103,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Baxter County Clerk,1 East 7th St.,Suite 103,Mountain Home,AR,72653,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Twin Lakes Plaza,759 Hwy 62,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/24/2016,10/28/2016,
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,Twin Lakes Plaza,759 Hwy 62,,Mountain Home,AR,72653,10:00:00 - 05:00,16:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office,215 East Central Ave,,Bentonville,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office,215 East Central Ave,,Bentonville,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office,215 East Central Ave,,Bentonville,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office,215 East Central Ave,,Bentonville,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Benton County,County Clerk,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,Benton County Clerk's Office,215 East Central Ave,,Bentonville,AR,72712,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,Rogers,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,Rogers,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,Rogers,AR,72712,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,Rogers,AR,72712,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,
Benton County,County Clerk - Rogers,ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,,1428 W. Walnut St.,,Rogers,AR,72712,08:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,
