election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ar/county:arkansas,ocd-division/country:us/state:ar/county:arkan0005,poll15704214 poll21329873,st05,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ar/county:ashley,ocd-division/country:us/state:ar/county:ash0011,poll58688282,st05,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ar/county:baxter,ocd-division/country:us/state:ar/county:bax0021,poll57422531 poll8757651,st05,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ar/county:benton,ocd-division/country:us/state:ar/county:ben0049,poll34443286 poll26025197 poll6329575 poll6687891 poll45827819 poll2912177 poll66012437 poll81671886 poll83807781 poll40131738,st05,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ar/county:boone,ocd-division/country:us/state:ar/county:bo0053,poll15021816,st05,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ar/county:bradley,ocd-division/country:us/state:ar/county:brad0059,poll63965051,st05,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ar/county:calhoun,ocd-division/country:us/state:ar/county:calh0065,poll77369785,st05,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ar/county:carroll,ocd-division/country:us/state:ar/county:carr0076,poll92263209 poll89061978,st05,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ar/county:chicot,ocd-division/country:us/state:ar/county:chi0080,poll32392040,st05,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ar/county:clark,ocd-division/country:us/state:ar/county:cl0084,poll79430252,st05,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ar/county:clay,ocd-division/country:us/state:ar/county:c0090,poll28378054 poll37911088,st05,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ar/county:cleburne,ocd-division/country:us/state:ar/county:clebu0097,poll34633431,st05,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ar/county:cleveland,ocd-division/country:us/state:ar/county:clevel0106,poll71360343,st05,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ar/county:columbia,ocd-division/country:us/state:ar/county:colum0107,poll46229643,st05,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ar/county:conway,ocd-division/country:us/state:ar/county:con0112,poll83140417,st05,other,,loc0015
