ocd-division,County,Location Name,Address 1,Address 2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,is_drop_box
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00 - 07:00,17:00:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,9:00:00 - 07:00,15:00:00 - 07:00,10/29/16,10/30/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,9:00:00 - 07:00,15:00:00 - 07:00,11/5/16,11/6/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,08:00:00 - 07:00,17:00:00 - 07:00,10/13/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 07:00,16:00:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 07:00,16:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 07:00,16:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 07:00,16:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 07:00,16:00:00 - 07:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,08:00:00 - 07:00,16:00:00 - 07:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,08:00:00 - 07:00,16:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,08:00:00 - 07:00,16:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,08:00:00 - 07:00,16:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,08:00:00 - 08:00,20:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,08:00:00 - 07:00,17:00:00 - 07:00,10/10/16,10/14/16,,,,,
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,,,,,
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,,,,,
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,,,,
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,,,,
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,08:00:00 - 07:00,17:00:00 - 07:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,08:00:00 - 07:00,17:00:00 - 07:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,08:00:00 - 07:00,17:00:00 - 07:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,08:00:00 - 07:00,17:00:00 - 07:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:ca/county:el_dorado,El Dorado County,Elections Office,2850 Fairlane Ct,,,Placerville,CA,95667,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
