office-name,ocd-division,same-day-reg,election-date,election-name,registration-deadline,registration-deadline-display,ballot-request-deadline,ballot-request-deadline-display
Alaska,ocd-division/country:us/state:ak,,2016-11-08,General Election,2016-10-09,"Sunday, October 9, 2016",2016-10-29,"Saturday, October 29, 2016"
Alabama,ocd-division/country:us/state:al,,2016-11-08,General Election,2016-10-24,"Monday, October 24, 2016",2016-11-03,"Thursday, November 3, 2016"
Arkansas,ocd-division/country:us/state:ar,,2016-11-08,General Election,2016-10-10,"Monday, October 10, 2016",2016-11-01,"Tuesday, November 1, 2016"
Arizona,ocd-division/country:us/state:az,,2016-11-08,General Election,2016-10-10,"Monday, October 10, 2016",2016-10-28,"Friday, October 28, 2016"
California,ocd-division/country:us/state:ca,TRUE,2016-11-08,General Election,2016-10-24,"Monday, October 24, 2016",2016-11-01,"Tuesday, November 1, 2016"
Colorado,ocd-division/country:us/state:co,TRUE,2016-11-08,General Election,2016-10-31,"Monday, October 31, 2016",2016-11-01,"Tuesday, November 1, 2016"
Connecticut,ocd-division/country:us/state:ct,TRUE,2016-11-08,General Election,2016-11-01,"Tuesday, November 1, 2016",2016-11-07,"Monday, November 7, 2016"
District of Columbia,ocd-division/country:us/district:dc,TRUE,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-01,"Tuesday, November 1, 2016"
Delaware,ocd-division/country:us/state:de,,2016-11-08,General Election,2016-10-15,"Saturday, October 15, 2016",2016-11-04,"Friday, November 4, 2016"
Florida,ocd-division/country:us/state:fl,,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-02,"Wednesday, November 2, 2016"
Georgia,ocd-division/country:us/state:ga,,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-04,"Friday, November 4, 2016"
Hawaii,ocd-division/country:us/state:hi,,2016-11-08,General Election,2016-10-10,"Monday, October 10, 2016",2016-11-01,"Tuesday, November 1, 2016"
Iowa,ocd-division/country:us/state:ia,TRUE,2016-11-08,General Election,2016-10-29,"Saturday, October 29, 2016",2016-11-04,"Friday, November 4, 2016"
Idaho,ocd-division/country:us/state:id,TRUE,2016-11-08,General Election,2016-10-14,"Friday, October 14, 2016",2016-11-02,"Wednesday, November 2, 2016"
Illinois,ocd-division/country:us/state:il,TRUE,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-03,"Thursday, November 3, 2016"
Indiana,ocd-division/country:us/state:in,,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-10-31,"Monday, October 31, 2016"
Kansas,ocd-division/country:us/state:ks,,2016-11-08,General Election,2016-10-18,"Tuesday, October 18, 2016",2016-11-04,"Friday, November 4, 2016"
Kentucky,ocd-division/country:us/state:ky,,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-01,"Tuesday, November 1, 2016"
Louisiana,ocd-division/country:us/state:la,,2016-11-08,General Election,2016-10-11,"Tuesday, October 11, 2016",2016-11-04,"Friday, November 4, 2016"
Massachusetts,ocd-division/country:us/state:ma,,2016-11-08,General Election,2016-10-19,"Wednesday, October 19, 2016",2016-11-07,"Monday, November 7, 2016"
Maryland,ocd-division/country:us/state:md,TRUE,2016-11-08,General Election,2016-10-18,"Tuesday, October 18, 2016",2016-11-01,"Tuesday, November 1, 2016"
