county,address_line,directions,start_time,end_time,start_date,end_date
County of Hawaii,"County of Hawaii Aupuni Center
Conference Room
101 Pauahi Street, Suite 1 Hilo, Hawaii 96720",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
County of Hawaii,"West Hawaii Civic Center
Community Room (Building G) 74-5044 Ane Keohokalole Highway Kailua Kona, Hawaii 96740",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-04-2016
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,8:00:00 - 09:00,12:00:00 - 09:00,11-05-2016,11-05-2016
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,9:00:00 - 09:00,12:00:00 - 09:00,11-25-2016,11-03-2016
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,13:00:00 - 09:00,15:00:00 - 09:00,10-25-2016,11-03-2016
County of Kauai,"Lihue Neighborhood Center
3353 Eono Street Lihue, Hawaii 96766",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
County of Maui,"Office of the County Clerk
200 South High Street, Room #708 Wailuku, Hawaii 96793",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,8:00:00 - 09:00,12:00:00 - 09:00,10-25-2016,11-05-2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,13:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,8:00:00 - 09:00,12:00:00 - 09:00,10-25-2016,11-05-2016
City & County of Honolulu,"Honolulu Hale, 530 South King Street Honolulu, Hawaii 96813",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
City & County of Honolulu,"Kapolei Hale
1000 Uluohia Street Kapolei, Hawaii 96707",,8:00:00 - 09:00,16:00:00 - 09:00,10-25-2016,11-05-2016
