id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0002,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0003,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0004,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0005,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0006,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0007,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0008,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0009,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0010,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0011,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0012,2016-11-08,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
