county,loc_name,address,instructions,start_time,end_time,start_date,end_date,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
County of Hawaii,County of Hawaii Aupuni Center,"101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16,1,County of Hawaii Aupuni Center,"101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,08:00 AM - 04:00 PM,,ho16176166,false,true,,,,poll16176166
County of Hawaii,County of Hawaii Aupuni Center,"101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16,2,County of Hawaii Aupuni Center,"101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,08:00 AM - 04:00 PM,,ho16176166,false,true,,,,poll16176166
County of Hawaii,West Hawaii Civic Center,"74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16,3,West Hawaii Civic Center,"74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),08:00 AM - 04:00 PM,,ho12878605,false,true,,,,poll12878605
County of Hawaii,West Hawaii Civic Center,"74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16,4,West Hawaii Civic Center,"74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),08:00 AM - 04:00 PM,,ho12878605,false,true,,,,poll12878605
County of Hawaii,Waimea Community Center ,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/28/16,5,Waimea Community Center,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,08:00 AM - 04:00 PM,,ho9274332,false,true,,,,poll9274332
County of Hawaii,Waimea Community Center ,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,12:00:00 - 09:00,10/29/16,10/29/16,6,Waimea Community Center,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,08:00 AM - 12:00 PM,,ho9274332,false,true,,,,poll9274332
County of Hawaii,Waimea Community Center ,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/4/16,7,Waimea Community Center,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,08:00 AM - 04:00 PM,,ho9274332,false,true,,,,poll9274332
County of Hawaii,Waimea Community Center ,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,12:00:00 - 09:00,11/5/16,11/5/16,8,Waimea Community Center,"65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,08:00 AM - 12:00 PM,,ho9274332,false,true,,,,poll9274332
County of Hawaii,Pahala Community Center ,"96-1149 Kamani Street, Pahala, Hawaii 96777",,9:00:00 - 09:00,12:00:00 - 09:00,10/25/16,10/28/16,9,Pahala Community Center,"96-1149 Kamani Street, Pahala, Hawaii 96777",,09:00 AM - 12:00 PM,,ho62356581,false,true,,,,poll62356581
County of Hawaii,Pahala Community Center ,"96-1149 Kamani Street, Pahala, Hawaii 96777",,13:00:00 - 09:00,15:00:00 - 09:00,10/31/16,11/3/16,10,Pahala Community Center,"96-1149 Kamani Street, Pahala, Hawaii 96777",,01:00 PM - 03:00 PM,,ho62356581,false,true,,,,poll62356581
County of Kauai,Lihue Neighborhood Center ,"3353 Eono Street, Lihue, Hawaii 96766",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16,13,Lihue Neighborhood Center,"3353 Eono Street, Lihue, Hawaii 96766",,08:00 AM - 04:00 PM,,ho80852316,false,true,,,,poll80852316
County of Kauai,Lihue Neighborhood Center ,"3353 Eono Street, Lihue, Hawaii 96766",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16,14,Lihue Neighborhood Center,"3353 Eono Street, Lihue, Hawaii 96766",,08:00 AM - 04:00 PM,,ho80852316,false,true,,,,poll80852316
County of Maui,Office of the County Clerk ,"200 South High Street, Room #708, Wailuku, Hawaii 96793",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16,15,Office of the County Clerk,"200 South High Street, Room #708, Wailuku, Hawaii 96793",,08:00 AM - 04:00 PM,,ho79222736,false,true,,,,poll79222736
County of Maui,Office of the County Clerk ,"200 South High Street, Room #708, Wailuku, Hawaii 96793",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16,16,Office of the County Clerk,"200 South High Street, Room #708, Wailuku, Hawaii 96793",,08:00 AM - 04:00 PM,,ho79222736,false,true,,,,poll79222736
County of Maui,Mitchell Pauole Center ,"90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,10/29/16,10/29/16,17,Mitchell Pauole Center,"90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,08:00 AM - 12:00 PM,,ho67754535,false,true,,,,poll67754535
