county,address_line,directions,start_time,end_time,start_date,end_date
County of Hawaii,"County of Hawaii Aupuni Center
Conference Room
101 Pauahi Street, Suite 1 Hilo, Hawaii 96720",,800,1600,10/25/2016,11/5/2016
County of Hawaii,"West Hawaii Civic Center
Community Room (Building G) 74-5044 Ane Keohokalole Highway Kailua Kona, Hawaii 96740",,800,1600,10/25/2016,11/5/2016
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,800,1600,10/25/2016,11/4/2016
County of Hawaii,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",,800,1200,11/5/2016,11/5/2016
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,900,1200,11/25/2016,11/3/2016
County of Hawaii,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",,1300,1500,10/25/2016,11/3/2016
County of Kauai,"Lihue Neighborhood Center
3353 Eono Street Lihue, Hawaii 96766",,800,1600,10/25/2016,11/5/2016
County of Maui,"Office of the County Clerk
200 South High Street, Room #708 Wailuku, Hawaii 96793",,800,1600,10/25/2016,11/5/2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,800,1200,10/25/2016,11/5/2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,1300,1600,10/25/2016,11/5/2016
County of Maui,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",,800,1200,10/25/2016,11/5/2016
City & County of Honolulu,"Honolulu Hale, 530 South King Street Honolulu, Hawaii 96813",,800,1600,10/25/2016,11/5/2016
City & County of Honolulu,"Kapolei Hale
1000 Uluohia Street Kapolei, Hawaii 96707",,800,1600,10/25/2016,11/5/2016
