office_name,office_title,ocd_division,description,homepage,phone,email,loc_name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,appointment_one,appointment_two,appointment_three,subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10/17/16,10/21/16,no,no,,,1,Ada County Clerk,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,07:00 AM - 06:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10/24/16,10/28/16,no,no,,,2,Ada County Clerk,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,07:00 AM - 06:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10/31/16,11/3/16,no,no,,,3,Ada County Clerk,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,07:00 AM - 06:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,10:00:00 - 06:00,16:00:00 - 06:00,10/29/16,10/29/16,no,no,,,4,Ada County Clerk,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,10:00 AM - 04:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,no,no,,,5,Ada County Clerk,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,07:00 AM - 05:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10/17/16,10/21/16,,,,,6,Meridien City Hall,"33 E. Broadway Ave., Meridien, ID 83642",,09:00 AM - 06:00 PM,,ho3357057,false,true,,,,poll82673358
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10/24/16,10/28/16,,,,,7,Meridien City Hall,"33 E. Broadway Ave., Meridien, ID 83642",,09:00 AM - 06:00 PM,,ho3357057,false,true,,,,poll82673358
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10/31/16,11/3/16,,,,,8,Meridien City Hall,"33 E. Broadway Ave., Meridien, ID 83642",,09:00 AM - 06:00 PM,,ho3357057,false,true,,,,poll82673358
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,,,,,9,Meridien City Hall,"33 E. Broadway Ave., Meridien, ID 83642",,09:00 AM - 05:00 PM,,ho3357057,false,true,,,,poll82673358
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Eagle Senior Center,312 E. State St.,,Eagle,ID,83616,9:00:00 - 06:00,18:00:00 - 06:00,10/17/16,10/21/16,,,,,10,Eagle Senior Center,"312 E. State St., Eagle, ID 83616",,09:00 AM - 06:00 PM,,ho82880809,false,true,,,,poll17061401
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Eagle Senior Center,312 E. State St.,,Eagle,ID,83616,9:00:00 - 06:00,18:00:00 - 06:00,10/24/16,10/28/16,,,,,11,Eagle Senior Center,"312 E. State St., Eagle, ID 83616",,09:00 AM - 06:00 PM,,ho82880809,false,true,,,,poll17061401
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Eagle Senior Center,312 E. State St.,,Eagle,ID,83616,9:00:00 - 06:00,18:00:00 - 06:00,10/31/16,11/3/16,,,,,12,Eagle Senior Center,"312 E. State St., Eagle, ID 83616",,09:00 AM - 06:00 PM,,ho82880809,false,true,,,,poll17061401
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Eagle Senior Center,312 E. State St.,,Eagle,ID,83616,9:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,,,,,13,Eagle Senior Center,"312 E. State St., Eagle, ID 83616",,09:00 AM - 05:00 PM,,ho82880809,false,true,,,,poll17061401
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Boise City Hall,150 N. Capitol Blvd.,,Boise,ID,83702,9:00:00 - 06:00,18:00:00 - 06:00,10/17/16,10/21/16,,,,,14,Boise City Hall,"150 N. Capitol Blvd., Boise, ID 83702",,09:00 AM - 06:00 PM,,ho40741415,false,true,,,,poll90221994
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Boise City Hall,150 N. Capitol Blvd.,,Boise,ID,83702,9:00:00 - 06:00,18:00:00 - 06:00,10/24/16,10/28/16,,,,,15,Boise City Hall,"150 N. Capitol Blvd., Boise, ID 83702",,09:00 AM - 06:00 PM,,ho40741415,false,true,,,,poll90221994
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Boise City Hall,150 N. Capitol Blvd.,,Boise,ID,83702,9:00:00 - 06:00,18:00:00 - 06:00,10/31/16,11/3/16,,,,,16,Boise City Hall,"150 N. Capitol Blvd., Boise, ID 83702",,09:00 AM - 06:00 PM,,ho40741415,false,true,,,,poll90221994
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Boise City Hall,150 N. Capitol Blvd.,,Boise,ID,83702,9:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,,,,,17,Boise City Hall,"150 N. Capitol Blvd., Boise, ID 83702",,09:00 AM - 05:00 PM,,ho40741415,false,true,,,,poll90221994
