start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-05:00,16:30:00-05:00,,,,2016-09-29,2016-09-30,ho20454805,sch0001
08:30:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho20454805,sch0002
08:30:00-05:00,16:30:00-05:00,,,,2016-10-11,2016-10-14,ho20454805,sch0003
08:30:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho20454805,sch0004
09:00:00-05:00,11:30:00-05:00,,,,2016-10-22,2016-10-22,ho20454805,sch0005
08:30:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho20454805,sch0006
08:30:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho20454805,sch0007
09:00:00-05:00,11:30:00-05:00,,,,2016-11-05,2016-11-05,ho20454805,sch0008
08:30:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho20454805,sch0009
08:00:00-05:00,12:00:00-05:00,,,,2016-09-29,2016-09-30,ho15230827,sch0010
13:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho15230827,sch0011
08:00:00-05:00,12:00:00-05:00,,,,2016-10-03,2016-10-07,ho15230827,sch0012
13:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho15230827,sch0013
08:00:00-05:00,12:00:00-05:00,,,,2016-10-11,2016-10-14,ho15230827,sch0014
13:00:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho15230827,sch0015
08:00:00-05:00,12:00:00-05:00,,,,2016-10-17,2016-10-21,ho15230827,sch0016
13:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho15230827,sch0017
08:00:00-05:00,12:00:00-05:00,,,,2016-10-24,2016-10-28,ho15230827,sch0018
13:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho15230827,sch0019
08:00:00-05:00,12:00:00-05:00,,,,2016-10-31,2016-11-04,ho15230827,sch0020
13:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho15230827,sch0021
08:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho15230827,sch0022
08:00:00-06:00,12:00:00-06:00,,,,2016-11-07,2016-11-07,ho15230827,sch0023
13:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho15230827,sch0024
08:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho97026573,sch0025
08:00:00-05:00,16:00:00-05:00,,,,2016-10-03,2016-10-07,ho97026573,sch0026
08:00:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho97026573,sch0027
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho97026573,sch0028
08:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho97026573,sch0029
08:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho97026573,sch0030
08:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho97026573,sch0031
08:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho97026573,sch0032
08:30:00-05:00,17:00:00-05:00,,,,2016-09-29,2016-09-30,ho71785435,sch0033
08:30:00-05:00,17:00:00-05:00,,,,2016-10-03,2016-10-07,ho71785435,sch0034
08:30:00-05:00,17:00:00-05:00,,,,2016-10-10,2016-10-14,ho71785435,sch0035
08:30:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho71785435,sch0036
08:30:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho71785435,sch0037
08:30:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho71785435,sch0038
09:00:00-05:00,12:00:00-05:00,,,,2016-11-05,2016-11-05,ho71785435,sch0039
08:30:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho71785435,sch0040
08:30:00-05:00,16:30:00-05:00,,,,2016-09-29,2016-09-30,ho21216438,sch0041
08:30:00-05:00,16:30:00-05:00,,,,2016-10-03,2016-10-07,ho21216438,sch0042
08:30:00-05:00,16:30:00-05:00,,,,2016-10-11,2016-10-14,ho21216438,sch0043
08:30:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho21216438,sch0044
08:30:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho21216438,sch0045
08:30:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho21216438,sch0046
08:30:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho21216438,sch0047
08:00:00-05:00,16:00:00-05:00,,,,2016-09-29,2016-09-30,ho10351172,sch0048
