name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County Court House,"507 Vermont, Quincy, IL, 62301",,08:30 AM - 04:30 PM,,ho20454805,false,true,,,,poll31077257
Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
Bond County Clerk County Office,"203 West College, Greenville, IL, 62246",,08:00 AM - 04:00 PM,,ho97026573,false,true,,,,poll30368027
Boone County Clerk Office,"1212 Logan Avenue, Ste 103, Belvidere, IL, 61008",,08:30 AM - 05:00 PM,,ho71785435,false,true,,,,poll38707059
Brown County Court House,"200 Court Street, Mt. Sterling, IL, 62353",Room 4,08:30 AM - 04:30 PM,,ho21216438,false,true,,,,poll56487458
Clerk Office in Bureau County Court House,"700 South Main Street, Princeton, IL, 61356",Room 104,08:00 AM - 04:00 PM,,ho10351172,false,true,,,,poll60506096
Princeton Moose Lodge,"1339 North Euclid Ave, Princeton, IL, 61356",,08:00 AM - 04:00 PM,,ho76758926,false,true,,,,poll1555226
Spring Valley City Hall,"215 North Greenwood, #2, Spring Valley, IL, 61362",,09:00 AM - 03:00 PM,,ho32034302,false,true,,,,poll41604341
Calhoun County Clerk Office,"106 North County Road, Hardin, IL, 62047",,08:30 AM - 04:30 PM,,ho23700253,false,true,,,,poll17676132
Carroll County Clerk Office,"301 North Main, Mt. Carroll, IL, 61053",,08:30 AM - 04:30 PM,,ho4408755,false,true,,,,poll68623251
Cass County Clerk Office,"100 East Springfield Street, Virginia, IL, 62691",,08:30 AM - 04:30 PM,,ho38353525,false,true,,,,poll51959089
Beardstown County Clerk Office,"105 West 3rd St, Beardstown, IL, 62618",,08:00 AM - 05:00 PM,,ho11117794,false,true,,,,poll9126647
Christian County Clerk Office,"101 South Main, Taylorville, IL, 62568",2nd Floor,08:00 AM - 04:00 PM,,ho31987397,false,true,,,,poll34741549
Clark County Clerk's Office,"501 Archer, Marshall, IL, 62441",,08:00 AM - 04:00 PM,,ho92907567,false,true,,,,poll73219600
Clay County Court House,"111 Chestnut, Louisville, IL, 62858",Room 106,08:00 AM - 04:00 PM,,ho81816838,false,true,,,,poll62866531
Clinton County Clerk,"850 Fairfax, Carlyle, IL, 62231",,08:00 AM - 04:30 PM,,ho20405902,false,true,,,,poll9661923
Coles County Clerk Office,"651 Jackson Avenue, Charleston, IL, 61920",Room 122,08:30 AM - 04:30 PM,,ho91187969,false,true,,,,poll99892409
Mattoon City Clerk Office,"208 North 19th St, Mattoon, IL, 61938",,08:00 AM - 04:30 PM,,ho18993486,false,true,,,,poll57714966
Eastern Illinois University,"600 Lincoln Ave, Charleston, IL, 61920","Martin Luther King, Jr.; University Union Bridge Lounge",10:00 AM - 05:00 PM,,ho16884533,false,true,,,,poll10908144
Alsip Village Hall,"4500 W. 123rd St., Alsip, IL, 60803",,09:00 AM - 05:00 PM,,ho53960984,false,true,,,,poll20605088
Arlington Heights Village Hall,"33 S. Arlington Heights Rd, Arlington Heights, IL, 60005",,09:00 AM - 05:00 PM,,ho36204145,false,true,,,,poll67957720
Barrington Hills Village Hall,"112 Algonquin Rd., Barrington Hills, IL, 60010",,09:00 AM - 05:00 PM,,ho39727483,false,true,,,,poll53429476
Bellwood Village Hall,"3200 Washington Blvd, Bellwood, IL, 60104",,09:00 AM - 05:00 PM,,ho23021297,false,true,,,,poll47510974
Berwyn City Hall,"6700 W. 26th St, Berwyn, IL, 60402",,09:00 AM - 05:00 PM,,ho25333594,false,true,,,,poll32452024
Bridgeview Courthouse,"10220 S. 76th Ave., Bridgeview, IL, 60455",Room 238,09:00 AM - 05:00 PM,,ho5985654,false,true,,,,poll51523528
Brookfield Village Hall,"8820 Brookfield Ave, Brookfield, IL, 60513",,09:00 AM - 05:00 PM,,ho66071924,false,true,,,,poll45746752
Burbank (Prairie Trails Library District),"8449 S. Moody Ave, Burbank, IL, 60459",,09:00 AM - 05:00 PM,,ho99370646,false,true,,,,poll11753597
Calumet City Public Library,"660 S. Manistee Ave, Calumet City, IL, 60409",,09:00 AM - 05:00 PM,,ho5672968,false,true,,,,poll62670290
Calumet Township Community Center,"12633 S. Ashland Ave, Calumet Park, IL, 60827",,09:00 AM - 05:00 PM,,ho55420028,false,true,,,,poll90477197
Cicero Community Center,"2250 S. 49th Ave, Cicero, IL, 60804",,09:00 AM - 05:00 PM,,ho8287073,false,true,,,,poll85540292
Cicero PSO Building,"5410 W. 34th St, Cicero, IL, 60804",,09:00 AM - 05:00 PM,,ho9818855,false,true,,,,poll26617267
Cook County Clerk's Office,"69 West Washington, Chicago, IL, 60602",Ste 500,09:00 AM - 05:00 PM,,ho27241060,false,true,,,,poll3548405
Crestwood (Andrew Biela Senior Citizen Center),"4545 Midlothian Turnpike, Crestwood, IL, 60445",,09:00 AM - 05:00 PM,,ho64062322,false,true,,,,poll12675102
Des Plaines Public Library,"1501 Ellinwood St, Des Plaines, IL, 60016",,09:00 AM - 05:00 PM,,ho44438966,false,true,,,,poll60357629
Elk Grove Village Hall,"901 Wellington Ave, Elk Grove Village, IL, 60007",,09:00 AM - 05:00 PM,,ho28995278,false,true,,,,poll26047121
Elmwood Park Village Hall,"11 W. Conti Pkwy, Elmwood Park, IL, 60707",,09:00 AM - 05:00 PM,,ho95898686,false,true,,,,poll99036536
Evanston Civic Center,"2100 Ridge Ave, Evanston, IL, 60201",,09:00 AM - 05:00 PM,,ho59356937,false,true,,,,poll51919532
Franklin Park Village Hall,"9500 Belmont Ave, Franklin Park, IL, 60131",,09:00 AM - 05:00 PM,,ho81612897,false,true,,,,poll76510306
Glenview Village Hall,"2500 E. Lake Ave, Glenview, IL, 60025",,09:00 AM - 05:00 PM,,ho87723499,false,true,,,,poll64996771
Hodgkins Village Hall,"8990 Lyons St, Hodgkins, IL, 60525",,09:00 AM - 05:00 PM,,ho41440674,false,true,,,,poll93434760
Hoffman Estates Village Hall,"1900 Hassell Rd, Hoffman Estates, IL, 60169",,09:00 AM - 05:00 PM,,ho55006564,false,true,,,,poll89572274
Lansing Public Library,"2750 Indiana Ave, Lansing, IL, 60438",,09:00 AM - 05:00 PM,,ho7760027,false,true,,,,poll64500395
Lemont Township Hall,"1115 Warner Ave, Lemont, IL, 60439",,09:00 AM - 05:00 PM,,ho2361984,false,true,,,,poll66208792
Lynwood Senior Youth Center,"21490 Lincoln Hwy, Lynwood, IL, 60411",,09:00 AM - 05:00 PM,,ho54946082,false,true,,,,poll51649804
Markham Courthouse,"16501 S. Kedzie Ave., Markham, IL, 60428",Room 238,09:00 AM - 05:00 PM,,ho78379625,false,true,,,,poll27939442
Matteson Community Center,"20642 Matteson Ave, Matteson, IL, 60443",,09:00 AM - 05:00 PM,,ho46121648,false,true,,,,poll71950128
Maywood Courthouse - Whitcomb Building,"1311 Maybrook Sq., Maywood, IL, 60153",Room 104,09:00 AM - 05:00 PM,,ho66238681,false,true,,,,poll64204080
Melrose Park Village Hall,"1000 N. 25th Ave, Melrose Park, IL, 60160",,09:00 AM - 05:00 PM,,ho79969699,false,true,,,,poll17334584
Mount Prospect Village Hall,"50 S. Emerson St, Mount Prospect, IL, 60056",,09:00 AM - 05:00 PM,,ho38512779,false,true,,,,poll39552159
Niles Village Hall,"1000 Civic Center Drive, Niles, IL, 60714",,09:00 AM - 05:00 PM,,ho54243811,false,true,,,,poll80794170
Norridge Village Hall,"4000 N. Olcott Ave, Norridge, IL, 60706",,09:00 AM - 05:00 PM,,ho72056873,false,true,,,,poll40122168
Northbrook Village Hall,"1225 Cedar Lane, Northbrook, IL, 60062",,09:00 AM - 05:00 PM,,ho93627904,false,true,,,,poll12477252
Oak Forest City Hall,"15440 S. Central Ave, Oak Forest, IL, 60452",,09:00 AM - 05:00 PM,,ho99086071,false,true,,,,poll36820519
Oak Lawn Village Hall,"9446 S. Raymond Ave, Oak Lawn, IL, 60453",,09:00 AM - 05:00 PM,,ho25965144,false,true,,,,poll83226125
Oak Park Village Hall,"123 Madison St, Oak Park, IL, 60302",,09:00 AM - 05:00 PM,,ho64101865,false,true,,,,poll18417071
Olympia Fields (Brookdale Senior Living),"3633 Breakers Dr, Olympia Fields, IL, 60461",,09:00 AM - 05:00 PM,,ho47744546,false,true,,,,poll68929311
Orland Township Hall,"14807 Ravinia Ave, Orland Park, IL, 60462",,09:00 AM - 05:00 PM,,ho83569827,false,true,,,,poll75034935
Palatine Village Hall,"200 E. Wood St, Palatine, IL, 60067",,09:00 AM - 05:00 PM,,ho45515472,false,true,,,,poll51413935
Palos Hills Community Center,"8455 W. 103rd St., Palos Hills, IL, 60456",,09:00 AM - 05:00 PM,,ho86117457,false,true,,,,poll25235028
Park Forest Village Hall,"350 Victory Blvd, Park Forest, IL, 60466",,09:00 AM - 05:00 PM,,ho24072374,false,true,,,,poll94032733
Park Ridge (Maine Park Leisure Center),"2701 W. Sibley St, Park Ridge, IL, 60068",,09:00 AM - 05:00 PM,,ho97579639,false,true,,,,poll21925327
Rolling Meadows Courthouse,"2121 Euclid Ave., Rolling Meadows, IL, 60008",Room 238,09:00 AM - 05:00 PM,,ho88121788,false,true,,,,poll16310449
Schaumburg (Trickster Art Gallery),"190 S. Roselle Rd, Schaumburg, IL, 60193",,09:00 AM - 05:00 PM,,ho39247105,false,true,,,,poll5913607
Skokie Courthouse,"5600 W. Old Orchard Rd., Skokie, IL, 60077",Room 149,09:00 AM - 05:00 PM,,ho85838271,false,true,,,,poll19869081
Skokie Village Hall,"5127 Oakton St, Skokie, IL, 60077",,09:00 AM - 05:00 PM,,ho90026705,false,true,,,,poll51256641
South Holland (Thornton Township Hall),"333 E. 162nd St, South Holland, IL, 60473",,09:00 AM - 05:00 PM,,ho60849167,false,true,,,,poll39771657
Stickney-Forest View Public Library,"6800 W. 43rd St, Stickney, IL, 60402",,09:00 AM - 05:00 PM,,ho33815043,false,true,,,,poll80148234
Streamwood Village Hall,"301 E. Irving Park Rd, Streamwood, IL, 60107",,09:00 AM - 05:00 PM,,ho27457317,false,true,,,,poll9655821
Tinley Park Village Hall,"16250 S. Oak Park Ave, Tinley Park, IL, 60477",,09:00 AM - 05:00 PM,,ho23553447,false,true,,,,poll11717014
Wheeling (Korean Cultural Center of Chicago),"9710 Capitol Dr, Wheeling, IL, 60090",,09:00 AM - 05:00 PM,,ho48350666,false,true,,,,poll67059489
Wilmette (Centennial Park),"2300 Old Glenview Rd, Wilmette, IL, 60091",,09:00 AM - 05:00 PM,,ho99136947,false,true,,,,poll77909625
Crawford Country Clerk Office,"100 Douglas, Robinson, IL, 62454",,08:00 AM - 04:00 PM,,ho32207719,false,true,,,,poll80014404
Cumberland County Clerk's Office,"140 Courthouse Square, Toledo, IL, 62468",,08:00 AM - 04:00 PM,,ho68760562,false,true,,,,poll7939656
De Witt County Clerk Office,"201 West Washington Street, Clinton, IL, 61727",,08:30 AM - 04:30 PM,,ho45470746,false,true,,,,poll48978701
Sycamore Campus Legislative Center in the Gathertorium,"200 N. Main Street, Sycamore, IL, 60178",,08:30 AM - 04:30 PM,,ho64633012,false,true,,,,poll5632533
DeKalb Township Building,"2323 S. 4th Street, DeKalb, IL, 60115",,08:30 AM - 04:30 PM,,ho78781209,false,true,,,,poll56492074
NIU-Holmes Student Center - Blackhawk Annex,"340 Carroll Ave, DeKalb, IL, 60115",,12:00 PM - 07:00 PM,,ho15958878,false,true,,,,poll44604994
Kirkland City Hall,"511 W. Main St., Kirkland, IL, 60146",,08:30 AM - 04:00 PM,,ho84988180,false,true,,,,poll12527178
Sandwich Fire Station,"310 E. Railroad St., Sandwich, IL, 60548",,08:30 AM - 04:00 PM,,ho80568272,false,true,,,,poll86629586
County Clerk Office,"401 South Center, Tuscola, IL, 61953",Ste 203,08:30 AM - 04:30 PM,,ho41306262,false,true,,,,poll45135532
DuPage County Election Commission Office,"421 North County Farm Road, Wheaton, IL, 60187",,08:30 AM - 04:30 PM,,ho83502591,false,true,,,,poll25798175
Naperville Municipal Center,"400 S. Eagle St, Naperville, IL, 60540",,08:30 AM - 07:30 PM,,ho10471767,false,true,,,,poll27431353
Olive Trees Condominiums,"200 E. Bailey Rd., Naperville, IL, 60563",Clubhouse,08:30 AM - 07:30 PM,,ho60753190,false,true,,,,poll54790161
Stratford Square Mall,"152 Stratford Square, Bloomingdale, IL, 60108",,08:30 AM - 07:30 PM,,ho10465354,false,true,,,,poll50502686
Fox Valley Mall,"195 Fox Valley Center Dr., Aurora, IL, 60504",,08:30 AM - 07:30 PM,,ho55839505,false,true,,,,poll87206576
Addison Township Office,"401 N. Addison Rd., Addison, IL, 60101",,08:30 AM - 07:30 PM,,ho34827568,false,true,,,,poll91638745
Bartlett Community Center,"700 S. Bartlett Rd., Bartlett, IL, 60103",,08:30 AM - 07:30 PM,,ho58910647,false,true,,,,poll29995990
Downers Grove Village Hall,"801 Burlington Ave., Downers Grove, IL, 60515",,08:30 AM - 07:30 PM,,ho96964216,false,true,,,,poll93960232
Elmhurst City Hall,"209 N. York St., Elmhurst, IL, 60126",,08:30 AM - 07:30 PM,,ho7378576,false,true,,,,poll46495303
Glen Ellyn Civic Center,"535 Duane St., Glen Ellyn, IL, 60137",,08:30 AM - 07:30 PM,,ho90630815,false,true,,,,poll43985802
Yorktown Shopping Center,"203 Yorktown Mall Drive, Lombard, IL, 60148",,08:30 AM - 07:30 PM,,ho19519950,false,true,,,,poll3145980
Edgar Clerk County Court House,"115 West Court Street, Paris, IL, 61944",Room J,08:00 AM - 04:00 PM,,ho70663314,false,true,,,,poll79258205
Edwards County Courthouse,"50 East Main, Albion, IL, 62806",,08:00 AM - 04:00 PM,,ho83709760,false,true,,,,poll71754423
Effingham County Clerk Office,"101 North 4th, Effingham, IL, 62401",Ste 201,08:00 AM - 04:00 PM,,ho89494206,false,true,,,,poll17686961
Fayette County Clerk Office,"221 South 7th Street, Vandalia, IL, 62471",,08:00 AM - 04:00 PM,,ho48813584,false,true,,,,poll55270677
Ford County Clerk Office,"200 West State Street, Room 101, Paxton, IL, 60957",Room 101,08:30 AM - 04:30 PM,,ho86159793,false,true,,,,poll21017807
