start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
07:30:00-04:00,18:00:00-04:00,,,,2016-10-11,2016-10-14,ho99772053,sch0001
07:30:00-04:00,18:00:00-04:00,,,,2016-10-18,2016-10-21,ho99772053,sch0002
07:30:00-04:00,18:00:00-04:00,,,,2016-10-25,2016-10-28,ho99772053,sch0003
07:30:00-04:00,18:00:00-04:00,,,,2016-11-01,2016-11-03,ho99772053,sch0004
07:00:00-04:00,17:00:00-04:00,,,,2016-10-11,2016-10-11,ho69566529,sch0005
09:00:00-04:00,19:00:00-04:00,,,,2016-10-13,2016-10-13,ho69566529,sch0006
07:00:00-04:00,17:00:00-04:00,,,,2016-10-14,2016-10-14,ho69566529,sch0007
07:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-18,ho69566529,sch0008
09:00:00-04:00,19:00:00-04:00,,,,2016-10-20,2016-10-20,ho69566529,sch0009
07:00:00-04:00,17:00:00-04:00,,,,2016-10-21,2016-10-21,ho69566529,sch0010
07:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-25,ho69566529,sch0011
09:00:00-04:00,19:00:00-04:00,,,,2016-10-27,2016-10-27,ho69566529,sch0012
07:00:00-04:00,17:00:00-04:00,,,,2016-10-28,2016-10-28,ho69566529,sch0013
07:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-01,ho69566529,sch0014
09:00:00-04:00,19:00:00-04:00,,,,2016-11-03,2016-11-03,ho69566529,sch0015
08:00:00-04:00,12:00:00-04:00,,,,2016-10-03,2016-10-03,ho18446928,sch0016
14:00:00-04:00,17:00:00-04:00,,,,2016-10-03,2016-10-03,ho18446928,sch0017
12:00:00-04:00,18:00:00-04:00,,,,2016-10-04,2016-10-04,ho18446928,sch0018
08:00:00-04:00,12:00:00-04:00,,,,2016-10-05,2016-10-05,ho18446928,sch0019
08:00:00-04:00,12:00:00-04:00,,,,2016-10-06,2016-10-06,ho18446928,sch0020
14:00:00-04:00,17:00:00-04:00,,,,2016-10-06,2016-10-06,ho18446928,sch0021
08:00:00-04:00,12:00:00-04:00,,,,2016-10-07,2016-10-07,ho18446928,sch0022
12:00:00-04:00,18:00:00-04:00,,,,2016-10-11,2016-10-11,ho18446928,sch0023
08:00:00-04:00,12:00:00-04:00,,,,2016-10-12,2016-10-12,ho18446928,sch0024
08:00:00-04:00,12:00:00-04:00,,,,2016-10-13,2016-10-13,ho18446928,sch0025
14:00:00-04:00,17:00:00-04:00,,,,2016-10-13,2016-10-13,ho18446928,sch0026
08:00:00-04:00,12:00:00-04:00,,,,2016-10-14,2016-10-14,ho18446928,sch0027
08:00:00-04:00,12:00:00-04:00,,,,2016-10-17,2016-10-17,ho18446928,sch0028
14:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-17,ho18446928,sch0029
