election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ma/place:abington,abing0008,poll70896112,st25,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ma/place:acton,ac0015,poll61979805,st25,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ma/place:acushnet,acush0030,poll72012309,st25,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ma/place:adams,ad0041,poll49323677,st25,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ma/place:agawam,aga0051,poll60093269 poll27070063 poll5893140,st25,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ma/place:alford,alf0058,poll16340626,st25,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ma/place:amesbury,amesb0063,poll51775109,st25,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ma/place:amherst,amhe0083,poll52195483 poll70432579 poll65222968 poll47790335,st25,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ma/place:andover,ando0091,poll84711904,st25,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ma/place:aquinnah,aquin0095,poll72383388,st25,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ma/place:arlington,arling0111,poll94312367,st25,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ma/place:ashburnham,ashburn0118,poll9688308,st25,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ma/place:ashby,as0130,poll95323428,st25,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ma/place:ashfield,ashfi0138,poll4676870,st25,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ma/place:ashland,ashl0149,poll75559033,st25,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ma/place:athol,at0159,poll15604775,st25,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ma/place:attleboro,attleb0169,poll22663089,st25,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ma/place:auburn,aub0179,poll92626415,st25,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ma/place:avon,a0194,poll68940208,st25,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ma/place:ayer,a0204,poll41390256,st25,other,,loc0020
,ocd-id,,ocd-division/country:us/state:ma/place:barnstable,barnsta0209,poll7182288 poll44021254,st25,other,,loc0021
,ocd-id,,ocd-division/country:us/state:ma/place:barre,ba0217,poll58577615,st25,other,,loc0022
,ocd-id,,ocd-division/country:us/state:ma/place:becket,bec0232,poll24314142,st25,other,,loc0023
,ocd-id,,ocd-division/country:us/state:ma/place:bedford,bedf0240,poll88359428,st25,other,,loc0024
,ocd-id,,ocd-division/country:us/state:ma/place:belchertown,belchert0245,poll95335133,st25,other,,loc0025
,ocd-id,,ocd-division/country:us/state:ma/place:bellingham,belling0262,poll54148911,st25,other,,loc0026
,ocd-id,,ocd-division/country:us/state:ma/place:belmont,belm0268,poll12187098,st25,other,,loc0027
,ocd-id,,ocd-division/country:us/state:ma/place:berkley,berk0284,poll80830239,st25,other,,loc0028
,ocd-id,,ocd-division/country:us/state:ma/place:berlin,ber0291,poll85936630,st25,other,,loc0029
,ocd-id,,ocd-division/country:us/state:ma/place:bernardston,bernards0296,poll63815961,st25,other,,loc0030
,ocd-id,,ocd-division/country:us/state:ma/place:beverly,beve0310,poll40702028,st25,other,,loc0031
,ocd-id,,ocd-division/country:us/state:ma/place:billerica,biller0321,poll63082530,st25,other,,loc0032
,ocd-id,,ocd-division/country:us/state:ma/place:blackstone,blackst0338,poll46469195,st25,other,,loc0033
,ocd-id,,ocd-division/country:us/state:ma/place:blandford,blandf0340,poll77445800,st25,other,,loc0034
,ocd-id,,ocd-division/country:us/state:ma/place:bolton,bol0347,poll47170190,st25,other,,loc0035
,ocd-id,,ocd-division/country:us/state:ma/place:boston,bos0362,poll68207305 poll13518533 poll10264627 poll83696328 poll73535445 poll95495186 poll19448109 poll91871837 poll19787464 poll94227993 poll31462532 poll34927945 poll60573890 poll59317540 poll95450213 poll84525811 poll10067305 poll33381307 poll74596389 poll77521585 poll90600935 poll3866003 poll12473231 poll30392023 poll42012483 poll61894636 poll46056698 poll78539947,st25,other,,loc0036
,ocd-id,,ocd-division/country:us/state:ma/place:bourne,bou0400,poll5856175,st25,other,,loc0037
,ocd-id,,ocd-division/country:us/state:ma/place:boxborough,boxboro0410,poll61768486,st25,other,,loc0038
,ocd-id,,ocd-division/country:us/state:ma/place:boxford,boxf0420,poll32476732,st25,other,,loc0039
,ocd-id,,ocd-division/country:us/state:ma/place:boylston,boyls0431,poll60652328,st25,other,,loc0040
,ocd-id,,ocd-division/country:us/state:ma/place:braintree,braint0442,poll46748562,st25,other,,loc0041
,ocd-id,,ocd-division/country:us/state:ma/place:brewster,brews0446,poll41490436,st25,other,,loc0042
,ocd-id,,ocd-division/country:us/state:ma/place:bridgewater,bridgewa0461,poll57400357,st25,other,,loc0043
,ocd-id,,ocd-division/country:us/state:ma/place:brimfield,brimfi0470,poll99444171,st25,other,,loc0044
,ocd-id,,ocd-division/country:us/state:ma/place:brockton,brock0480,poll96189737,st25,other,,loc0045
,ocd-id,,ocd-division/country:us/state:ma/place:brookfield,brookfi0489,poll4764473,st25,other,,loc0046
,ocd-id,,ocd-division/country:us/state:ma/place:brookline,brookl0500,poll26627760 poll23556787 poll41190154,st25,other,,loc0047
,ocd-id,,ocd-division/country:us/state:ma/place:buckland,buckl0518,poll42231445,st25,other,,loc0048
,ocd-id,,ocd-division/country:us/state:ma/place:burlington,burling0529,poll90079861,st25,other,,loc0049
,ocd-id,,ocd-division/country:us/state:ma/place:cambridge,cambri0534,poll15642496 poll49809549 poll77690299 poll17733619 poll20309329,st25,other,,loc0050
,ocd-id,,ocd-division/country:us/state:ma/place:canton,can0585,poll64803247,st25,other,,loc0051
,ocd-id,,ocd-division/country:us/state:ma/place:carlisle,carli0603,poll89277953,st25,other,,loc0052
,ocd-id,,ocd-division/country:us/state:ma/place:carver,car0614,poll82995571 poll4318812,st25,other,,loc0053
,ocd-id,,ocd-division/country:us/state:ma/place:charlemont,charlem0621,poll64447266,st25,other,,loc0054
