name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Abington Town Hall,"500 Gliniewicz Way, Abington, MA 02351",,08:30 AM - 07:00 PM,,ho75392105,false,true,,,,poll70896112
Town Hall,"472 Main Street, Acton, MA 01720",,08:00 AM - 08:00 PM,,ho60318504,false,true,,,,poll61979805
Town Hall - Meeting Room,"122 Main St., Acushnet, MA 02743",,08:00 AM - 04:00 PM,,ho69994203,false,true,,,,poll72012309
Town Hall,"8 Park Street, Adams, MA 01220",,08:00 AM - 05:00 PM,,ho24391475,false,true,,,,poll49323677
Agawam Town Hall,"36 Main Street, Agawam, MA 01001",,08:30 AM - 04:30 PM,,ho70560191,false,true,,,,poll5893140
Agawam Senior Center,"954 Main Street, Agawam, MA 01001",,10:00 AM - 02:00 PM,,ho92058859,false,true,,,,poll60093269
Agawam Public Library,"750 Cooper Street, Agawam, MA 01001",,10:00 AM - 02:00 PM,,ho90775655,false,true,,,,poll27070063
Alford Town Offices,"5 Alford Center Road, Alford, MA 01230",,08:00 AM - 11:00 AM,,ho85687536,false,true,,,,poll16340626
City Hall,"62 Friend Street, Amesbury, MA 01913",,08:00 AM - 04:00 PM,,ho54120212,false,true,,,,poll51775109
Town Hall,"4 Boltwood Avenue, Amherst, MA 01002",,08:00 AM - 05:00 PM,,ho66532956,false,true,,,,poll70432579
The Spot - Student Union ,"41 Campus Center Way, Amherst, MA 01003",,10:00 AM - 04:00 PM,,ho39400289,false,true,,,,poll47790335
Munson Memorial Library,"1046 South East St, Amherst, MA 01002",,09:00 AM - 03:00 PM,,ho73205408,false,true,,,,poll52195483
North Fire Station,"603 East Pleasant St, Amherst, MA 01002",,09:00 AM - 03:00 PM,,ho99754987,false,true,,,,poll65222968
Town Office Building,"36 Bartlet Street, Andover, MA 01810",,08:30 AM - 04:30 PM,,ho78024764,false,true,,,,poll84711904
Aquinnah Town Hall,"65 State Rd, Aquinnah, MA 02535",,12:00 PM - 04:00 PM,,ho1678064,false,true,,,,poll72383388
Arlington Town Hall,"730 Massachusetts Avenue, Arlington, MA 02476",,08:00 AM - 04:00 PM,,ho73288343,false,true,,,,poll94312367
