ocd_division,county,location_name,address_1,address_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,9/23/16,9/23/16,False,False,False,1,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,9/26/16,9/30/16,False,False,False,2,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,10/3/16,10/7/16,False,False,False,3,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,10/10/16,10/14/16,False,False,False,4,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,10/17/16,10/21/16,False,False,False,5,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,10/24/16,10/28/16,False,False,False,6,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1630,10/31/16,11/4/16,False,False,False,7,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-04:30 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,1000,1500,11/5/16,11/5/16,False,False,False,8,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,10:00 AM-03:00 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/county:aitkin,Aitkin,,209 2nd St NW,Rm 202,,Aitkin,MN,56431,800,1700,11/7/16,11/7/16,False,False,False,9,,"209 2nd St NW, Aitkin, MN 56431",Rm 202 ,08:00 AM-05:00 PM,,ho40579773,false,true,,,,poll83973521
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,9/23/16,9/23/16,False,False,False,10,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,9/26/16,9/30/16,False,False,False,11,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10/3/16,10/7/16,False,False,False,12,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10/10/16,10/14/16,False,False,False,13,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10/17/16,10/21/16,False,False,False,14,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10/24/16,10/28/16,False,False,False,15,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10/31/16,11/4/16,False,False,False,16,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,08:00 AM-04:30 PM,,ho73555347,false,true,,,,poll34198844
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,1000,1500,11/5/16,11/5/16,False,False,False,17,Andover City Hall,"1685 Crosstown Blvd NW, Andover, MN 55304", ,10:00 AM-03:00 PM,,ho73555347,false,true,,,,poll34198844
