election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,cd-division/country:us/state:mn/place:detroit_lakes,detroit_lakes_228,poll43825063,st27,other,,loc0001
,ocd-id,,ocd-division/country:us/state:me/place:orono,orono_1043,poll86372143 poll77088072,st27,other,,loc0002
,ocd-id,,ocd-division/country:us/state:mn/county:aitkin,aitkin_9,poll83973521,st27,other,,loc0003
,ocd-id,,ocd-division/country:us/state:mn/county:anoka,anoka_29,poll82088472,st27,other,,loc0004
,ocd-id,,ocd-division/country:us/state:mn/county:beltrami,bemidji_239,poll1026642,st27,other,,loc0005
,ocd-id,,ocd-division/country:us/state:mn/county:benton,foley_250,poll4518139,st27,other,,loc0006
,ocd-id,,ocd-division/country:us/state:mn/county:big_stone,ortonville_260,poll68915941,st27,other,,loc0007
,ocd-id,,ocd-division/country:us/state:mn/county:blue_earth,mankato_265,poll99698033,st27,other,,loc0008
,ocd-id,,ocd-division/country:us/state:mn/county:brown,new_ulm_272,poll36994080,st27,other,,loc0009
,ocd-id,,ocd-division/country:us/state:mn/county:carlton,carlton_280,poll90455853,st27,other,,loc0010
,ocd-id,,ocd-division/country:us/state:mn/county:carver,chanhassen_314,poll91468542 poll84036541,st27,other,,loc0011
,ocd-id,,ocd-division/country:us/state:mn/county:cass,walker_328,poll29747187 poll67855797 poll68719174 poll47531787,st27,other,,loc0012
,ocd-id,,ocd-division/country:us/state:mn/county:chippewa,montevideo_408,poll30406047,st27,other,,loc0013
,ocd-id,,ocd-division/country:us/state:mn/county:chisago,center_city_412,poll24250122,st27,other,,loc0014
,ocd-id,,ocd-division/country:us/state:mn/county:clay,moorhead_419,poll98819311,st27,other,,loc0015
,ocd-id,,ocd-division/country:us/state:mn/county:clearwater,bagley_429,poll21815008,st27,other,,loc0016
,ocd-id,,ocd-division/country:us/state:mn/county:cook,grand_marais_436,poll25384700,st27,other,,loc0017
,ocd-id,,ocd-division/country:us/state:mn/county:cottonwood,windom_445,poll67583879,st27,other,,loc0018
,ocd-id,,ocd-division/country:us/state:mn/county:crow_wing,brainerd_455,poll41956677,st27,other,,loc0019
,ocd-id,,ocd-division/country:us/state:mn/county:dakota,apple_valley_537,poll63374282 poll58386470 poll7327913,st27,other,,loc0020
,ocd-id,,ocd-division/country:us/state:mn/county:dodge,mantorville_616,poll97440363,st27,other,,loc0021
,ocd-id,,ocd-division/country:us/state:mn/county:douglas,alexandria_628,poll56025609,st27,other,,loc0022
,ocd-id,,ocd-division/country:us/state:mn/county:faribault,blue_earth_631,poll60217220,st27,other,,loc0023
,ocd-id,,ocd-division/country:us/state:mn/county:fillmore,preston_638,poll15978187,st27,other,,loc0024
,ocd-id,,ocd-division/country:us/state:mn/county:freeborn,albert_lea_647,poll99278239,st27,other,,loc0025
,ocd-id,,ocd-division/country:us/state:mn/county:goodhue,red_wing_668,poll35176376,st27,other,,loc0026
,ocd-id,,ocd-division/country:us/state:mn/county:grant,elbow_lake_705,poll30711952,st27,other,,loc0027
,ocd-id,,ocd-division/country:us/state:mn/county:hennepin,minneapolis_713,poll77088072,st27,other,,loc0028
,ocd-id,,ocd-division/country:us/state:mn/county:houston,caledonia_1211,poll46190138,st27,other,,loc0029
,ocd-id,,ocd-division/country:us/state:mn/county:hubbard,park_rapids_1217,poll82394927,st27,other,,loc0030
,ocd-id,,ocd-division/country:us/state:mn/county:isanti,cambridge_1224,poll1978105,st27,other,,loc0031
,ocd-id,,ocd-division/country:us/state:mn/county:itasca,grand_rapids_1236,poll66156846,st27,other,,loc0032
,ocd-id,,ocd-division/country:us/state:mn/county:jackson,jackson_1243,poll5849899,st27,other,,loc0033
,ocd-id,,ocd-division/country:us/state:mn/county:kanabec,mora_1259,poll46165323,st27,other,,loc0034
,ocd-id,,ocd-division/country:us/state:mn/county:kandiyohi,willmar_1264,poll39239877,st27,other,,loc0035
,ocd-id,,ocd-division/country:us/state:mn/county:kittson,hallock_1269,poll29167292,st27,other,,loc0036
,ocd-id,,ocd-division/country:us/state:mn/county:koochiching,international_falls_1278,poll89729815,st27,other,,loc0037
,ocd-id,,ocd-division/country:us/state:mn/county:lac_qui_parle,madison_1292,poll53707186,st27,other,,loc0038
,ocd-id,,ocd-division/country:us/state:mn/county:lake,two_harbors_1301,poll61364002,st27,other,,loc0039
,ocd-id,,ocd-division/country:us/state:mn/county:lake_of_the_woods,baudette_1308,poll29279094,st27,other,,loc0040
,ocd-id,,ocd-division/country:us/state:mn/county:le_sueur,le_center_1325,poll8180094,st27,other,,loc0041
,ocd-id,,ocd-division/country:us/state:mn/county:lyon,marshall_1331,poll55823356,st27,other,,loc0042
,ocd-id,,ocd-division/country:us/state:mn/county:mahnomen,mahnomen_1338,poll17406164,st27,other,,loc0043
,ocd-id,,ocd-division/country:us/state:mn/county:marshall,warren_1350,poll4636362,st27,other,,loc0044
,ocd-id,,ocd-division/country:us/state:mn/county:martin,fairmont_1360,poll61236734,st27,other,,loc0045
,ocd-id,,ocd-division/country:us/state:mn/county:mcleod,glencoe_1377,poll56622594,st27,other,,loc0046
,ocd-id,,ocd-division/country:us/state:mn/county:meeker,litchfield_1382,poll51163304,st27,other,,loc0047
