start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
09:00:00-05:00,17:00:00-05:00,,,,2016-10-11,2016-10-14,ho81050042,sch0001
09:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho81050042,sch0002
09:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho81050042,sch0003
09:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho81050042,sch0004
09:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho81050042,sch0005
08:00:00-05:00,16:30:00-05:00,,,,2016-10-11,2016-10-14,ho65564989,sch0006
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho65564989,sch0007
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho65564989,sch0008
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho65564989,sch0009
08:00:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho65564989,sch0010
08:00:00-06:00,12:00:00-06:00,,,,2016-10-11,2016-10-14,ho4704838,sch0011
13:00:00-06:00,17:00:00-06:00,,,,2016-10-11,2016-10-14,ho4704838,sch0012
08:00:00-06:00,12:00:00-06:00,,,,2016-10-17,2016-10-21,ho4704838,sch0013
13:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho4704838,sch0014
08:00:00-06:00,12:00:00-06:00,,,,2016-10-24,2016-10-28,ho4704838,sch0015
13:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho4704838,sch0016
08:00:00-06:00,12:00:00-06:00,,,,2016-10-31,2016-11-04,ho4704838,sch0017
13:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho4704838,sch0018
08:00:00-07:00,12:00:00-07:00,,,,2016-11-07,2016-11-07,ho4704838,sch0019
13:00:00-07:00,17:00:00-07:00,,,,2016-11-07,2016-11-07,ho4704838,sch0020
08:00:00-06:00,12:00:00-06:00,,,,2016-10-11,2016-10-14,ho30168281,sch0021
13:00:00-06:00,16:30:00-06:00,,,,2016-10-11,2016-10-14,ho30168281,sch0022
08:00:00-06:00,12:00:00-06:00,,,,2016-10-17,2016-10-21,ho30168281,sch0023
13:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho30168281,sch0024
08:00:00-06:00,12:00:00-06:00,,,,2016-10-24,2016-10-28,ho30168281,sch0025
13:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho30168281,sch0026
08:00:00-06:00,12:00:00-06:00,,,,2016-10-31,2016-11-04,ho30168281,sch0027
13:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho30168281,sch0028
08:00:00-07:00,12:00:00-07:00,,,,2016-11-07,2016-11-07,ho30168281,sch0029
13:00:00-07:00,16:30:00-07:00,,,,2016-11-07,2016-11-07,ho30168281,sch0030
08:00:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho80278696,sch0031
08:00:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho80278696,sch0032
08:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho80278696,sch0033
08:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho80278696,sch0034
08:00:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho80278696,sch0035
08:00:00-05:00,17:00:00-05:00,,,,2016-10-11,2016-10-14,ho76059271,sch0036
08:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho76059271,sch0037
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho76059271,sch0038
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho76059271,sch0039
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho76059271,sch0040
08:00:00-06:00,16:00:00-06:00,,,,2016-10-11,2016-10-14,ho20186247,sch0041
08:00:00-06:00,16:00:00-06:00,,,,2016-10-17,2016-10-21,ho20186247,sch0042
08:00:00-06:00,16:00:00-06:00,,,,2016-10-24,2016-10-28,ho20186247,sch0043
08:00:00-06:00,16:00:00-06:00,,,,2016-10-31,2016-11-04,ho20186247,sch0044
08:00:00-07:00,16:00:00-07:00,,,,2016-11-07,2016-11-07,ho20186247,sch0045
08:15:00-05:00,16:00:00-05:00,,,,2016-10-11,2016-10-14,ho99686910,sch0046
08:15:00-05:00,16:00:00-05:00,,,,2016-10-17,2016-10-21,ho99686910,sch0047
08:15:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho99686910,sch0048
08:15:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho99686910,sch0049
08:15:00-06:00,16:00:00-06:00,,,,2016-11-07,2016-11-07,ho99686910,sch0050
08:00:00-05:00,17:00:00-05:00,,,,2016-10-11,2016-10-14,ho27678384,sch0051
08:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho27678384,sch0052
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho27678384,sch0053
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho27678384,sch0054
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho27678384,sch0055
08:00:00-05:00,17:00:00-05:00,,,,2016-10-11,2016-10-14,ho75817110,sch0056
08:00:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho75817110,sch0057
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho75817110,sch0058
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho75817110,sch0059
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho75817110,sch0060
08:00:00-05:00,16:30:00-05:00,,,,2016-10-11,2016-10-14,ho93945081,sch0061
08:00:00-05:00,16:30:00-05:00,,,,2016-10-17,2016-10-21,ho93945081,sch0062
08:00:00-05:00,16:30:00-05:00,,,,2016-10-24,2016-10-28,ho93945081,sch0063
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-04,ho93945081,sch0064
08:00:00-06:00,16:30:00-06:00,,,,2016-11-07,2016-11-07,ho93945081,sch0065
08:30:00-05:00,17:00:00-05:00,,,,2016-10-11,2016-10-14,ho78409370,sch0066
08:30:00-05:00,17:00:00-05:00,,,,2016-10-17,2016-10-21,ho78409370,sch0067
08:30:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho78409370,sch0068
