start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho75239337,sch0001
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho75239337,sch0002
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho75239337,sch0003
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho75239337,sch0004
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho75239337,sch0005
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho75239337,sch0006
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho75239337,sch0007
08:30:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho30353492,sch0008
08:30:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho30353492,sch0009
08:30:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho30353492,sch0010
08:30:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho30353492,sch0011
08:30:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho30353492,sch0012
08:30:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho30353492,sch0013
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho30353492,sch0014
08:00:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho40382655,sch0015
08:00:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho40382655,sch0016
08:00:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho40382655,sch0017
08:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho40382655,sch0018
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho40382655,sch0019
08:00:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho40382655,sch0020
08:00:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho40382655,sch0021
08:30:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho5744342,sch0022
08:30:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho5744342,sch0023
08:30:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho5744342,sch0024
08:30:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho5744342,sch0025
08:30:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho5744342,sch0026
08:30:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho5744342,sch0027
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho5744342,sch0028
08:30:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho43996004,sch0029
08:30:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho43996004,sch0030
08:30:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho43996004,sch0031
08:30:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho43996004,sch0032
08:30:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho43996004,sch0033
08:30:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho43996004,sch0034
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho43996004,sch0035
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho55731989,sch0036
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho55731989,sch0037
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho55731989,sch0038
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho55731989,sch0039
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho55731989,sch0040
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho55731989,sch0041
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho55731989,sch0042
08:30:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho49699362,sch0043
08:30:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho49699362,sch0044
08:30:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho49699362,sch0045
08:30:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho49699362,sch0046
08:30:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho49699362,sch0047
08:30:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho49699362,sch0048
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho49699362,sch0049
09:00:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho94556159,sch0050
09:00:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho94556159,sch0051
09:00:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho94556159,sch0052
09:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho94556159,sch0053
09:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho94556159,sch0054
09:00:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-04,ho94556159,sch0055
09:00:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho94556159,sch0056
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho308316,sch0057
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho308316,sch0058
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho308316,sch0059
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho308316,sch0060
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho308316,sch0061
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho308316,sch0062
09:00:00-05:00,14:00:00-05:00,,,,2016-11-06,2016-11-06,ho308316,sch0063
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho308316,sch0064
10:00:00-04:00,21:00:00-04:00,,,,2016-10-03,2016-10-07,ho96617495,sch0065
10:00:00-04:00,17:30:00-04:00,,,,2016-10-08,2016-10-08,ho96617495,sch0066
10:00:00-04:00,21:00:00-04:00,,,,2016-10-10,2016-10-14,ho96617495,sch0067
10:00:00-04:00,17:30:00-04:00,,,,2016-10-15,2016-10-15,ho96617495,sch0068
10:00:00-04:00,21:00:00-04:00,,,,2016-10-17,2016-10-21,ho96617495,sch0069
10:00:00-04:00,17:30:00-04:00,,,,2016-10-22,2016-10-22,ho96617495,sch0070
10:00:00-04:00,21:00:00-04:00,,,,2016-10-24,2016-10-28,ho96617495,sch0071
10:00:00-04:00,17:30:00-04:00,,,,2016-10-29,2016-10-29,ho96617495,sch0072
10:00:00-04:00,21:00:00-04:00,,,,2016-10-31,2016-11-04,ho96617495,sch0073
10:00:00-04:00,17:30:00-04:00,,,,2016-11-05,2016-11-05,ho96617495,sch0074
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho65124724,sch0075
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho65124724,sch0076
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho65124724,sch0077
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho65124724,sch0078
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho65124724,sch0079
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho65124724,sch0080
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho65124724,sch0081
09:00:00-04:00,13:00:00-04:00,,,,2016-09-24,2016-09-24,ho53166362,sch0082
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho53166362,sch0083
09:00:00-04:00,13:00:00-04:00,,,,2016-10-01,2016-10-01,ho53166362,sch0084
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho53166362,sch0085
09:00:00-04:00,13:00:00-04:00,,,,2016-10-08,2016-10-08,ho53166362,sch0086
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho53166362,sch0087
09:00:00-04:00,13:00:00-04:00,,,,2016-10-15,2016-10-15,ho53166362,sch0088
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho53166362,sch0089
09:00:00-04:00,13:00:00-04:00,,,,2016-10-22,2016-10-22,ho53166362,sch0090
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho53166362,sch0091
09:00:00-04:00,13:00:00-04:00,,,,2016-10-29,2016-10-29,ho53166362,sch0092
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-02,ho53166362,sch0093
08:30:00-04:00,19:00:00-04:00,,,,2016-11-03,2016-11-03,ho53166362,sch0094
08:30:00-04:00,16:30:00-04:00,,,,2016-11-04,2016-11-04,ho53166362,sch0095
09:00:00-04:00,15:00:00-04:00,,,,2016-11-05,2016-11-05,ho53166362,sch0096
11:00:00-05:00,15:00:00-05:00,,,,2016-11-06,2016-11-06,ho53166362,sch0097
08:30:00-05:00,16:30:00-05:00,,,,2016-11-07,2016-11-07,ho53166362,sch0098
08:30:00-04:00,20:00:00-04:00,,,,2016-11-08,2016-11-08,ho53166362,sch0099
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho90668241,sch0100
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho90668241,sch0101
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho90668241,sch0102
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho90668241,sch0103
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho90668241,sch0104
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho90668241,sch0105
09:00:00-05:00,14:00:00-05:00,,,,2016-11-06,2016-11-06,ho90668241,sch0106
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho90668241,sch0107
08:30:00-04:00,16:15:00-04:00,,,,2016-09-26,2016-09-26,ho41290549,sch0108
08:00:00-04:00,18:30:00-04:00,,,,2016-09-27,2016-09-27,ho41290549,sch0109
08:30:00-04:00,16:15:00-04:00,,,,2016-09-28,2016-09-30,ho41290549,sch0110
08:30:00-04:00,16:15:00-04:00,,,,2016-10-03,2016-10-03,ho41290549,sch0111
08:00:00-04:00,18:30:00-04:00,,,,2016-10-04,2016-10-04,ho41290549,sch0112
08:30:00-04:00,16:15:00-04:00,,,,2016-10-05,2016-10-07,ho41290549,sch0113
08:30:00-04:00,16:15:00-04:00,,,,2016-10-10,2016-10-10,ho41290549,sch0114
08:00:00-04:00,18:30:00-04:00,,,,2016-10-11,2016-10-11,ho41290549,sch0115
08:30:00-04:00,16:15:00-04:00,,,,2016-10-12,2016-10-14,ho41290549,sch0116
08:30:00-04:00,16:15:00-04:00,,,,2016-10-17,2016-10-17,ho41290549,sch0117
08:00:00-04:00,18:30:00-04:00,,,,2016-10-18,2016-10-18,ho41290549,sch0118
08:30:00-04:00,16:15:00-04:00,,,,2016-10-19,2016-10-21,ho41290549,sch0119
08:30:00-04:00,16:15:00-04:00,,,,2016-10-24,2016-10-24,ho41290549,sch0120
08:00:00-04:00,18:30:00-04:00,,,,2016-10-25,2016-10-25,ho41290549,sch0121
08:30:00-04:00,16:15:00-04:00,,,,2016-10-26,2016-10-28,ho41290549,sch0122
08:30:00-04:00,16:15:00-04:00,,,,2016-10-31,2016-10-31,ho41290549,sch0123
08:00:00-04:00,18:30:00-04:00,,,,2016-11-01,2016-11-01,ho41290549,sch0124
08:30:00-04:00,16:15:00-04:00,,,,2016-11-02,2016-11-04,ho41290549,sch0125
08:30:00-05:00,16:15:00-05:00,,,,2016-11-07,2016-11-07,ho41290549,sch0126
08:30:00-04:00,20:00:00-04:00,,,,2016-11-08,2016-11-08,ho41290549,sch0127
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho73499220,sch0128
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho73499220,sch0129
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho73499220,sch0130
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho73499220,sch0131
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho73499220,sch0132
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho73499220,sch0133
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho73499220,sch0134
08:00:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho29096159,sch0135
08:00:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho29096159,sch0136
08:00:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho29096159,sch0137
08:00:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-17,ho29096159,sch0138
08:00:00-04:00,21:00:00-04:00,,,,2016-10-18,2016-10-18,ho29096159,sch0139
08:00:00-04:00,16:00:00-04:00,,,,2016-10-19,2016-10-21,ho29096159,sch0140
08:00:00-04:00,16:00:00-04:00,,,,2016-10-24,2016-10-28,ho29096159,sch0141
08:00:00-04:00,16:00:00-04:00,,,,2016-10-31,2016-11-01,ho29096159,sch0142
08:00:00-04:00,19:00:00-04:00,,,,2016-11-02,2016-11-02,ho29096159,sch0143
08:00:00-04:00,16:00:00-04:00,,,,2016-11-03,2016-11-04,ho29096159,sch0144
08:00:00-04:00,12:00:00-04:00,,,,2016-11-05,2016-11-05,ho29096159,sch0145
08:00:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho29096159,sch0146
08:00:00-04:00,16:30:00-04:00,,,,2016-09-24,2016-09-24,ho47032245,sch0147
08:00:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho47032245,sch0148
08:00:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho47032245,sch0149
08:00:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho47032245,sch0150
08:00:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho47032245,sch0151
08:00:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho47032245,sch0152
08:00:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho47032245,sch0153
08:00:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho47032245,sch0154
08:00:00-04:00,20:00:00-04:00,,,,2016-11-08,2016-11-08,ho47032245,sch0155
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho23309558,sch0156
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho23309558,sch0157
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho23309558,sch0158
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho23309558,sch0159
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho23309558,sch0160
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho23309558,sch0161
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho23309558,sch0162
08:30:00-04:00,20:00:00-04:00,,,,2016-11-08,2016-11-08,ho23309558,sch0163
08:30:00-04:00,16:30:00-04:00,,,,2016-09-26,2016-09-30,ho23975656,sch0164
08:30:00-04:00,16:30:00-04:00,,,,2016-10-03,2016-10-07,ho23975656,sch0165
08:30:00-04:00,16:30:00-04:00,,,,2016-10-10,2016-10-14,ho23975656,sch0166
08:30:00-04:00,16:30:00-04:00,,,,2016-10-17,2016-10-21,ho23975656,sch0167
08:30:00-04:00,16:30:00-04:00,,,,2016-10-24,2016-10-28,ho23975656,sch0168
08:30:00-04:00,16:30:00-04:00,,,,2016-10-31,2016-11-04,ho23975656,sch0169
08:30:00-05:00,15:00:00-05:00,,,,2016-11-07,2016-11-07,ho23975656,sch0170
08:15:00-04:00,16:00:00-04:00,,,,2016-09-26,2016-09-30,ho52254109,sch0171
08:15:00-04:00,16:00:00-04:00,,,,2016-10-03,2016-10-07,ho52254109,sch0172
08:15:00-04:00,16:00:00-04:00,,,,2016-10-10,2016-10-14,ho52254109,sch0173
08:15:00-04:00,16:00:00-04:00,,,,2016-10-17,2016-10-21,ho52254109,sch0174
