name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,county,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,id,COMMENTS
"""Corrales Community Center""",Belen Community Center,305 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Corrales Community Center""",Belen Community Center,306 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,10/25/16,10/29/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Corrales Community Center""",Belen Community Center,307 Eagle Lane,,,Belen,NM,87002,Valencia,,Early Voting,11/1/16,11/5/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Penasco Community Center""",Santa Ana Pueblo Community Center,2 Dove Rd.,,,Santa Ana Pueblo,NM,87004,Sandoval,,Early Voting,10/27/16,10/28/16,10:00:00-07:00,19:00:00-7:00,October 27 - October 28 Thu - Fri 10 AM - 7 PM,,
"""Union County Clerk's Office""",Sandia Pueblo Aquatic Center,143 North Santa Fe Trail,,,Sandia Pueblo,NM,87004,Sandoval,,Early Voting,10/31/16,10/31/16,10:00:00-07:00,19:00:00-7:00,October 31 Mon 10 AM - 7 PM,,
"""Otero County Fairgrounds""",Torreon Chapter House,Highway 197,,,Torreon,NM,87013,Sandoval,,Early Voting,11/3/16,11/4/16,10:00:00-07:00,19:00:00-7:00,November 3 - November 4 Thu - Fri 10 AM - 7 PM,,
"""Eddy County Clerk Sub-Office""",Eichwald Center,46 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Eddy County Clerk Sub-Office""",Eichwald Center,47 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Eddy County Clerk Sub-Office""",Eichwald Center,48 Old Highway 126,,,Cuba,NM,87013,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,25 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,26 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/25/16,10/28/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,27 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,28 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,11/1/16,11/4/16,12:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Tierra Amarilla Clerk's Office""",Edgewood Fire Station,29 East Frontage Road,,,Edgewood,NM,87015,Santa Fe,,Early Voting,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,205 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/13/16,07:30:00-07:00,17:30:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,206 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/15/16,10/15/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,207 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/17/16,10/20/16,07:30:00-07:00,17:30:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,208 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,209 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/24/16,10/27/16,07:30:00-07:00,17:30:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,210 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,211 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,10/31/16,11/3/16,07:30:00-07:00,17:30:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Cibola County Complex""",Torrance County Clerk's Office,212 9th St,,,Estancia,NM,87016,Torrance,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 29,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
"""Four Hills Shopping Center""",Cibola County Complex,515 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/14/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 22  ",,
"""Four Hills Shopping Center""",Cibola County Complex,516 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/17/16,10/21/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 23",,
"""Four Hills Shopping Center""",Cibola County Complex,517 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 24",,
"""Four Hills Shopping Center""",Cibola County Complex,518 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/24/16,10/28/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 25",,
"""Four Hills Shopping Center""",Cibola County Complex,519 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 26,10/29/16,10/29/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 26",,
"""Four Hills Shopping Center""",Cibola County Complex,520 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 27,10/31/16,11/4/16,08:00:00-07:00,17:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 27",,
"""Four Hills Shopping Center""",Cibola County Complex,521 W. High St.,,,Grants,NM,87020,Cibola,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 28,11/5/16,11/5/16,10:00:00-07:00,18:00:00-7:00,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 28",,
"""Santa Fe County Fair Building""",Jemez Pueblo Civic Center,5117 Highway 4,,,Jemez Pueblo,NM,87024,Sandoval,,Early Voting,10/24/16,10/25/16,10:00:00-07:00,19:00:00-7:00,October 24 - October 25 Mon - Tue 10 AM - 7 PM,,
"""Tularosa Public Safety Facility - Court Room""",Desiderio Community Center,117 Tribal Rd. 7036,,,To'Hajiilee,NM,87026,Cibola,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,12:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
"""Tularosa Public Safety Facility - Court Room""",Desiderio Community Center,118 Tribal Rd. 7036,,,To'Hajiilee,NM,87026,Cibola,,Early Voting,10/25/16,10/28/16,10:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
"""Tularosa Public Safety Facility - Court Room""",Desiderio Community Center,119 Tribal Rd. 7036,,,To'Hajiilee,NM,87026,Cibola,,Early Voting,10/29/16,10/29/16,08:00:00-07:00,12:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
"""Tularosa Public Safety Facility - Court Room""",Desiderio Community Center,120 Tribal Rd. 7036,,,To'Hajiilee,NM,87026,Cibola,,Early Voting,11/1/16,11/4/16,10:00:00-07:00,20:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
"""Tularosa Public Safety Facility - Court Room""",Desiderio Community Center,121 Tribal Rd. 7036,,,To'Hajiilee,NM,87026,Cibola,,Early Voting,11/5/16,11/5/16,08:00:00-07:00,12:00:00-7:00,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
"""San Felipe Pueblo Senior Center""",Laguna Tribal Building,22 Capital,,,Laguna,NM,87026,Cibola,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
