countyName,name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,days_times_open,id,COMMENTS
Cibola,"""Acoma Tribal Auditorium""","""Acoma Tribal Auditorium""","""33A Pinsbaari Drive""",,,Acoma,NM,87034,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
Otero,"""Otero County Administration Bldg. - Clerk's Office""","""Otero County Administration Bldg. - Clerk's Office""","""1101 New York Ave, Suite C""",,,Alamogordo,NM,88310,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM ",,
Otero,"""Otero County Fairgrounds""","""Otero County Fairgrounds""","""401 Fairgrounds Rd.""",,,Alamogordo,NM,88310,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Thu - Sat 10 AM - 6 PM,,
Bernalillo,"""98th and Central Shopping Center""","""98th and Central Shopping Center""","""120 98th St. NW, Suite A5""",,,Albuquerque,NM,87121,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Daskalos Center""","""Daskalos Center""","""5339 Menaul Blvd. NE""",,,Albuquerque,NM,87110,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Petroglyph Plaza""","""Petroglyph Plaza""","""8201 Golf Course Rd NW, Suite C-1""",,,Albuquerque,NM,87114,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Westbluff Center""","""Westbluff Center""","""5201 Ouray NW Ste. D-2""",,,Albuquerque,NM,87120,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""South Valley Multi Gen Center""","""South Valley Multi Gen Center""","""2008 Larrazolo Rd. SW""",,,Albuquerque,NM,87105,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Sun Country Plaza""","""Sun Country Plaza""","""9421 Coors Blvd. NW Ste. G&H""",,,Albuquerque,NM,87114,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Fiesta del Norte Shopping Center""","""Fiesta del Norte Shopping Center""","""6001 San Mateo Blvd. Sute B-3""",,,Albuquerque,NM,87109,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""University of New Mexico Student Union Building""","""University of New Mexico Student Union Building""","""1 University of New Mexico""",,,Albuquerque,NM,87106,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Caracol Plaza""","""Caracol Plaza""","""12500 Montgomery Blvd NE, Suite 101""",,,Albuquerque,NM,87111,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Central Mercado""","""Central Mercado""","""301 San Pedro Dr SE Suite B, C, D, E""",,,Albuquerque,NM,87108,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Four Hills Shopping Center""","""Four Hills Shopping Center""","""13140 Central Ave SE, Suite 1420""",,,Albuquerque,NM,87123,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Holly Plaza""","""Holly Plaza""","""6500 Holly Ave NE, Suite A6""",,,Albuquerque,NM,87113,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Los Altos Plaza""","""Los Altos Plaza""","""4200 Wyoming Blvd NE Suite B-2""",,,Albuquerque,NM,87111,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Clerk's Annex""","""Clerk's Annex""","""1500 Lomas Blvd NW,Suite A""",,,Albuquerque,NM,87104,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,October 11 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Los Ranchos Villa""","""Los Ranchos Villa""","""6601 4th St NW, Suite K, L""",,,Albuquerque,NM,87107,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Bernalillo County Visitor and Cultural Center""","""Bernalillo County Visitor and Cultural Center""","""6080 Isleta Blvd. SW""",,,Albuquerque,NM,87105,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Tijeras City Hall""","""Tijeras City Hall""","""12 Camino Municipal""",,,Tijeras,NM,87059,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
Bernalillo,"""Desiderio Community Center""","""Desiderio Community Center""","""117 Tribal Rd. 7036""",,,To'Hajiilee,NM,87026,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 10 AM - 8 PM, Sat 8 AM - 12 PM",,
Colfax,"""Angel Fire Village Hall""","""Angel Fire Village Hall""","""3388 Mountain View Blvd""",,,Angel Fire,NM,87710,,Early Voting,10/22/2016,10/24/2016,"Saturday, October 22, 8 AM - 5 PM; Monday, October 24, 8 AM - 5 PM",,
Catron,"""Datil Fire Station""","""Datil Fire Station""","""16 Old State Road 60""",,,Datil,NM,87821,,Early Voting,10/27/2016,10/29/2016,October 27 - October 29 Thu - Sat 8:00 AM - 4:30 PM,,
Catron,"""Glenwood Community Center""","""Glenwood Community Center""","""21 Menges Lane""",,,Glenwood,NM,88039,,Early Voting,10/31/2016,11/02/2016,October 31 - November 2 Mon - Wed 8:00 AM - 4:30 PM,,
Catron,"""Quemado Community Center""","""Quemado Community Center""","""27 lopez Street""",,,Quemado,NM,87829,,Early Voting,10/24/2016,10/26/2016,October 24 - October 26 Mon - Wed 8:00 AM - 4:30 PM,,
Catron,"""Catron County Courthouse""","""Catron County Courthouse""","""101 Main St""",,,Reserve,NM,87830,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8:00 AM - 4:30 PM, Sat 10 AM - 6 PM ",,
Chaves,"""Hagerman Joy Center""","""Hagerman Joy Center""","""503 E Argyle""",,,Hagerman,NM,88232,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue & Thu - Fri 8 AM - 5 PM,,
Chaves,"""Roswell Clerk's Office""","""Roswell Clerk's Office""","""1 St. Mary's Pl.""",,,Roswell,NM,88202,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 22  ",,
Chaves,"""Roswell Mall - Main Entrance""","""Roswell Mall - Main Entrance""","""4501 N. Main St.""",,,Roswell,NM,88201,,Early Voting,10/22/2016,11/5/16,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Cibola,"""Cibola County Complex""","""Cibola County Complex""","""515 W. High St.""",,,Grants,NM,87020,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Plus Sat 10 AM - 6 PM starting on October 22  ",,
Cibola,"""Laguna Tribal Building""","""Laguna Tribal Building""","""22 Capital""",,,Laguna,NM,87026,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
Cibola,"""Ramah Training Center""","""Ramah Training Center""","""BIA Route 125""",,,"Mt View Community, Ramah",NM,87321,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
Union,"""Union County Clerk's Office""","""Union County Clerk's Office""","""200 court St""",,,Clayton,NM,88415,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Mon - Fri 8 AM - 5 PM (closed at noon), Sat 10 AM - 6 PM",,
Colfax,"""Cimarron Village Hall""","""Cimarron Village Hall""","""356 E 9th St""",,,Cimarron,NM,87714,,Early Voting,10/27/2016,10/27/2016,"October 27, Tue, 8 AM - 5 PM",,
Colfax,"""Eagle Nest Community Center""","""Eagle Nest Community Center""","""151 Willow Creek Dr""",,,Eagle Nest,NM,87718,,Early Voting,10/25/2016,10/26/2016,October 25 - October 26 Tue - Wed 8 AM - 5 PM,,
Colfax,"""Colfax County Clerk's Office""","""Colfax County Clerk's Office""","""230 North 3rd Street""",,,Raton,NM,87740,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
Colfax,"""Springer Luna Community College""","""Springer Luna Community College""","""516 Maxwell Ave""",,,Springer,NM,87747,,Early Voting,10/28/2016,10/28/2016,"October 28, Fri, 8 AM - 5 PM",,
