start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho47617096,sch0001
10:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-29,ho47617096,sch0002
10:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-05,ho47617096,sch0003
10:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-28,ho3216131,sch0004
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-10-31,ho47340341,sch0005
10:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-04,ho79346548,sch0006
10:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-22,ho48360755,sch0007
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-29,ho48360755,sch0008
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-05,ho48360755,sch0009
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho73304388,sch0010
12:00:00-07:00,20:00:00-07:00,,,,2016-10-25,2016-10-28,ho73304388,sch0011
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho73304388,sch0012
12:00:00-07:00,20:00:00-07:00,,,,2016-11-01,2016-11-04,ho73304388,sch0013
10:00:00-07:00,18:00:00-07:00,,,,2016-11-05,2016-11-05,ho73304388,sch0014
07:30:00-07:00,17:30:00-07:00,,,,2016-10-11,2016-10-13,ho46992089,sch0015
10:00:00-07:00,18:00:00-07:00,,,,2016-10-15,2016-10-15,ho46992089,sch0016
07:30:00-07:00,17:30:00-07:00,,,,2016-10-17,2016-10-20,ho46992089,sch0017
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho46992089,sch0018
07:30:00-07:00,17:30:00-07:00,,,,2016-10-24,2016-10-27,ho46992089,sch0019
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho46992089,sch0020
07:30:00-07:00,17:30:00-07:00,,,,2016-10-31,2016-11-03,ho46992089,sch0021
10:00:00-07:00,18:00:00-07:00,,,,2016-11-05,2016-11-05,ho46992089,sch0022
08:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho44356542,sch0023
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho44356542,sch0024
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho44356542,sch0025
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho44356542,sch0026
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho44356542,sch0027
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho44356542,sch0028
10:00:00-07:00,18:00:00-07:00,,,,2016-11-05,2016-11-05,ho44356542,sch0029
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-25,ho40390467,sch0030
08:00:00-07:00,12:00:00-07:00,,,,2016-10-22,2016-10-22,ho58582591,sch0031
10:00:00-07:00,20:00:00-07:00,,,,2016-10-25,2016-10-28,ho58582591,sch0032
08:00:00-07:00,12:00:00-07:00,,,,2016-10-29,2016-10-29,ho58582591,sch0033
10:00:00-07:00,20:00:00-07:00,,,,2016-11-01,2016-11-04,ho58582591,sch0034
08:00:00-07:00,12:00:00-07:00,,,,2016-11-05,2016-11-05,ho58582591,sch0035
08:00:00-07:00,16:00:00-07:00,,,,2016-10-22,2016-10-22,ho88987841,sch0036
08:00:00-07:00,16:00:00-07:00,,,,2016-10-25,2016-10-29,ho88987841,sch0037
08:00:00-07:00,16:00:00-07:00,,,,2016-11-01,2016-11-05,ho88987841,sch0038
08:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho5375025,sch0039
08:00:00-07:00,17:00:00-07:00,,,,2016-10-18,2016-10-21,ho5375025,sch0040
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho5375025,sch0041
10:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-29,ho5375025,sch0042
10:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-05,ho5375025,sch0043
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho59185868,sch0044
12:00:00-07:00,20:00:00-07:00,,,,2016-10-25,2016-10-28,ho59185868,sch0045
10:00:00-07:00,18:00:00-07:00,,,,2016-10-29,2016-10-29,ho59185868,sch0046
12:00:00-07:00,20:00:00-07:00,,,,2016-11-01,2016-11-04,ho59185868,sch0047
10:00:00-07:00,18:00:00-07:00,,,,2016-11-05,2016-11-05,ho59185868,sch0048
08:00:00-07:00,16:00:00-07:00,,,,2016-10-22,2016-10-22,ho81338829,sch0049
08:00:00-07:00,16:00:00-07:00,,,,2016-10-24,2016-10-29,ho81338829,sch0050
08:00:00-07:00,16:00:00-07:00,,,,2016-10-31,2016-11-05,ho81338829,sch0051
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho32556519,sch0052
10:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-29,ho32556519,sch0053
10:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-05,ho32556519,sch0054
10:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-04,ho54239899,sch0055
10:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-22,ho30688713,sch0056
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-29,ho30688713,sch0057
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-05,ho30688713,sch0058
10:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-22,ho30538808,sch0059
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-29,ho30538808,sch0060
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-05,ho30538808,sch0061
10:00:00-07:00,19:00:00-07:00,,,,2016-10-22,2016-10-22,ho27634171,sch0062
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-29,ho27634171,sch0063
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-05,ho27634171,sch0064
10:00:00-07:00,19:00:00-07:00,,,,2016-10-24,2016-10-25,ho13182757,sch0065
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-10-31,ho97196511,sch0066
10:00:00-07:00,19:00:00-07:00,,,,2016-10-27,2016-10-28,ho12572993,sch0067
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho77300808,sch0068
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho77300808,sch0069
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho77300808,sch0070
10:00:00-07:00,18:00:00-07:00,,,,2016-10-22,2016-10-22,ho93089134,sch0071
10:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-29,ho93089134,sch0072
10:00:00-07:00,18:00:00-07:00,,,,2016-11-01,2016-11-05,ho93089134,sch0073
08:00:00-07:00,20:00:00-07:00,,,,2016-10-11,2016-10-15,ho40174841,sch0074
08:00:00-07:00,20:00:00-07:00,,,,2016-10-17,2016-10-22,ho40174841,sch0075
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho40174841,sch0076
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho40174841,sch0077
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho39589751,sch0078
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho39589751,sch0079
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho39589751,sch0080
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho14041129,sch0081
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho14041129,sch0082
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho14041129,sch0083
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho31049066,sch0084
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho31049066,sch0085
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho31049066,sch0086
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho85128097,sch0087
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho85128097,sch0088
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho85128097,sch0089
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho91952681,sch0090
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho91952681,sch0091
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho91952681,sch0092
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho52767140,sch0093
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho52767140,sch0094
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho52767140,sch0095
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho27812686,sch0096
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho27812686,sch0097
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho27812686,sch0098
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho61314906,sch0099
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho61314906,sch0100
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho61314906,sch0101
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho97019903,sch0102
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho97019903,sch0103
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho97019903,sch0104
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho35244151,sch0105
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho35244151,sch0106
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho35244151,sch0107
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho92168968,sch0108
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho92168968,sch0109
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho92168968,sch0110
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho18771880,sch0111
08:00:00-07:00,20:00:00-07:00,,,,2016-10-24,2016-10-29,ho18771880,sch0112
08:00:00-07:00,20:00:00-07:00,,,,2016-10-31,2016-11-05,ho18771880,sch0113
08:00:00-07:00,20:00:00-07:00,,,,2016-10-22,2016-10-22,ho33884294,sch0114
