name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Belen Community Center,"305 Eagle Lane, Belen, NM 87002",,10:00 AM - 06:00 PM,,ho47617096,false,true,,,,poll47617096
Santa Ana Pueblo Community Center,"2 Dove Rd., Santa Ana Pueblo, NM 87004",,10:00 AM - 07:00 PM,,ho3216131,false,true,,,,poll3216131
Sandia Pueblo Aquatic Center,"143 North Santa Fe Trail, Sandia Pueblo, NM 87004",,10:00 AM - 07:00 PM,,ho47340341,false,true,,,,poll47340341
Torreon Chapter House,"Highway 197, Torreon, NM 87013",,10:00 AM - 07:00 PM,,ho79346548,false,true,,,,poll79346548
Eichwald Center,"46 Old Highway 126, Cuba, NM 87013",,10:00 AM - 07:00 PM,,ho48360755,false,true,,,,poll48360755
Edgewood Fire Station,"25 East Frontage Road, Edgewood, NM 87015",,10:00 AM - 06:00 PM,,ho73304388,false,true,,,,poll73304388
Torrance County Clerk's Office,"205 9th St, Estancia, NM 87016",,07:30 AM - 05:30 PM,,ho46992089,false,true,,,,poll46992089
Cibola County Complex,"515 W. High St., Grants, NM 87020",,08:00 AM - 05:00 PM,,ho44356542,false,true,,,,poll44356542
Jemez Pueblo Civic Center,"5117 Highway 4, Jemez Pueblo, NM 87024",,10:00 AM - 07:00 PM,,ho40390467,false,true,,,,poll40390467
Desiderio Community Center,"117 Tribal Rd. 7036, To'Hajiilee, NM 87026",,08:00 AM - 12:00 PM,,ho58582591,false,true,,,,poll58582591
Laguna Tribal Building,"22 Capital, Laguna, NM 87026",,08:00 AM - 04:00 PM,,ho88987841,false,true,,,,poll88987841
Valencia County Courthouse - Clerk's Office,"444 Luna Ave, Los Lunas, NM 87031",,08:00 AM - 05:00 PM,,ho5375025,false,true,,,,poll5375025
Rio West Mall,"1300 West I-40 Frontage Road, Gallup, NM 87031",,10:00 AM - 06:00 PM,,ho59185868,false,true,,,,poll59185868
Acoma Tribal Auditorium,"33A Pinsbaari Drive, Acoma, NM 87034",,08:00 AM - 04:00 PM,,ho81338829,false,true,,,,poll81338829
Moriarty Civic Center,"202 Broadway Ave., Moriarty, NM 87035",,10:00 AM - 06:00 PM,,ho32556519,false,true,,,,poll32556519
Cochiti Pueblo Community Center,"255 Cochiti St, Cochiti, NM 87041",,10:00 AM - 07:00 PM,,ho54239899,false,true,,,,poll54239899
Las Placitas Presbyterian Church,"7 Paseo De San Antonio, Placitas, NM 87043",,10:00 AM - 07:00 PM,,ho30688713,false,true,,,,poll30688713
Sandoval County Voting Machine Warehouse,"800 South Hill Rd., Bernalillo, NM 87044",,10:00 AM - 07:00 PM,,ho30538808,false,true,,,,poll30538808
Corrales Community Center,"4326 Corrales Rd., Corrales, NM 87048",,10:00 AM - 07:00 PM,,ho27634171,false,true,,,,poll27634171
