office-name,official-title,ocd-division,division - description,homepage - url,phone,email,location name,street,city,state,zip,start_time,end_time,start_date,end_date
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,Hardesty Library,8316 E 93rd St,Tulsa,OK,74133,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,Hardesty Library,8316 E 93rd St,Tulsa,OK,74133,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,Edmond Church of Christ,801 S Bryant Ave,Edmond,OK,73034,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Oklahoma County,County Clerk,ocd-division/country:us/state:ok/county:oklahoma,Oklahoma County OK,,405-713-1515,,Edmond Church of Christ,801 S Bryant Ave,Edmond,OK,73034,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave,",Oklahoma City,OK,73170,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Cleveland County,County Clerk,ocd-division/country:us/state:ok/county:cleveland,Cleveland County OK,,405-366-0210,,Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave,",Oklahoma City,OK,73170,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Adair County,County Clerk,ocd-division/country:us/state:ok/county:adair,Adair County OK,,918-696-7221,,,4 E Walnut St,Stilwell,OK,74960,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Adair County,County Clerk,ocd-division/country:us/state:ok/county:adair,Adair County OK,,918-696-7221,,,4 E Walnut St,Stilwell,OK,74960,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Alfalfa County,County Clerk,ocd-division/country:us/state:ok/county:alfalfa,Alfalfa County OK,,580-596-2718,,,602 W 5th St,Grove,OK,74344,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Alfalfa County,County Clerk,ocd-division/country:us/state:ok/county:alfalfa,Alfalfa County OK,,580-596-2718,,,602 W 5th St,Grove,OK,74344,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Atoka County,County Clerk,ocd-division/country:us/state:ok/county:atoka,Atoka County OK,,580-889-5297,,County Courthouse,200 E Court St,Atoka,OK,74525,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Atoka County,County Clerk,ocd-division/country:us/state:ok/county:atoka,Atoka County OK,,580-889-5297,,County Courthouse,200 E Court St,Atoka,OK,74525,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Beaver County,County Clerk,ocd-division/country:us/state:ok/county:beaver,Beaver County OK,,580-625-4742,,County Courthouse,111 W 2nd St,Beaver,OK,73932,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Beaver County,County Clerk,ocd-division/country:us/state:ok/county:beaver,Beaver County OK,,580-625-4742,,County Courthouse,111 W 2nd St,Beaver,OK,73932,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Beckham County,County Clerk,ocd-division/country:us/state:ok/county:beckham,Beckham County OK,,580-928-3314,,,306 E Main St,Davis,OK,73030,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Beckham County,County Clerk,ocd-division/country:us/state:ok/county:beckham,Beckham County OK,,580-928-3314,,,306 E Main St,Davis,OK,73030,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Blaine County,County Clerk,ocd-division/country:us/state:ok/county:blaine,Blaine County OK,,580-623-5518,,County Courthouse,212 N Weigle Ave,Watonga,OK,73772,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Blaine County,County Clerk,ocd-division/country:us/state:ok/county:blaine,Blaine County OK,,580-623-5518,,County Courthouse,212 N Weigle Ave,Watonga,OK,73772,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Bryan County,County Clerk,ocd-division/country:us/state:ok/county:bryan,Bryan County OK,,580-924-3228,,,402 W Evergreen St,Durant,OK,74701,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Bryan County,County Clerk,ocd-division/country:us/state:ok/county:bryan,Bryan County OK,,580-924-3228,,,402 W Evergreen St,Durant,OK,74701,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Caddo County,County Clerk,ocd-division/country:us/state:ok/county:caddo,Caddo County OK,,405-247-5001,,,110 SW 2nd St,Lawton,OK,73501,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Caddo County,County Clerk,ocd-division/country:us/state:ok/county:caddo,Caddo County OK,,405-247-5001,,,110 SW 2nd St,Lawton,OK,73501,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Canadian County,County Clerk,ocd-division/country:us/state:ok/county:canadian,Canadian County OK,,405-422-2422,,,200 S Bickford Ave,El Reno,OK,73036,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
