name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Hardesty Library,"8316 E 93rd St, Tulsa, OK 74133",,08:00 AM - 06:00 PM,,ho21965500,false,true,,,,poll70869149
Edmond Church of Christ,"801 S Bryant Ave, Edmond, OK 73034",,08:00 AM - 06:00 PM,,ho20281704,false,true,,,,poll43247183
Moore Norman Technology Center,"SW 134th St & S Pennsylvania Ave, Oklahoma City, OK 73170",,08:00 AM - 06:00 PM,,ho87295646,false,true,,,,poll97222459
,"4 E Walnut St, Stilwell, OK 74960",,08:00 AM - 06:00 PM,,ho63233385,false,true,,,,poll95490060
,"602 W 5th St, Grove, OK 74344",,08:00 AM - 06:00 PM,,ho63805699,false,true,,,,poll48873485
County Courthouse,"200 E Court St, Atoka, OK 74525",,08:00 AM - 06:00 PM,,ho22525279,false,true,,,,poll3009530
County Courthouse,"111 W 2nd St, Beaver, OK 73932",,08:00 AM - 06:00 PM,,ho56238586,false,true,,,,poll13201958
,"306 E Main St, Davis, OK 73030",,08:00 AM - 06:00 PM,,ho75686557,false,true,,,,poll6887701
County Courthouse,"212 N Weigle Ave, Watonga, OK 73772",,08:00 AM - 06:00 PM,,ho61802384,false,true,,,,poll99769698
,"402 W Evergreen St, Durant, OK 74701",,08:00 AM - 06:00 PM,,ho57945434,false,true,,,,poll51636434
,"110 SW 2nd St, Lawton, OK 73501",,08:00 AM - 06:00 PM,,ho56925920,false,true,,,,poll5181390
,"200 S Bickford Ave, El Reno, OK 73036",,08:00 AM - 06:00 PM,,ho15334198,false,true,,,,poll32426701
Courthouse Annex #1,"106 Hinkle St SW, El Reno, OK 73036",,08:00 AM - 06:00 PM,,ho58364668,false,true,,,,poll23793978
,"914 S College Ave, Tahlequah, OK 74464",,08:00 AM - 06:00 PM,,ho467941,false,true,,,,poll10306671
County Courthouse,"300 E Duke St, Hugo, OK 74743",,08:00 AM - 06:00 PM,,ho98877841,false,true,,,,poll66617321
County Courthouse,"1 Courthouse Square, Boise City, OK 73933",,08:00 AM - 06:00 PM,,ho97112187,false,true,,,,poll65183154
,"641 E Robinson St, Norman, OK 73071",,08:00 AM - 06:00 PM,,ho13811392,false,true,,,,poll5969591
,"18 N Michigan St, Coalgate, OK 74538",,08:00 AM - 06:00 PM,,ho65101213,false,true,,,,poll37741335
County Courthouse,"315 SW 5th St, Lawton, OK 73501",,08:00 AM - 06:00 PM,,ho69797791,false,true,,,,poll6598433
County Courthouse,"301 N Broadway St, Walters, OK 73572",,08:00 AM - 06:00 PM,,ho21794390,false,true,,,,poll75185106
,"210 W Delaware Ave, Vinita, OK 74301",,08:00 AM - 06:00 PM,,ho76925189,false,true,,,,poll64332861
,"230 E Hobson Ave, Sapulpa, OK 74066",,08:00 AM - 06:00 PM,,ho1230586,false,true,,,,poll43103248
,"633 N 6th St, Clinton, OK 73601",,08:00 AM - 06:00 PM,,ho24373049,false,true,,,,poll30295774
,"225 S 5th St, Henryetta, OK 74437",,08:00 AM - 06:00 PM,,ho50094942,false,true,,,,poll50693548
County Courthouse Basement,"RUBLE Ave At S Broadway St, Taloga, OK 73667",,08:00 AM - 06:00 PM,,ho67565897,false,true,,,,poll83443382
County Courthouse ,"101 S Washington St, Arnett, OK 73832",,08:00 AM - 06:00 PM,,ho19769701,false,true,,,,poll48764544
,"903 Failing Dr, Enid, OK 73701",,08:00 AM - 06:00 PM,,ho99590730,false,true,,,,poll71880365
County Courthouse ,"201 W Grant Ave, Pauls Valley, OK 73075",,08:00 AM - 06:00 PM,,ho85486529,false,true,,,,poll66656361
,"307 W Pennsylvania Ave, Chickasha, OK 73018",,08:00 AM - 06:00 PM,,ho78413014,false,true,,,,poll30168086
County Courthouse,"112 E Guthrie St, Medford, OK 73759",,08:00 AM - 06:00 PM,,ho98275152,false,true,,,,poll74404131
County Courthouse ,"106 E Jefferson St, Mangum, OK 73554",,08:00 AM - 06:00 PM,,ho30178903,false,true,,,,poll69188730
County Courthouse,"114 W Hollis St, Hollis, OK 73550",,08:00 AM - 06:00 PM,,ho45022557,false,true,,,,poll73849956
County Courthouse ,"311 SE 1st St, Buffalo, OK 73834",,08:00 AM - 06:00 PM,,ho5988788,false,true,,,,poll44675855
County Courthouse Annex,"202 E Main St, Stigler, OK 74462",,08:00 AM - 06:00 PM,,ho96931975,false,true,,,,poll82539719
County Courthouse,"200 N Broadway St, Holdenville, OK 74848",,08:00 AM - 06:00 PM,,ho37980498,false,true,,,,poll75653454
County Courthouse,"101 N Main St, Altus, OK 73521",,08:00 AM - 06:00 PM,,ho95593698,false,true,,,,poll86326982
