office-name,official-title,ocd-division,homepage-url,phone,email,Preceinct (if noted),Location Name,street,directions,city,state,zip,start_time,end_time,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,AND,Anderson Elementary School,1951 Mountain Rd.,,Andersonville,TN,37705,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,BRI,Briceville Elementary School,103 Slatestone Road,,Briceville,TN,37710,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,BRN,Claxton Community Center,1150 Edgemoor Rd,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,CCC,Clinton Community Center,101 Hicks St.,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,CHS,Clinton High School,425 Dragon Dr,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,CLX,Claxton Elementary School,2218 Clinton Hwy,,Powell,TN,37849,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,CMS,Clinton Middle School,110 N. Hicks St.,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,DVL,Dutch Valley Elementary School,1044 Dutch Valley Rd,,Clinton,TN,37716,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,EVL,Jefferson Middle School,200 Fairbanks Rd.,,Oak Ridge,TN,37830,,,
Anderson County,County Election Commission,ocd-division/country:us/state:tn/county:anderson,http://acelect.com/,(865) 457-6238,acec@andersontn.org,FVW,Fairview Elementary School,6715 Hickory Valley Rd.,,Heiskell,TN,37754,,,
