ballot_style_id,electoral_district_ids,external_identifier_type,external_identifier_othertype,external_identifier_value,is_mail_only,locality_id,name,number,polling_location_ids,precinct_split_name,ward,id
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0001,,poll47586490,,,pre954754
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0002,,poll63411592,,,pre954755
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0003,,poll63411592,,,pre954756
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0004,,poll25558546,,,pre954757
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0005,,poll81864944,,,pre954758
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0006,,poll47583128,,,pre954759
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0007,,poll56523936,,,pre954760
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0008,,poll45572443,,,pre954761
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0009,,poll79403832,,,pre954762
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0010,,poll46878158,,,pre954763
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0011,,poll52898555,,,pre954764
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0012,,poll69803037,,,pre954765
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0013,,poll2411154,,,pre954766
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0014,,poll3294090,,,pre954767
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0015,,poll19375838,,,pre954768
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0016,,poll83627784,,,pre954769
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0017,,poll67324873,,,pre954770
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0018,,poll76043016,,,pre954771
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0019,,poll5188040,,,pre954772
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0020,,poll23698702,,,pre954773
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0021,,poll49910927,,,pre954774
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0022,,poll73986487,,,pre954775
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0023,,poll5805027,,,pre954776
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0024,,poll85871505,,,pre954777
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0025,,poll42584093,,,pre954778
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0026,,poll49857491,,,pre954779
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0027,,poll74515216,,,pre954780
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0028,,poll25291175,,,pre954781
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0029,,poll36690418,,,pre954782
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0030,,poll72751009,,,pre954783
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0031,,poll87993477,,,pre954784
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0032,,poll84544654,,,pre954785
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0033,,poll64495909,,,pre954786
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0034,,poll39294703,,,pre954787
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0035,,poll42929655,,,pre954788
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0036,,poll71113420,,,pre954789
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0037,,poll9721138,,,pre954790
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0038,,poll51813208,,,pre954791
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0039,,poll74056598,,,pre954792
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0040,,poll84312179,,,pre954793
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0041,,poll20441487,,,pre954794
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0042,,poll31144784,,,pre954795
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0043,,poll94178639,,,pre954796
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0044,,poll81585790,,,pre954797
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0045,,poll76014113,,,pre954798
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0046,,poll43097241,,,pre954799
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0047,,poll48315806,,,pre954800
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0048,,poll34961273,,,pre954801
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0049,,poll37294268,,,pre954802
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0050,,poll24326343,,,pre954803
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0051,,poll24326343,,,pre954804
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0052,,poll25276413,,,pre954805
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0053,,poll83048589,,,pre954806
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0054,,poll93628196,,,pre954807
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0055,,poll78813512,,,pre954808
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0056,,poll45776479,,,pre954809
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0057,,poll57135480,,,pre954810
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0058,,poll22986005,,,pre954811
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0059,,poll97034651,,,pre954812
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0060,,poll40222898,,,pre954813
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0061,,poll56890985,,,pre954814
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0062,,poll15750603,,,pre954815
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0063,,poll78877325,,,pre954816
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0064,,poll50910126,,,pre954817
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0065,,poll19029101,,,pre954818
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0066,,poll80681414,,,pre954819
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0067,,poll73720145,,,pre954820
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0068,,poll67930715,,,pre954821
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0069,,poll89805046,,,pre954822
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0070,,poll55487493,,,pre954823
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0071,,poll55056850,,,pre954824
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0072,,poll32481763,,,pre954825
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0073,,poll8113747,,,pre954826
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0074,,poll52144950,,,pre954827
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0075,,poll6296953,,,pre954828
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0076,,poll97110882,,,pre954829
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0077,,poll54466346,,,pre954830
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0078,,poll82831609,,,pre954831
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0079,,poll62806162,,,pre954832
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0080,,poll84118897,,,pre954833
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0081,,poll29832351,,,pre954834
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0082,,poll80211966,,,pre954835
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0083,,poll31675101,,,pre954836
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0084,,poll60601997,,,pre954837
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0085,,poll56951067,,,pre954838
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0086,,poll1023730,,,pre954839
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0087,,poll18665594,,,pre954840
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0088,,poll16850775,,,pre954841
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0089,,poll63502469,,,pre954842
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0090,,poll78022304,,,pre954843
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0091,,poll10490486,,,pre954844
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0092,,poll38583538,,,pre954845
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0093,,poll57929686,,,pre954846
,,ocd-id,,ocd-division/country:us/state:tx/county:nueces,,loc19188740,0094,,poll50594472,,,pre954847
,,ocd-id,,,,,0095,,,,,pre954848
,,ocd-id,,,,,0096,,,,,pre954849
,,ocd-id,,,,,0097,,,,,pre954850
,,ocd-id,,,,,0098,,,,,pre954851
,,ocd-id,,,,,0099,,,,,pre954852
,,ocd-id,,,,,0100,,,,,pre954853
,,ocd-id,,,,,0101,,,,,pre954854
,,ocd-id,,,,,0102,,,,,pre954855
,,ocd-id,,,,,0103,,,,,pre954856
,,ocd-id,,,,,0104,,,,,pre954857
,,ocd-id,,,,,0105,,,,,pre954858
,,ocd-id,,,,,0106,,,,,pre954859
,,ocd-id,,,,,0107,,,,,pre954860
,,ocd-id,,,,,0108,,,,,pre954861
