office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time
Hays County,ocd-division/country:us/state:tx/county:hays,,110,New Life Christian Center,4000 Hwy 123,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,111,Dunbar Center,801 MLK Dr.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,112,Dunbar Center,801 MLK Dr.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,113,Hays County Health Dept.,401 A Broadway St.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,120,"San Marcos Housing, CM Allen Hms",820 Sturgeon St.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,125,Chapa Middle School,3311 Dacy Ln.,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,127,Tobias Elementary School,1005 E FM 150,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,129,City of Kyle Fire Station #2,150 Bunton Rd.,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,221,ACC Hays Campus,1200 Kohler Crossing,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,223,Kyle City Hall,100 W Center St.,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,224,Buda City Hall,121 N Main Street,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,225,Hays County Precinct 2 Office,5458 FM 2770 @ Crystal Meadow Dr.,Kyle,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,226,Hays Hills Baptist Church,1401 N FM 1626,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,228,Tom Green Elementary School,1301 Old Goforth Rd.,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,229,County Line Water Supply,131 S. El Camino Real,Uhland,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,230,Southern Hills Church of Christ,3740 Ranch Rd 967,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,232,Southern Hills Church of Christ,3740 Ranch Rd 967,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,234,Goforth Water Supply,8900 Niederwald Strasse,Niederwald,TX,78640,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,236,Southern Hills Church of Christ,3740 Ranch Rd 967,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,238,Southern Hills Church of Christ,3740 Ranch Rd 967,Buda,TX,78610,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,301,First Baptist Church – San Marcos,325 W McCarty Ln.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,315,First Baptist Church – San Marcos,325 W McCarty Ln.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,316,Hernandez Elementary School,333 Stagecoach Trl.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,317,Hernandez Elementary School,333 Stagecoach Trl.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,318,Crockett Elementary School,1300 Girard St,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,330,Crockett Elementary School,1300 Girard St,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,332,Travis Elementary School,1437 Post Rd,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,333,Wimberley Community Center,14068 Ranch Rd 12,Wimberley,TX,78676,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,334,Crockett Elementary School,1300 Girard St,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,335,Cypress Creek Church,211 Stillwater,Wimberley,TX,78676,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,336,Brookdale - Horizon Bay at San Marcos,1720 Old Ranch Rd 12,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,337,VFW Post 6441 Hall,"401 Jacobs Well, Veterans Park off Ranch Rd 12",Wimberley,TX,78676,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,339,Hays Fire Station #12,8301 Ranch Rd 12,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,413,Allenwood Homes,1201 Thorpe Ln.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
Hays County,ocd-division/country:us/state:tx/county:hays,,414,Allenwood Homes,1201 Thorpe Ln.,San Marcos,TX,78666,07:00:00 - 06:00,19:00:00 - 06:00
