office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time
Nueces County,ocd-division/country:us/state:tx/county:nueces,,01,Antonio Garcia Arts & Education Center,2021 Agnes St,Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,02,Baker Middle School,3445 Pecan St.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,03,Baker Middle School,3445 Pecan St.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,04,Banquete ISD,4339 Fourth St.,BANQUETE,TX,78339,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,05,Ben Garza Gym,1815 Howard St.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,06,Bishop High School,100 Badger Ln.,BISHOP,TX,78343,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,07,Bishop Primary School,705 W. Main St.,BISHOP,TX,78343,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,08,Blanche Moore Elementary,6121 Durant Dr.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,09,Brooks A.M.E. Worship Center,2101 N Port Ave,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,10,Calallen East Elementary,3709 Lott Ave.,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,11,Calallen Middle School,4602 Cornett Rd.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,12,Cimarron Senior Apartments,2802 Cimarron Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,13,Club Estates Elementary,5222 Merganser Dr.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,14,Cullen Middle School,5224 Greely Dr.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,15,Cunningham Middle School,4321 Prescott St.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,16,David Berlanga Community Center,1513 2nd St,AGUA DULCE,TX,78330,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,17,David Crockett Elementary,2625 Belton St.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,18,Deaf and Hard of Hearing Center,5151 McArdle Rd.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,19,Del Mar College,101 Baldwin Blvd.,Corpus Christi,TX,78404,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,20,Driscoll I.S.D.,410 W. Ave. D,DRISCOLL,TX,78351,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,21,Driscoll Middle School,3501 Kenwood Dr.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,22,Ella Barnes Elementary,2829 Oso Parkway,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,23,Ethel Eyerly Senior Center,654 Graham Rd.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,24,Fannin Elementary,2730 Gollihar Rd.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,25,Fire Station #7,3722 S. Staples St.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,26,Fire Station # 9,501 Navigation Blvd.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,27,Fire Station # 11,910 Airline Rd.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,28,Fire Station #12,2120 Rand Morgan Rd.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,29,Flour Bluff ISD (Maintenance Bldg.),2505 Waldron Rd.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,30,Galvan Elementary,3126 Masterson Dr.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,31,Gibson Elementary,5723 Hampshire Rd.,Corpus Christi,TX,78408,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,32,Gloria Hicks Elementary,3602 McArdle Rd.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,33,Grace Presbyterian Church,6301 Yorktown Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,34,Grant Middle School,4350 Aaron Dr.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,35,Hamlin Middle School,3900 Hamlin Dr.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,36,Harold T. Branch Academy,3902 Morgan St.,Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,37,Hilltop Community Center,11425 Leopard St.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,38,Island Presbyterian Church,14030 Fortuna Bay Dr.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,39,John F. Kennedy Elementary,1102 Villarreal Rd.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,40,Johnny Calderon Building.,710 E. Main St.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,41,Keach Family Library,1000 Terry Shamsie,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,42,King High School,5225 Gollihar Rd.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,43,Kiwanis Recreation Center,3933 Timon Blvd.,Corpus Christi,TX,78402,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,44,Kolda Elementary,3730 Rodd Field,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,45,Korean Presbyterian Church,4326 McArdle Rd.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,46,Kostoryz Elementary,3602 Panama Dr.,Corpus Christi,TX,78415,07:00:00 - 06:00,19:00:00 - 06:00
Nueces County,ocd-division/country:us/state:tx/county:nueces,,47,La Retama Central Library,805 Comanche St.,Corpus Christi,TX,78401,07:00:00 - 06:00,19:00:00 - 06:00
