office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,1,Reinhardt Elementary ,615 Highland Dr,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0001A,Lake Pointe Education CTR,9400 Lakeview PKWY,Rowlett,TX,75088,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0001B,Ridgeview Church,1362 E. FM 552,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0001C,Nebbie William Elementary,350 Dalton Rd,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,2,Student Ministry Bldg First Baptist Church,710 S. Goliad,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0002A,Our Savior Lutheran Church,3003 Horizon,Rockwall,TX,75032,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0002C,Heath City Hall,200 Laurence Dr,Heath,TX,75032,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,3,Expansion Church,418 E. Bourne Ave,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0003A,Amanda Rochell Elementary,899 Rochell Court,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0003B,Dorris Jones Elementary,2051 Trail Glen,Rockwall,TX,75032,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0003C,Pullen Elementary,6492 FM 3097,Rockwall,TX,75032,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0003D,McLendon-Chisholm City Hall,1371 W FM 550,McLendon-Chisholm,TX,75032,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,4,Rockwall ISD Administration Bldg,1050 Williams St,Rockwall,TX,75087,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0004A,First Baptist Chuch of Fate,813 Holiday (Hwy 66),Fate,TX,75132,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0004B,Royse City Hall,305 N. Arch St ,Royse City,TX,75189,07:00:00 - 06:00,19:00:00 - 06:00
Rockwall County,ocd-division/country:us/state:tx/county:rockwall,,0004C,Ernest Epps Education Center,812 E. Old Greenville,Royse City,TX,75189,07:00:00 - 06:00,19:00:00 - 06:00
