name,county,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_time,end_time,start_date,end_date,days_times_open,id
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Magna Senior Center (EV) AM,Salt Lake,Magna Senior Center,9228 W Magna Main St,2700 S,,Magna,UT,84044,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Magna Senior Center (EV) AM,Salt Lake,Magna Senior Center,9228 W Magna Main St,2700 S,,Magna,UT,84044,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Riverton Senior Center (EV) AM,Salt Lake,Riverton Senior Center,12914 S Redwood Rd,1700 W,,Riverton,UT,84065,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Riverton Senior Center (EV) AM,Salt Lake,Riverton Senior Center,12914 S Redwood Rd,1700 W,,Riverton,UT,84065,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,11:00:00 - 07:00,16:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 11:00 AM to 04:00 PM<br>10/26/2016 11:00 AM to 04:00 PM<br>10/27/2016 11:00 AM to 04:00 PM<br>10/28/2016 11:00 AM to 04:00 PM<br>10/31/2016 01:00 PM to 06:00 PM<br>11/01/2016 01:00 PM to 06:00 PM<br>11/02/2016 01:00 PM to 06:00 PM<br>11/03/2016 01:00 PM to 06:00 PM<br>11/04/2016 12:00 PM to 05:00 PM<br>,1.60E+11
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,13:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,12:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Dixie Convention Center,Washington,Dixie Convention Center,1835 Convention Center Dr,,,St George,UT,84790,,,10:00:00 - 07:00,16:00:00 - 07:00,10/31/16,11/3/16,10/31/2016 10:00 AM to 04:00 PM<br>11/01/2016 10:00 AM to 04:00 PM<br>11/02/2016 10:00 AM to 04:00 PM<br>11/03/2016 10:00 AM to 04:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Dixie Convention Center,Washington,Dixie Convention Center,1835 Convention Center Dr,,,St George,UT,84790,,,13:00:00 - 07:00,17:00:00 - 07:00,11/3/16,11/4/16,,
