entry_name,county,loc_name,address_1,address_2,address_3,city,state,zip,dirs,services,start_time,end_time,start_date,end_date,days_times_open,state_id,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11,1,Trolley Square,"600 S 700 E, Salt Lake City, UT 84102",,03:00 PM-07:00 PM,,ho86815543,false,true,,,,poll61582448
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,,2,Trolley Square,"600 S 700 E, Salt Lake City, UT 84102",,03:00 PM-07:00 PM,,ho86815543,false,true,,,,poll61582448
Trolley Square (EV) PM,Salt Lake,Trolley Square,600 S 700 E,,,Salt Lake City,UT,84102,,,15:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,3,Trolley Square,"600 S 700 E, Salt Lake City, UT 84102",,03:00 PM-05:00 PM,,ho86815543,false,true,,,,poll61582448
Magna Senior Center (EV) AM,Salt Lake,Magna Senior Center,9228 W Magna Main St,2700 S,,Magna,UT,84044,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11,4,Magna Senior Center,"9228 W Magna Main St, Magna, UT 84044",2700 S,10:00 AM-02:00 PM,,ho77224042,false,true,,,,poll49054574
Magna Senior Center (EV) AM,Salt Lake,Magna Senior Center,9228 W Magna Main St,2700 S,,Magna,UT,84044,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,,5,Magna Senior Center,"9228 W Magna Main St, Magna, UT 84044",2700 S,10:00 AM-02:00 PM,,ho77224042,false,true,,,,poll49054574
Riverton Senior Center (EV) AM,Salt Lake,Riverton Senior Center,12914 S Redwood Rd,1700 W,,Riverton,UT,84065,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11,6,Riverton Senior Center,"12914 S Redwood Rd, Riverton, UT 84065",1700 W,10:00 AM-02:00 PM,,ho82147400,false,true,,,,poll89601719
Riverton Senior Center (EV) AM,Salt Lake,Riverton Senior Center,12914 S Redwood Rd,1700 W,,Riverton,UT,84065,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,,7,Riverton Senior Center,"12914 S Redwood Rd, Riverton, UT 84065",1700 W,10:00 AM-02:00 PM,,ho82147400,false,true,,,,poll89601719
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,11:00:00 - 07:00,16:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 11:00 AM to 04:00 PM<br>10/26/2016 11:00 AM to 04:00 PM<br>10/27/2016 11:00 AM to 04:00 PM<br>10/28/2016 11:00 AM to 04:00 PM<br>10/31/2016 01:00 PM to 06:00 PM<br>11/01/2016 01:00 PM to 06:00 PM<br>11/02/2016 01:00 PM to 06:00 PM<br>11/03/2016 01:00 PM to 06:00 PM<br>11/04/2016 12:00 PM to 05:00 PM<br>,1.60E+11,8,Santa Clara Branch Library,"1099 Lava Flow Dr, St George, UT 84770",,11:00 AM-04:00 PM,,ho37957929,false,true,,,,poll25845735
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,13:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,,9,Santa Clara Branch Library,"1099 Lava Flow Dr, St George, UT 84770",,01:00 PM-06:00 PM,,ho37957929,false,true,,,,poll25845735
Santa Clara Branch Library,Washington,Santa Clara Branch Library,1099 Lava Flow Dr,,,St George,UT,84770,,,12:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,10,Santa Clara Branch Library,"1099 Lava Flow Dr, St George, UT 84770",,12:00 PM-05:00 PM,,ho37957929,false,true,,,,poll25845735
