ocd_division,email,county,loc_name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,by_appointment_one,by_appointment_two,appointmnents,subject_to_change,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,1,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,2,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,3,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,False,False,False,False,4,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,5,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,6,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,12:00:00 - 6:00 ,10-29-2016,10-29-2016,False,False,False,False,7,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 12:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,8,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,12:00:00 - 6:00 ,11-05-2016,11-05-2016,False,False,False,False,9,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 12:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,10,Albany County Courthouse,"525 Grand Ave, Ste 202, Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho64748867,false,true,,,,poll12173399
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,11,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,12,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,13,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,False,False,False,False,14,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,15,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,16,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,17,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,18,Big Horn County Courthouse,"420 West C Street, Basin, WY 82410",,08:00 AM - 05:00 PM,,ho90801537,false,true,,,,poll87376340
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,19,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,20,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,21,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,False,False,False,False,22,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,23,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,24,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,25,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:campbell,sfs02@ccgov.net,Campbell County,Campbell County Courthouse,500 S. Gillette Ave.,Ste 1600,Gillette,WY,82716,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,26,Campbell County Courthouse,"500 S. Gillette Ave., Ste 1600, Gillette, WY 82716",,08:00 AM - 05:00 PM,,ho91692901,false,true,,,,poll32736933
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,09-29-2016,09-30-2016,False,False,False,False,27,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,28,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,False,False,False,False,29,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,30,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,31,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,32,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:carbon,gwynnbartlett@carbonwy.com,Carbon County,Carbon County Courthouse,415 W Pine St,,Rawlins,WY,82301,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,33,Carbon County Courthouse,"415 W Pine St, Rawlins, WY 82301",,08:00 AM - 05:00 PM,,ho60664403,false,true,,,,poll22969971
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,34,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,35,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,36,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,False,False,False,False,37,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,38,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,39,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,40,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:converse,lucile.taylor@conversecountywy.gov,Converse County,Converse County Courthouse,107 North 5th Street,Ste 114,Douglas,WY,82633-2448,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,41,Converse County Courthouse,"107 North 5th Street, Ste 114, Douglas, WY 82633",,08:00 AM - 05:00 PM,,ho10027152,false,true,,,,poll20335819
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,42,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,43,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,44,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,False,False,False,False,45,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,46,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,47,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,48,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:crook,LindaF@crookcounty.wy.gov,Crook County,Crook County Courthouse,309 Cleveland Street,,Sundance,WY,82729,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,49,Crook County Courthouse,"309 Cleveland Street, Sundance, WY 82729",,08:00 AM - 05:00 PM,,ho12993656,false,true,,,,poll7680626
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,50,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,51,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,52,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-10-2016,10-14-2016,False,False,False,False,53,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-17-2016,10-21-2016,False,False,False,False,54,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-24-2016,10-28-2016,False,False,False,False,55,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 6:00,17:00:00 - 6:00 ,10-31-2016,11-04-2016,False,False,False,False,56,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:fremont,julie.freese@fremontcountygovernment.org,Fremont County,Fremont County Courthouse,450 North 2nd Street,Rm 220,Lander,WY,82520-0090,8:00:00 - 7:00,17:00:00 - 7:00 ,11-07-2016,11-07-2016,False,False,False,False,57,Fremont County Courthouse,"450 North 2nd Street, Rm 220, Lander, WY 82520",,08:00 AM - 05:00 PM,,ho31317667,false,true,,,,poll75027890
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,09-23-2016,09-23-2016,False,False,False,False,58,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,09-26-2016,09-30-2016,False,False,False,False,59,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-03-2016,10-07-2016,False,False,False,False,60,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-11-2016,10-14-2016,False,False,False,False,61,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-17-2016,10-21-2016,False,False,False,False,62,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-24-2016,10-28-2016,False,False,False,False,63,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 6:00,16:00:00 - 6:00,10-31-2016,11-04-2016,False,False,False,False,64,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:goshen,ckenyon@goshencounty.org,Goshen County,Goshen County Courthouse,2125 East A Street,,Torrington,WY,82240,7:30:00 - 7:00,16:00:00 - 7:00,11-07-2016,11-07-2016,False,False,False,False,65,Goshen County Courthouse,"2125 East A Street, Torrington, WY 82240",,07:30 AM - 04:00 PM,,ho38410335,false,true,,,,poll79953279
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,09-23-2016,09-23-2016,False,False,False,False,66,Hot Springs County Courthouse,"415 Arapahoe, Thermopolis, WY 82443",,08:00 AM - 05:00 PM,,ho99245616,false,true,,,,poll60829909
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,09-26-2016,09-30-2016,False,False,False,False,67,Hot Springs County Courthouse,"415 Arapahoe, Thermopolis, WY 82443",,08:00 AM - 05:00 PM,,ho99245616,false,true,,,,poll60829909
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-03-2016,10-07-2016,False,False,False,False,68,Hot Springs County Courthouse,"415 Arapahoe, Thermopolis, WY 82443",,08:00 AM - 05:00 PM,,ho99245616,false,true,,,,poll60829909
ocd-division/country:us/state:wy/county:hot_springs,ninaw@hscounty.com,Hot Springs County,Hot Springs County Courthouse,415 Arapahoe,,Thermopolis,WY,82443-2783,8:00:00 - 6:00,17:00:00 - 6:00 ,10-11-2016,10-14-2016,False,False,False,False,69,Hot Springs County Courthouse,"415 Arapahoe, Thermopolis, WY 82443",,08:00 AM - 05:00 PM,,ho99245616,false,true,,,,poll60829909
