officename,Name,Address,Address2,directions,city,state,zip,start time,end time,Start date,End date,Is by appointment,ocdid
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:33
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:33
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:33
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:33
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:33
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:33
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35
PORT PROTECTION,WOODEN WHEEL COVE TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35
PORT PROTECTION,WOODEN WHEEL TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35
PORT PROTECTION,WOODEN WHEEL TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35
