office-name,ocd-division,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-12-16,10-12-16,OCt 12 - Nov 7 7:00a.m. - 5:00p.m. 2 locations: Chinle Road Yard and Ft. Defiance Road Yard (see http://www.co.apache.az.us/wp-content/uploads/2016/08/EarlyVoting-Flyer2.pdf) 
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-17-16,10-19-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-24-16,10-26-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-31-16,11-02-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 07:00,17:00:00 - 07:00,11-07-16,11-07-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-12-16,10-12-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-17-16,10-19-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-24-16,10-26-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-31-16,11-02-16,
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 07:00,17:00:00 - 07:00,11-07-16,11-07-16,
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-13-16,10-14-16,8-5pm M-F. The last day and time to vote early on-site for the General Election is November 4 at 5 pm. Emergency early voting is available on November 7. For information call (520) 432-8358 or Toll Free 1-888-457-4513.
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,
Cochise County,ocd-division/country:us/state:az/county:cochise,http://www.co.cochise.az.us/recorders/,(520) 432-8354,voterreg@cochise.az.gov,"1415 W. Melody Lane, Bldg. B",Bisbee,AZ,85603,8:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,http://coconino.az.gov/DocumentCenter/View/11482
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,110 E. Cherry Ave.,Flagstaff,AZ,86001,08:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,78 Main St,Tuba City,AZ,86045,08:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-12-16,10-13-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-17-16,10-20-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-24-16,10-27-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,113 S 1st St,Williams,AZ,86046,07:30:00 - 07:00,17:00:00 - 07:00,10-31-16,11-03-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-12-16,10-13-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-17-16,10-20-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-24-16,10-27-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,102 Roadrunner Dr,Sedona,AZ,86336,07:00:00 - 07:00,18:00:00 - 07:00,10-31-16,11-03-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-12-16,10-13-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-17-16,10-20-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-24-16,10-27-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,697 Vista Ave,Page,AZ,86040,07:00:00 - 07:00,17:30:00 - 07:00,10-31-16,11-03-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-12-16,10-13-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-17-16,10-20-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-24-16,10-27-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,25 N Main St,Fredonia,AZ,84741,07:30:00 - 07:00,17:30:00 - 07:00,10-31-16,11-03-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-12-16,10-13-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-17-16,10-20-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-24-16,10-27-16,
Coconino County,ocd-division/country:us/state:az/county:coconino,http://www.coconino.az.gov/index.aspx?nid=319,(928) 679-7860,ccelections@coconino.az.gov,1 Boulder St,Grand Canyon Village,AZ,86023,06:00:00 - 07:00,16:30:00 - 07:00,10-31-16,11-03-16,
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,http://www.gilacountyaz.gov/government/recorder/early_polling_sites.php. (PRIMARY DATES - general available MID SEPTEMBER 
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-17-16,10-21-16,
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-24-16,10-28-16,
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,1400 E. Ash St.,Globe,AZ,85501,8:00:00 - 07:00,17:00:00 - 07:00,10-31-16,11-04-16,
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,8:00:00 - 07:00,12:00:00 - 07:00,10-12-16,10-14-16,
Gila County,ocd-division/country:us/state:az/county:gila,http://www.gilacountyaz.gov/government/recorder/,(928) 402-8731,sbingham@gilacountyaz.gov,201 W. Frontier St.,Payson,AZ,85541,13:00:00 - 07:00,17:00:00 - 07:00,10-12-16,10-14-16,
