county,ocd_division,homepage_url,phone,email,street,city,state,zip_code,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-12-16,10-12-16,1,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho36949660,false,AZ,,,,poll19288272
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-17-16,10-19-16,2,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho36949660,false,AZ,,,,poll19288272
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-24-16,10-26-16,3,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho36949660,false,AZ,,,,poll19288272
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 06:00,17:00:00 - 06:00,10-31-16,11-02-16,4,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho36949660,false,AZ,,,,poll19288272
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191",Chinle,AZ,86503,7:00:00 - 07:00,17:00:00 - 07:00,11-07-16,11-07-16,5,"Chinle Road Yard, 50 yards South of Old Mustang Store, Highway 191, Chinle, AZ 86503",,07:00 AM-05:00 PM,,ho36949660,false,AZ,,,,poll19288272
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-12-16,10-12-16,6,"Fort Defiance Road Yard, Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho69033752,false,AZ,,,,poll83287847
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-17-16,10-19-16,7,"Fort Defiance Road Yard, Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho69033752,false,AZ,,,,poll83287847
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-24-16,10-26-16,8,"Fort Defiance Road Yard, Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho69033752,false,AZ,,,,poll83287847
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 06:00,17:00:00 - 06:00,10-31-16,11-02-16,9,"Fort Defiance Road Yard, Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho69033752,false,AZ,,,,poll83287847
Apache County,ocd-division/country:us/state:az/county:apache,http://www.co.apache.az.us/recorder/,(928) 337-7515,lfulton@co.apache.az.us,"Fort Defiance Road Yard, Indn Route 12",Fort Defiance,AZ,86504,7:00:00 - 07:00,17:00:00 - 07:00,11-07-16,11-07-16,10,"Fort Defiance Road Yard, Indn Route 12, Fort Defiance, AZ 86504",,07:00 AM-05:00 PM,,ho69033752,false,AZ,,,,poll83287847
