start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
07:00:00-06:00,17:00:00-06:00,,,,2016-10-12,2016-10-12,ho36949660,sch0001
07:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-19,ho36949660,sch0002
07:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-26,ho36949660,sch0003
07:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-02,ho36949660,sch0004
07:00:00-07:00,17:00:00-07:00,,,,2016-11-07,2016-11-07,ho36949660,sch0005
07:00:00-06:00,17:00:00-06:00,,,,2016-10-12,2016-10-12,ho69033752,sch0006
07:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-19,ho69033752,sch0007
07:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-26,ho69033752,sch0008
07:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-02,ho69033752,sch0009
07:00:00-07:00,17:00:00-07:00,,,,2016-11-07,2016-11-07,ho69033752,sch0010
08:00:00-07:00,17:00:00-07:00,,,,2016-10-13,2016-10-14,ho39716982,sch0011
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho39716982,sch0012
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho39716982,sch0013
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho39716982,sch0014
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho91486104,sch0015
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho91486104,sch0016
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho91486104,sch0017
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho91486104,sch0018
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho61272318,sch0019
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho61272318,sch0020
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho61272318,sch0021
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho61272318,sch0022
07:30:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-13,ho20912467,sch0023
07:30:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-20,ho20912467,sch0024
07:30:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-27,ho20912467,sch0025
07:30:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-03,ho20912467,sch0026
07:00:00-07:00,18:00:00-07:00,,,,2016-10-12,2016-10-13,ho44815321,sch0027
07:00:00-07:00,18:00:00-07:00,,,,2016-10-17,2016-10-20,ho44815321,sch0028
07:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-27,ho44815321,sch0029
07:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho44815321,sch0030
07:00:00-07:00,17:30:00-07:00,,,,2016-10-12,2016-10-13,ho14261187,sch0031
07:00:00-07:00,17:30:00-07:00,,,,2016-10-17,2016-10-20,ho14261187,sch0032
07:00:00-07:00,17:30:00-07:00,,,,2016-10-24,2016-10-27,ho14261187,sch0033
07:00:00-07:00,17:30:00-07:00,,,,2016-10-31,2016-11-03,ho14261187,sch0034
07:30:00-07:00,17:30:00-07:00,,,,2016-10-12,2016-10-13,ho15939255,sch0035
07:30:00-07:00,17:30:00-07:00,,,,2016-10-17,2016-10-20,ho15939255,sch0036
07:30:00-07:00,17:30:00-07:00,,,,2016-10-24,2016-10-27,ho15939255,sch0037
07:30:00-07:00,17:30:00-07:00,,,,2016-10-31,2016-11-03,ho15939255,sch0038
06:00:00-07:00,16:30:00-07:00,,,,2016-10-12,2016-10-13,ho71953709,sch0039
06:00:00-07:00,16:30:00-07:00,,,,2016-10-17,2016-10-20,ho71953709,sch0040
06:00:00-07:00,16:30:00-07:00,,,,2016-10-24,2016-10-27,ho71953709,sch0041
06:00:00-07:00,16:30:00-07:00,,,,2016-10-31,2016-11-03,ho71953709,sch0042
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho9398961,sch0043
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho9398961,sch0044
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho9398961,sch0045
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho9398961,sch0046
08:00:00-07:00,12:00:00-07:00,,,,2016-10-12,2016-10-14,ho42993316,sch0047
13:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho42993316,sch0048
08:00:00-07:00,12:00:00-07:00,,,,2016-10-17,2016-10-21,ho42993316,sch0049
13:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho42993316,sch0050
08:00:00-07:00,12:00:00-07:00,,,,2016-10-24,2016-10-28,ho42993316,sch0051
13:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho42993316,sch0052
08:00:00-07:00,12:00:00-07:00,,,,2016-10-31,2016-11-04,ho42993316,sch0053
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho42993316,sch0054
10:00:00-07:00,14:00:00-07:00,,,,2016-10-18,2016-10-18,ho1784886,sch0055
10:00:00-07:00,14:00:00-07:00,,,,2016-10-19,2016-10-19,ho16635994,sch0056
09:00:00-07:00,11:00:00-07:00,,,,2016-10-20,2016-10-20,ho2146192,sch0057
13:00:00-07:00,15:00:00-07:00,,,,2016-10-20,2016-10-20,ho61379892,sch0058
10:00:00-07:00,14:00:00-07:00,,,,2016-10-25,2016-10-25,ho23972466,sch0059
10:00:00-07:00,14:00:00-07:00,,,,2016-10-26,2016-10-26,ho57909833,sch0060
10:00:00-07:00,14:00:00-07:00,,,,2016-10-27,2016-10-27,ho13654959,sch0061
07:00:00-07:00,18:00:00-07:00,,,,2016-10-12,2016-10-13,ho37176100,sch0062
07:00:00-07:00,18:00:00-07:00,,,,2016-10-17,2016-10-20,ho37176100,sch0063
07:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-27,ho37176100,sch0064
07:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho37176100,sch0065
08:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho37176100,sch0066
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho13764713,sch0067
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho13764713,sch0068
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho13764713,sch0069
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho13764713,sch0070
07:00:00-07:00,18:00:00-07:00,,,,2016-10-12,2016-10-13,ho4293706,sch0071
07:00:00-07:00,18:00:00-07:00,,,,2016-10-17,2016-10-20,ho4293706,sch0072
07:00:00-07:00,18:00:00-07:00,,,,2016-10-24,2016-10-27,ho4293706,sch0073
08:00:00-07:00,17:00:00-07:00,,,,2016-10-28,2016-10-28,ho4293706,sch0074
07:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho4293706,sch0075
08:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho4293706,sch0076
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho27125283,sch0077
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho27125283,sch0078
08:00:00-07:00,17:00:00-07:00,,,,2016-10-22,2016-10-22,ho27125283,sch0079
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho27125283,sch0080
08:00:00-07:00,17:00:00-07:00,,,,2016-10-29,2016-10-29,ho27125283,sch0081
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho27125283,sch0082
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho23484568,sch0083
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho23484568,sch0084
08:00:00-07:00,17:00:00-07:00,,,,2016-10-22,2016-10-22,ho23484568,sch0085
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho23484568,sch0086
08:00:00-07:00,17:00:00-07:00,,,,2016-10-29,2016-10-29,ho23484568,sch0087
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho23484568,sch0088
08:00:00-07:00,17:00:00-07:00,,,,2016-10-12,2016-10-14,ho21465615,sch0089
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho21465615,sch0090
08:00:00-07:00,17:00:00-07:00,,,,2016-10-22,2016-10-22,ho21465615,sch0091
