office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,notes,Merge status
Arkansas County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,,,10/24/16,11/7/16,,EMAIL_SENT
Ashley County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646,,,10/24/16,11/7/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m. ",EMAIL_SENT
Baxter County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,,,10/24/16,11/7/16,"1. Yes, early voting takes place in the Courthouse at the Clerk's Office.
2. By law the hours for early voting are 8 a.m. to 6 p.m. M-F, and 10-4 on Saturdays. Early voting (again by law) ends at 5 p.m. on Monday Nov. 7.
3. The Baxter County Election Commission plans to hold off-site early voting at the Twin Lakes Plaza. I do not know what hours they plan to be available.",EMAIL_SENT
Benton County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:benton,Benton County AR,,(479) 271-1013,bentonclerk@arkansasclerks.com,215 East Central,Bentonville,AR,72712,,,10/24/16,11/7/16,,EMAIL_OPENED
Boone County,Boone County Election Center ,":election,:registration",ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,,,10/24/16,11/7/16,"Early voting will take place at the Boone County Election Center located at 414 W. Central Harrison, AR 72601. It is what Arkansas calls an off-site early voting site. Meaning not held at the county clerk's office. EV starts Mon Oct 24-Nov7. Voting hours are M-F 8 am- 6 pm except on November 7th then it is 8 am to 5 pm. On Saturdays, its 10- 4 pm.",EMAIL_SENT
Bradley County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,,,10/24/16,11/7/16,"MON. - FRI. 8 a.m. - 6 p.m., SAT. 10 a.m. - 4 p.m",EMAIL_SENT
Calhoun County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,,,10/24/16,11/7/16,,EMAIL_SENT
Carroll County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,,,10/24/16,11/7/16,,EMAIL_SENT
Chicot County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:chicot,Chicot County AR,,(870) 265-8000,chicotclerk@arkansasclerks.com,108 Main St.,Lake Village,AR,71653,,,10/24/16,11/7/16," 8:00 a.m.- 6:00 p.m. Monday -Friday, Saturday 10:00 a.m.-4:00 p.m. and Monday day before election 8:00 a.m.-5:00 p.m.",EMAIL_SENT
Clark County,County Clerk,":election,:registration",ocd-division/country:us/state:ar/county:clark,Clark County AR,,(870) 246-4491,clarkclerk@arkansasclerks.com,401 Clay St.,Arkadelphia,AR,71923,,,10/24/16,11/7/16,"8am-6pm Oct. 24th thru Nov. 4th, 8am - 5pm on Nov. 7th and 10am-4pm on Sat. Oct. 29th & Nov 5th",EMAIL_SENT
