office-name,official-title,ocd-division,division - description,homepage - url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,101 Court Square,Dewitt,AR,72042,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646, 10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646, 08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646, 10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,"205 East Jefferson, #5",Hamburg,AR,71646,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Baxter County,County Clerk,ocd-division/country:us/state:ar/county:baxter,Baxter County AR,,(870) 425-3475,baxterclerk@arkansasclerks.com,"1 East 7th St., Suite 103",Mountain Home,AR,72653,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Boone County,Boone County Election Center,ocd-division/country:us/state:ar/county:boone,Boone County AR,,(870) 741-8428,booneclerk@arkansasclerks.com,414 W. Central Harrison,Harrison,AR,72601,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Bradley County,County Clerk,ocd-division/country:us/state:ar/county:bradley,Bradley County AR,,(870) 226-3464,bradleyclerk@arkansasclerks.com,101 East Cedar St.,Warren,AR,71671,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Calhoun County,County Clerk,ocd-division/country:us/state:ar/county:calhoun,Calhoun County AR,,(870) 798-2517,calhounclerk@arkansasclerks.com,309 West Main,Hampton,AR,71744,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,(870) 423-2022,carrollclerk@arkansasclerks.com,210 West Church St.,Berryville,AR,72616,08:00:00 - 04:00,17:00:00 - 04:00,11/7/16,11/7/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,44 S. Main St,Eureka Springs,AR,72632,08:00:00 - 04:00,18:00:00 - 04:00,10/24/16,10/28/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,44 S. Main St,Eureka Springs,AR,72632,10:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,44 S. Main St,Eureka Springs,AR,72632,08:00:00 - 04:00,18:00:00 - 04:00,10/31/16,11/4/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,44 S. Main St,Eureka Springs,AR,72632,10:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16
Carroll County,County Clerk,ocd-division/country:us/state:ar/county:carroll,Carroll County AR,,,,44 S. Main St,Eureka Springs,AR,72632,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16
