spr,title,ocd_division,description,homepage,phone,email,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,"8-6 M-F , 10-4 two Saturdays prior to election, Monday before the election 8-5",1,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 06:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,2,"101 Court Square, Dewitt, AR 72042",,10:00 AM - 04:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,3,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 06:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,4,"101 Court Square, Dewitt, AR 72042",,10:00 AM - 04:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,,Dewitt,AR,72042,08:00:00 - 05:00,17:00:00 - 06:00,11/7/16,11/7/16,,5,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 05:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,,6,"302 South College, Stuttgart, AR 72160",,08:00 AM - 06:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,,7,"302 South College, Stuttgart, AR 72160",,10:00 AM - 04:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/31/16,11/4/16,,8,"302 South College, Stuttgart, AR 72160",,08:00 AM - 06:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,11/5/16,11/5/16,,9,"302 South College, Stuttgart, AR 72160",,10:00 AM - 04:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,,Stuttgart,AR,72160,08:00:00 - 05:00,17:00:00 - 05:00,11/7/16,11/7/16,,10,"302 South College, Stuttgart, AR 72160",,08:00 AM - 05:00 PM,,ho26176157,false,true,,,,poll15704214
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk, 205 East Jefferson, #5,,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/24/16,10/28/16,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",11,"205 East Jefferson,  #5, Hamburg, AR 71646",,08:00 AM - 06:00 PM,,ho94334655,false,true,,,,poll26947986
