address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"101 Court Square, Dewitt, IN 72042",,08:00 AM - 06:00 PM,,ho65884971,false,true,,,,poll62800431
"205 East Jefferson, #5, Hamburg, IN 71646",,08:00 AM - 06:00 PM,,ho64910206,false,true,,,,poll32993218
"1 East 7th St., Suite 103, Mountain Home, IN 72653",,08:00 AM - 06:00 PM,,ho8452899,false,true,,,,poll17337328
"414 W. Central Harrison, Harrison, IN 72601",,08:00 AM - 06:00 PM,,ho26028280,false,true,,,,poll68025673
"101 East Cedar St., Warren, IN 71671",,08:00 AM - 06:00 PM,,ho60662883,false,true,,,,poll60389175
"309 West Main, Hampton, IN 71744",,08:00 AM - 06:00 PM,,ho44549987,false,true,,,,poll39481746
"210 West Church St., Berryville, IN 72616",,08:00 AM - 06:00 PM,,ho29295465,false,true,,,,poll70666889
"44 S. Main St, Eureka Springs, IN 72632",,08:00 AM - 06:00 PM,,ho60086915,false,true,,,,poll46410525
"108 Main St., Lake Village, IN 71653",,08:00 AM - 06:00 PM,,ho44055407,false,true,,,,poll55567195
"401 Clay St., Arkadelphia, IN 71923",,08:00 AM - 06:00 PM,,ho28679544,false,true,,,,poll2554226
"151 South Second Ave. AND 800 W Second St, Piggott and Corning, IN 72454",,08:00 AM - 06:00 PM,,ho47499673,false,true,,,,poll58250211
"800 Sw 2nd St, Corning, IN 72422",,08:00 AM - 06:00 PM,,ho52050444,false,true,,,,poll84155299
"301 West Main St, Heber Springs, IN 72543",,08:00 AM - 06:00 PM,,ho42131845,false,true,,,,poll47930527
"20 Magnolia Street, Rison, IN 71665",,08:00 AM - 06:00 PM,,ho37059052,false,true,,,,poll88601158
"1 Court Square, Suite 1, Magnolia, IN 71753",,08:00 AM - 06:00 PM,,ho98065091,false,true,,,,poll80735464
"4th Floor Courthouse, 115 South Moose St., Morrilton, IN 72110",,08:00 AM - 06:00 PM,,ho80412418,false,true,,,,poll37233585
"511 South Main, Room 202, Jonesboro, IN 72401",,08:00 AM - 06:00 PM,,ho70440826,false,true,,,,poll30995665
"315 W Jefferson, Jonesboro, IN 72401",,08:00 AM - 06:00 PM,,ho30448863,false,true,,,,poll72354989
"107 Cobean Blvd, Lake City, IN 72437",,08:00 AM - 06:00 PM,,ho18341313,false,true,,,,poll53378318
"300 Main St., Room 7, Van Buren, IN 72956",,08:00 AM - 06:00 PM,,ho89055777,false,true,,,,poll1243374
"1820 Chestnut St, Van Buren, IN 72956",,08:00 AM - 06:00 PM,,ho19479478,false,true,,,,poll29046279
"100 Court Square, Marion, IN 72364",,08:00 AM - 06:00 PM,,ho18903899,false,true,,,,poll58789186
"705 East Union St, Wynne, IN 72396",,08:00 AM - 06:00 PM,,ho75154673,false,true,,,,poll26456020
"608 Robert Moore Street, Arkansas City, IN 71630",,08:00 AM - 06:00 PM,,ho63946519,false,true,,,,poll20837386
"901 Holly St, Arkansas City, IN 71654",,08:00 AM - 06:00 PM,,ho80823105,false,true,,,,poll40318918
"18 Belmont St, Dumas, IN 71639",,08:00 AM - 06:00 PM,,ho41778340,false,true,,,,poll24855099
"210 South Main St., Monticello, IN 71655",,08:00 AM - 06:00 PM,,ho75416333,false,true,,,,poll71520843
"801 Locust St., Conway, IN 72034",,08:00 AM - 06:00 PM,,ho96134827,false,true,,,,poll97722996
"211 West Commercial, Ozark, IN 72949",,08:00 AM - 06:00 PM,,ho13908831,false,true,,,,poll77510405
"123 South Main Street, Salem, IN 72576",,08:00 AM - 06:00 PM,,ho4628546,false,true,,,,poll99647210
"649 Ouachita Ave, Hot Springs, IN 71901",,08:00 AM - 06:00 PM,,ho25343989,false,true,,,,poll51765875
"101 West Center, Room 106, Sheridan, IN 72150",,08:00 AM - 06:00 PM,,ho48289908,false,true,,,,poll23302682
"320 West Court Street, Room 102, Paragould, IN 72450",,08:00 AM - 06:00 PM,,ho60770776,false,true,,,,poll5671340
"400 South Washington, Hope, IN 71801",,08:00 AM - 06:00 PM,,ho50052675,false,true,,,,poll16809572
"230 W 2nd, Malvern, IN 72104",,08:00 AM - 06:00 PM,,ho59061850,false,true,,,,poll51719577
"421 North Main St., Room 10, Nashville, IN 71852",,08:00 AM - 06:00 PM,,ho90500328,false,true,,,,poll48196247
"192 East Main Street, Batesville, IN 72501",,08:00 AM - 06:00 PM,,ho51611277,false,true,,,,poll15526856
"500 Main St., Melbourne, IN 72556",,08:00 AM - 06:00 PM,,ho13821014,false,true,,,,poll71169553
"101 East Barraque Street, Pine Bluff, IN 71601",,08:00 AM - 06:00 PM,,ho86705946,false,true,,,,poll96068245
"215 West Main Street, Clarksville, IN 72830",,08:00 AM - 06:00 PM,,ho29128624,false,true,,,,poll34983020
"116 W 3rd St,, Lewisville, IN 71845",,08:00 AM - 06:00 PM,,ho66502702,false,true,,,,poll22955022
"315 West Main Street, Walnut Ridge, IN 72476",,08:00 AM - 06:00 PM,,ho82207064,false,true,,,,poll47786244
"15 East Chestnut Street, Room 4, Marianna, IN 72360",,08:00 AM - 06:00 PM,,ho51447576,false,true,,,,poll74275512
"300 South Drew St., Star City, IN 71667",,08:00 AM - 06:00 PM,,ho64037356,false,true,,,,poll65912890
"351 North 2nd St., Ashdown, IN 71822",,08:00 AM - 06:00 PM,,ho48924947,false,true,,,,poll5387401
"#25 West Walnut St., Paris, IN 72855",,08:00 AM - 06:00 PM,,ho43365854,false,true,,,,poll21130008
"301 North Center St, Lonoke, IN 72086",,08:00 AM - 06:00 PM,,ho88628305,false,true,,,,poll32194333
"201 West Main St., Suite 202, Huntsville, IN 72740",,08:00 AM - 06:00 PM,,ho63882063,false,true,,,,poll83404192
"300 East Old Main, Yellville, IN 72687",,08:00 AM - 06:00 PM,,ho34522176,false,true,,,,poll21232733
"400 Laurel St., Room 105, Texarkana, IN 71854",,08:00 AM - 06:00 PM,,ho10844067,false,true,,,,poll90004641
"200 West Hale, Osceola, IN 72370",,08:00 AM - 06:00 PM,,ho46368729,false,true,,,,poll13187330
"200 West Walnut Street, Blytheville, IN 72315",,08:00 AM - 06:00 PM,,ho12945400,false,true,,,,poll56861922
"105 NW Dewey, Manila, IN 72442",,08:00 AM - 06:00 PM,,ho44589368,false,true,,,,poll36764754
"105 S Main St, Leachville, IN 72438",,08:00 AM - 06:00 PM,,ho60662764,false,true,,,,poll89642400
"123 Madison Street, Clarendon, IN 72029",,08:00 AM - 06:00 PM,,ho93001865,false,true,,,,poll84808331
"117 Ray Drive, Mount Ida, IN 71957",,08:00 AM - 06:00 PM,,ho14815026,false,true,,,,poll19998825
"215 East 2nd St. South, Prescott, IN 71857",,08:00 AM - 06:00 PM,,ho7480721,false,true,,,,poll18597140
"100 East Court St, Jasper, IN 72641",,08:00 AM - 06:00 PM,,ho38247587,false,true,,,,poll27017548
"145 Jefferson St., Camden, IN 71701",,08:00 AM - 06:00 PM,,ho54408433,false,true,,,,poll49624895
"204 West Main, Perryville, IN 72126",,08:00 AM - 06:00 PM,,ho82349407,false,true,,,,poll49510873
"620 Cherry St., Suite 202, Helena, IN 72342",,08:00 AM - 06:00 PM,,ho2372668,false,true,,,,poll63120040
"401 Market St., Harrisburg, IN 72432",,08:00 AM - 06:00 PM,,ho79143569,false,true,,,,poll33851681
"606 Pine Street, Mena, IN 71953",,08:00 AM - 06:00 PM,,ho77794047,false,true,,,,poll48853607
"1509 East Main St, Suite 7, Russellville, IN 72801",,08:00 AM - 06:00 PM,,ho80967664,false,true,,,,poll81093296
"200 Courthouse Square, Suite 104; DeValls Bluff 183 Prairie St 72041, Des Arc, IN 72040",,08:00 AM - 06:00 PM,,ho69563624,false,true,,,,poll68416899
"101 East Broadway, Suite A, Pocahontas, IN 72455",,08:00 AM - 06:00 PM,,ho75752597,false,true,,,,poll45629173
"215 North Main, Suite 9, Benton, IN 72015",,08:00 AM - 06:00 PM,,ho67423211,false,true,,,,poll37400112
"221 North Main, Benton, IN 72015",,08:00 AM - 06:00 PM,,ho76774389,false,true,,,,poll84669009
"4200 Hwy 5 North, Bryant, IN 72022",,10:00 AM - 06:00 PM,,ho43382398,false,true,,,,poll19084177
"24705 Hwy 5, Lonsdale, IN 72087",,10:00 AM - 06:00 PM,,ho94006862,false,true,,,,poll31812139
"20422 North Springlake Road, Helsey, IN 72065",,10:00 AM - 06:00 PM,,ho18015228,false,true,,,,poll29456932
"190 West 1st St., Waldron, IN 72958",,08:00 AM - 06:00 PM,,ho68236294,false,true,,,,poll63478839
