start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho35080659,sch0001
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho35080659,sch0002
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho35080659,sch0003
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho35080659,sch0004
08:00:00-05:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho35080659,sch0005
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho44730125,sch0006
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho44730125,sch0007
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho44730125,sch0008
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho44730125,sch0009
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho44730125,sch0010
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho83259757,sch0011
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho83259757,sch0012
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho83259757,sch0013
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho83259757,sch0014
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho83259757,sch0015
10:00:00-05:00,16:00:00-05:00,,,,2016-10-24,2016-10-28,ho77559338,sch0016
10:00:00-05:00,16:00:00-05:00,,,,2016-10-31,2016-11-04,ho77559338,sch0017
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho17884193,sch0018
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho17884193,sch0019
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho17884193,sch0020
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho17884193,sch0021
08:00:00-06:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho17884193,sch0022
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho4969780,sch0023
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho4969780,sch0024
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho4969780,sch0025
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho4969780,sch0026
08:00:00-06:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho4969780,sch0027
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho33119152,sch0028
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho33119152,sch0029
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho33119152,sch0030
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho33119152,sch0031
08:00:00-06:00,17:00:00-05:00,,,,2016-11-07,2016-11-07,ho33119152,sch0032
08:30:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho71818225,sch0033
08:30:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho71818225,sch0034
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho18511442,sch0035
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho18511442,sch0036
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho70353278,sch0037
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho70353278,sch0038
09:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho7940164,sch0039
09:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho7940164,sch0040
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho30611508,sch0041
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho30611508,sch0042
09:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho9963740,sch0043
09:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho9963740,sch0044
09:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho40356597,sch0045
09:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho40356597,sch0046
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho28930629,sch0047
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho28930629,sch0048
08:00:00-04:00,18:00:00-04:00,,,,2016-10-31,2016-11-04,ho28930629,sch0049
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho28930629,sch0050
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho28930629,sch0051
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho37539806,sch0052
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho37539806,sch0053
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho37539806,sch0054
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho37539806,sch0055
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho37539806,sch0056
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho64599599,sch0057
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho64599599,sch0058
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho64599599,sch0059
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho64599599,sch0060
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho64599599,sch0061
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho58936397,sch0062
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho58936397,sch0063
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho58936397,sch0064
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho58936397,sch0065
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho58936397,sch0066
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho10654755,sch0067
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho10654755,sch0068
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho10654755,sch0069
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho10654755,sch0070
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho10654755,sch0071
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho17861247,sch0072
10:00:00-05:00,16:00:00-05:00,,,,2016-10-29,2016-10-29,ho17861247,sch0073
08:00:00-05:00,18:00:00-05:00,,,,2016-10-31,2016-11-04,ho17861247,sch0074
10:00:00-05:00,16:00:00-05:00,,,,2016-11-05,2016-11-05,ho17861247,sch0075
08:00:00-06:00,17:00:00-06:00,,,,2016-11-07,2016-11-07,ho17861247,sch0076
08:00:00-05:00,18:00:00-05:00,,,,2016-10-24,2016-10-28,ho31477641,sch0077
