start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho81028848,sch0001
08:30:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho81028848,sch0002
08:30:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho81028848,sch0003
09:00:00-07:00,03:00:00-07:00,,,,2016-10-29,2016-10-30,ho81028848,sch0004
08:30:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho81028848,sch0005
09:00:00-07:00,03:00:00-07:00,,,,2016-11-05,2016-11-06,ho81028848,sch0006
08:30:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho81028848,sch0007
09:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho77700636,sch0008
09:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho77700636,sch0009
09:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho77700636,sch0010
09:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho77700636,sch0011
09:00:00-07:00,04:00:00-07:00,,,,2016-11-05,2016-11-05,ho77700636,sch0012
09:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho77700636,sch0013
08:00:00-07:00,04:00:00-07:00,,,,2016-10-11,2016-10-14,ho34192186,sch0014
08:00:00-07:00,04:00:00-07:00,,,,2016-10-17,2016-10-21,ho34192186,sch0015
08:00:00-07:00,04:00:00-07:00,,,,2016-10-24,2016-10-28,ho34192186,sch0016
08:00:00-07:00,04:00:00-07:00,,,,2016-10-31,2016-11-04,ho34192186,sch0017
08:00:00-08:00,08:00:00-08:00,,,,2016-11-07,2016-11-07,ho34192186,sch0018
08:00:00-07:00,05:00:00-07:00,,,,2016-10-11,2016-10-14,ho72512269,sch0019
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho72512269,sch0020
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho72512269,sch0021
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho72512269,sch0022
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho72512269,sch0023
08:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho6618035,sch0024
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho6618035,sch0025
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho6618035,sch0026
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho6618035,sch0027
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho6618035,sch0028
08:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho71860804,sch0029
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho71860804,sch0030
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho71860804,sch0031
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho71860804,sch0032
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho71860804,sch0033
08:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho56375565,sch0034
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho56375565,sch0035
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho56375565,sch0036
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho56375565,sch0037
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho56375565,sch0038
07:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho88367127,sch0039
07:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho88367127,sch0040
07:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho88367127,sch0041
07:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho88367127,sch0042
06:00:00-08:00,08:00:00-08:00,,,,2016-11-07,2016-11-07,ho88367127,sch0043
08:30:00-07:00,05:00:00-07:00,,,,2016-10-11,2016-10-14,ho85684882,sch0044
08:30:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho85684882,sch0045
08:30:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho85684882,sch0046
08:30:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho85684882,sch0047
08:30:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho85684882,sch0048
08:00:00-07:00,05:00:00-07:00,,,,2016-10-11,2016-10-14,ho30293259,sch0049
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho30293259,sch0050
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho30293259,sch0051
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho30293259,sch0052
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho30293259,sch0053
08:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho22306379,sch0054
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho22306379,sch0055
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho22306379,sch0056
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho22306379,sch0057
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho22306379,sch0058
08:00:00-07:00,05:00:00-07:00,,,,2016-10-10,2016-10-14,ho40327739,sch0059
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho40327739,sch0060
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho40327739,sch0061
08:00:00-07:00,05:00:00-07:00,,,,2016-10-31,2016-11-04,ho40327739,sch0062
08:00:00-08:00,05:00:00-08:00,,,,2016-11-07,2016-11-07,ho40327739,sch0063
08:00:00-07:00,05:00:00-07:00,,,,2016-10-11,2016-10-14,ho87133124,sch0064
08:00:00-07:00,05:00:00-07:00,,,,2016-10-17,2016-10-21,ho87133124,sch0065
08:00:00-07:00,05:00:00-07:00,,,,2016-10-24,2016-10-28,ho87133124,sch0066
