ocd-division,county,name,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt_1,appt_2,appt_3,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,1,"1225 Fallon Street, Oakland, CA 94612",,08:30 AM-05:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,2,"1225 Fallon Street, Oakland, CA 94612",,08:30 AM-05:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,3,"1225 Fallon Street, Oakland, CA 94612",,08:30 AM-05:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,9:00:00,15:00:00,10/29/16,10/30/16,FALSE,FALSE,FALSE,FALSE,4,"1225 Fallon Street, Oakland, CA 94612",,09:00 AM-03:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,5,"1225 Fallon Street, Oakland, CA 94612",,08:30 AM-05:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,9:00:00,15:00:00,11/5/16,11/6/16,FALSE,FALSE,FALSE,FALSE,6,"1225 Fallon Street, Oakland, CA 94612",,09:00 AM-03:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:alameda,Alameda County,Registrar of Voters Office,1225 Fallon Street,,,Oakland,CA,94612,8:30:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,7,"1225 Fallon Street, Oakland, CA 94612",,08:30 AM-05:00 PM,,ho81028848,FALSE,TRUE,,,,poll30931741
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,8:00:00,17:00:00,10/13/16,10/14/16,FALSE,FALSE,FALSE,FALSE,8,"810 Court Street, Jackson, CA 95642",,08:00 AM-05:00 PM,,ho41004337,FALSE,TRUE,,,,poll62415200
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,9,"810 Court Street, Jackson, CA 95642",,08:00 AM-05:00 PM,,ho41004337,FALSE,TRUE,,,,poll62415200
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,10,"810 Court Street, Jackson, CA 95642",,08:00 AM-05:00 PM,,ho41004337,FALSE,TRUE,,,,poll62415200
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,11,"810 Court Street, Jackson, CA 95642",,08:00 AM-05:00 PM,,ho41004337,FALSE,TRUE,,,,poll62415200
ocd-division/country:us/state:ca/county:amador,Amador County,Registrar of Voters,810 Court Street,,,Jackson,CA,95642-2132,8:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,12,"810 Court Street, Jackson, CA 95642",,08:00 AM-05:00 PM,,ho41004337,FALSE,TRUE,,,,poll62415200
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,17:00:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE,13,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-05:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,14,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-05:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,15,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-05:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,16,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-05:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,16:00:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,FALSE,17,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-04:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:butte,Butte County,Elections Office,155 Nelson Ave,,,Oroville,CA,95965,9:00:00,17:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,18,"155 Nelson Ave, Oroville, CA 95965",,09:00 AM-05:00 PM,,ho77700636,FALSE,TRUE,,,,poll98810408
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,8:00:00,16:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,19,"891 Mountain Ranch Road, San Andreas, CA 95249",,08:00 AM-04:00 PM,,ho34192186,FALSE,TRUE,,,,poll3850315
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,8:00:00,16:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,20,"891 Mountain Ranch Road, San Andreas, CA 95249",,08:00 AM-04:00 PM,,ho34192186,FALSE,TRUE,,,,poll3850315
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,8:00:00,16:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,21,"891 Mountain Ranch Road, San Andreas, CA 95249",,08:00 AM-04:00 PM,,ho34192186,FALSE,TRUE,,,,poll3850315
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,8:00:00,16:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,22,"891 Mountain Ranch Road, San Andreas, CA 95249",,08:00 AM-04:00 PM,,ho34192186,FALSE,TRUE,,,,poll3850315
ocd-division/country:us/state:ca/county:calaveras,Calaveras County,County Clerk-Recorder,891 Mountain Ranch Road,,,San Andreas,CA,95249,8:00:00,20:00:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,23,"891 Mountain Ranch Road, San Andreas, CA 95249",,08:00 AM-08:00 PM,,ho34192186,FALSE,TRUE,,,,poll3850315
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,8:00:00,17:00:00,10/10/16,10/14/16,,,,,24,"555 Escobar Street, Martinez, CA 94553",,08:00 AM-05:00 PM,,ho62635214,FALSE,TRUE,,,,poll77054551
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,8:00:00,17:00:00,10/17/16,10/21/16,,,,,25,"555 Escobar Street, Martinez, CA 94553",,08:00 AM-05:00 PM,,ho62635214,FALSE,TRUE,,,,poll77054551
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,8:00:00,17:00:00,10/24/16,10/28/16,,,,,26,"555 Escobar Street, Martinez, CA 94553",,08:00 AM-05:00 PM,,ho62635214,FALSE,TRUE,,,,poll77054551
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,8:00:00,17:00:00,10/31/16,11/4/16,,,,,27,"555 Escobar Street, Martinez, CA 94553",,08:00 AM-05:00 PM,,ho62635214,FALSE,TRUE,,,,poll77054551
ocd-division/country:us/state:ca/county:contra_costa,Contra Costa County,County Clerk-Recorder-Registrar of Voters,555 Escobar Street,,,Martinez,CA,94553,8:00:00,17:00:00,11/7/16,11/7/16,,,,,28,"555 Escobar Street, Martinez, CA 94553",,08:00 AM-05:00 PM,,ho62635214,FALSE,TRUE,,,,poll77054551
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,29,"981 H Street, Room 160, Crescent City, CA 95531",,08:00 AM-05:00 PM,,ho72512269,FALSE,TRUE,,,,poll32367450
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,30,"981 H Street, Room 160, Crescent City, CA 95531",,08:00 AM-05:00 PM,,ho72512269,FALSE,TRUE,,,,poll32367450
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,31,"981 H Street, Room 160, Crescent City, CA 95531",,08:00 AM-05:00 PM,,ho72512269,FALSE,TRUE,,,,poll32367450
ocd-division/country:us/state:ca/county:del_norte,Del Norte County,County Clerk-Recorder,"981 H Street, Room 160",,,Crescent City,CA,95531,8:00:00,17:00:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,32,"981 H Street, Room 160, Crescent City, CA 95531",,08:00 AM-05:00 PM,,ho72512269,FALSE,TRUE,,,,poll32367450
