election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ca/county:alameda,ocd-division/country:us/state:ca/county:alam0007,poll30931741,st06,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ca/county:amador,ocd-division/country:us/state:ca/county:ama0008,poll62415200,st06,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ca/county:butte,ocd-division/country:us/state:ca/county:bu0018,poll98810408,st06,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ca/county:calaveras,ocd-division/country:us/state:ca/county:calave0020,poll3850315,st06,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ca/county:contra_costa,ocd-division/country:us/state:ca/county:contra_co0025,poll77054551,st06,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ca/county:del_norte,ocd-division/country:us/state:ca/county:del_no0029,poll32367450,st06,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ca/county:el_dorado,ocd-division/country:us/state:ca/county:el_dor0048,poll81735112 poll12306305,st06,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ca/county:fresno,ocd-division/country:us/state:ca/county:fre0053,poll78433664,st06,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ca/county:glenn,ocd-division/country:us/state:ca/county:gl0058,poll93785153,st06,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ca/county:humboldt,ocd-division/country:us/state:ca/county:humbo0068,poll46459874,st06,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ca/county:imperial,ocd-division/country:us/state:ca/county:imper0069,poll48592718,st06,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ca/county:inyo,ocd-division/country:us/state:ca/county:i0077,poll74270012,st06,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ca/county:kern,ocd-division/country:us/state:ca/county:k0084,poll73958333,st06,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ca/county:kings,ocd-division/country:us/state:ca/county:ki0085,poll37788599,st06,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ca/county:lassen,ocd-division/country:us/state:ca/county:las0092,poll40013324,st06,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ca/county:los_angeles,ocd-division/country:us/state:ca/county:los_ange0106,poll24955377,st06,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ca/county:madera,ocd-division/country:us/state:ca/county:mad0107,poll54856670 poll65006922,st06,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ca/county:marin,ocd-division/country:us/state:ca/county:ma0114,poll75856392,st06,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ca/county:mariposa,ocd-division/country:us/state:ca/county:marip0118,poll33199359,st06,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ca/county:mendocino,ocd-division/country:us/state:ca/county:mendoc0125,poll3135162,st06,other,,loc0020
,ocd-id,,ocd-division/country:us/state:ca/county:merced,ocd-division/country:us/state:ca/county:mer0131,poll50099825,st06,other,,loc0021
,ocd-id,,ocd-division/country:us/state:ca/county:modoc,ocd-division/country:us/state:ca/county:mo0141,poll25997673,st06,other,,loc0022
,ocd-id,,ocd-division/country:us/state:ca/county:mono,ocd-division/country:us/state:ca/county:m0147,poll4718991,st06,other,,loc0023
,ocd-id,,ocd-division/country:us/state:ca/county:monterey,ocd-division/country:us/state:ca/county:monte0154,poll16320877,st06,other,,loc0024
,ocd-id,,ocd-division/country:us/state:ca/county:napa,ocd-division/country:us/state:ca/county:n0159,poll37346554,st06,other,,loc0025
,ocd-id,,ocd-division/country:us/state:ca/county:nevada,ocd-division/country:us/state:ca/county:nev0169,poll40113841 poll68858213,st06,other,,loc0026
,ocd-id,,ocd-division/country:us/state:ca/county:orange,ocd-division/country:us/state:ca/county:ora0370,poll37598878 poll82493283 poll8885196 poll54644203 poll88271765 poll53831881,st06,other,,loc0027
,ocd-id,,ocd-division/country:us/state:ca/county:placer,ocd-division/country:us/state:ca/county:pla0178,poll92627841,st06,other,,loc0028
,ocd-id,,ocd-division/country:us/state:ca/county:riverside,ocd-division/country:us/state:ca/county:rivers0193,poll63894622,st06,other,,loc0029
,ocd-id,,ocd-division/country:us/state:ca/county:sacramento,ocd-division/country:us/state:ca/county:sacrame0379,poll21783368,st06,other,,loc0030
,ocd-id,,ocd-division/country:us/state:ca/county:san_benito,ocd-division/country:us/state:ca/county:san_ben0199,poll23198589,st06,other,,loc0031
,ocd-id,,ocd-division/country:us/state:ca/county:san_bernardino,ocd-division/country:us/state:ca/county:san_bernard0202,poll5652823,st06,other,,loc0032
,ocd-id,,ocd-division/country:us/state:ca/county:san_diego,ocd-division/country:us/state:ca/county:san_di0208,poll91978198,st06,other,,loc0033
,ocd-id,,ocd-division/country:us/state:ca/county:san_francisco,ocd-division/country:us/state:ca/county:san_franci0215,poll74514682,st06,other,,loc0034
,ocd-id,,ocd-division/country:us/state:ca/county:san_joaquin,ocd-division/country:us/state:ca/county:san_joaq0220,poll29541691,st06,other,,loc0035
,ocd-id,,ocd-division/country:us/state:ca/county:san_mateo,ocd-division/country:us/state:ca/county:san_ma0223,poll64532819 poll13101045 poll11819629,st06,other,,loc0036
,ocd-id,,ocd-division/country:us/state:ca/county:santa_barbara,ocd-division/country:us/state:ca/county:santa_barb0265,poll30546351 poll41484978 poll32380723,st06,other,,loc0037
,ocd-id,,ocd-division/country:us/state:ca/county:santa_clara,ocd-division/country:us/state:ca/county:santa_cl0298,poll62764315 poll64315078 poll77887620 poll60079122 poll25222355 poll52672569,st06,other,,loc0038
,ocd-id,,ocd-division/country:us/state:ca/county:santa_cruz,ocd-division/country:us/state:ca/county:santa_c0310,poll29991416 poll52902263,st06,other,,loc0039
,ocd-id,,ocd-division/country:us/state:ca/county:shasta,ocd-division/country:us/state:ca/county:sha0316,poll89113059,st06,other,,loc0040
,ocd-id,,ocd-division/country:us/state:ca/county:solano,ocd-division/country:us/state:ca/county:sol0322,poll66624871,st06,other,,loc0041
,ocd-id,,ocd-division/country:us/state:ca/county:stanislaus,ocd-division/country:us/state:ca/county:stanisl0324,poll26791746,st06,other,,loc0042
,ocd-id,,ocd-division/country:us/state:ca/county:tehama,ocd-division/country:us/state:ca/county:teh0329,poll36476267,st06,other,,loc0043
,ocd-id,,ocd-division/country:us/state:ca/county:tulare,ocd-division/country:us/state:ca/county:tul0334,poll39417218,st06,other,,loc0044
