address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,County,voter_services,start_date,end_date,start_time,end_time
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Anythink Library ‰ÛÒ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Anythink Library ‰ÛÒ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Anythink Library ‰ÛÒ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Anythink Library ‰ÛÒ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Anythink Library ‰ÛÒ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Commerce City Sheriff‰Ûªs Substation,4201 E 72nd Ave,,,Commerce City,CO,80022,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Commerce City Sheriff‰Ûªs Substation,4201 E 72nd Ave,,,Commerce City,CO,80022,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Commerce City Sheriff‰Ûªs Substation,4201 E 72nd Ave,,,Commerce City,CO,80022,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Commerce City Sheriff‰Ûªs Substation,4201 E 72nd Ave,,,Commerce City,CO,80022,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Commerce City Sheriff‰Ûªs Substation,4201 E 72nd Ave,,,Commerce City,CO,80022,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Brighton Recreation Center,555 N 11th Ave ,,,Brighton,CO,80601,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Commerce City Rec Center,6060 Parkway Dr  ,,,Commerce City,CO,80022,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Margaret Carpenter Recreation Center,11151 Colorado Blvd ,,,Thornton,CO,80233,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Perl Mack Community Center,7125 Mariposa St ,,,Denver,CO,80221,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Reunion Recreation Center,17910 Parkside Dr N ,,,Commerce City,CO,80022,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
The MAC Recreation Center,3295 West 72nd Ave ,,,Westminster,CO,80030,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
County Clerk,8999 Independence Way,,,Alamosa,CO,81101,,Alamosa,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
County Clerk,8999 Independence Way,,,Alamosa,CO,81101,,Alamosa,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
County Clerk,8999 Independence Way,,,Alamosa,CO,81101,,Alamosa,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
County Clerk,8999 Independence Way,,,Alamosa,CO,81101,,Alamosa,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
County Clerk,8999 Independence Way,,,Alamosa,CO,81101,,Alamosa,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
ASP Education Services Center 4,1085 Peoria Street,,,Aurora,CO,80011,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
ASP Education Services Center 5,1085 Peoria Street,,,Aurora,CO,80011,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
APS Professional Learning and Conference Center ,15771 E First Ave ,,,Aurora,CO,80011,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
APS Professional Learning and Conference Center ,15771 E First Ave ,,,Aurora,CO,80011,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00
