loc_name,adr_1,adr_2,adr_3,city,state,zip,dirs,county,services,start_date,end_date,start_time,end_time,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,1,"12200 N Pecos St, Westminster, CO 80234",,08:00 AM - 05:00 PM,,ho61707735,false,true,,,,poll69799542
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,2,"12200 N Pecos St, Westminster, CO 80234",,09:00 AM - 02:00 PM,,ho61707735,false,true,,,,poll69799542
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,3,"12200 N Pecos St, Westminster, CO 80234",,08:00 AM - 05:00 PM,,ho61707735,false,true,,,,poll69799542
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,4,"12200 N Pecos St, Westminster, CO 80234",,09:00 AM - 02:00 PM,,ho61707735,false,true,,,,poll69799542
Adams County Economic Development,12200 N Pecos St,,,Westminster,CO,80234.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,5,"12200 N Pecos St, Westminster, CO 80234",,08:00 AM - 05:00 PM,,ho61707735,false,true,,,,poll69799542
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,6,"4430 S Adams County Parkway, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho79110389,false,true,,,,poll96897133
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,7,"4430 S Adams County Parkway, Brighton, CO 80601",,09:00 AM - 02:00 PM,,ho79110389,false,true,,,,poll96897133
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,8,"4430 S Adams County Parkway, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho79110389,false,true,,,,poll96897133
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,9,"4430 S Adams County Parkway, Brighton, CO 80601",,09:00 AM - 02:00 PM,,ho79110389,false,true,,,,poll96897133
Adams County Government Center / West Conference Ctr,4430 S Adams County Parkway,,,Brighton,CO,80601.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,10,"4430 S Adams County Parkway, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho79110389,false,true,,,,poll96897133
Anythink Library äóñ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,11,"5877 E 120th Ave, Thornton, CO 80602",,08:00 AM - 05:00 PM,,ho82141194,false,true,,,,poll4430758
Anythink Library äóñ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,12,"5877 E 120th Ave, Thornton, CO 80602",,09:00 AM - 02:00 PM,,ho82141194,false,true,,,,poll4430758
Anythink Library äóñ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,13,"5877 E 120th Ave, Thornton, CO 80602",,08:00 AM - 05:00 PM,,ho82141194,false,true,,,,poll4430758
Anythink Library äóñ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,14,"5877 E 120th Ave, Thornton, CO 80602",,09:00 AM - 02:00 PM,,ho82141194,false,true,,,,poll4430758
Anythink Library äóñ Wright Farms,5877 E 120th Ave,,,Thornton,CO,80602.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,15,"5877 E 120th Ave, Thornton, CO 80602",,08:00 AM - 05:00 PM,,ho82141194,false,true,,,,poll4430758
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,16,"300 Strong St, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho81646925,false,true,,,,poll38372537
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,17,"300 Strong St, Brighton, CO 80601",,09:00 AM - 02:00 PM,,ho81646925,false,true,,,,poll38372537
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,18,"300 Strong St, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho81646925,false,true,,,,poll38372537
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,19,"300 Strong St, Brighton, CO 80601",,09:00 AM - 02:00 PM,,ho81646925,false,true,,,,poll38372537
Armory Performing Arts Centers,300 Strong St ,,,Brighton,CO,80601.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,20,"300 Strong St, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho81646925,false,true,,,,poll38372537
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,21,"3155 N Chambers Rd, Aurora, CO 80011",,08:00 AM - 05:00 PM,,ho42039329,false,true,,,,poll31259372
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,22,"3155 N Chambers Rd, Aurora, CO 80011",,09:00 AM - 02:00 PM,,ho42039329,false,true,,,,poll31259372
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,23,"3155 N Chambers Rd, Aurora, CO 80011",,08:00 AM - 05:00 PM,,ho42039329,false,true,,,,poll31259372
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,24,"3155 N Chambers Rd, Aurora, CO 80011",,09:00 AM - 02:00 PM,,ho42039329,false,true,,,,poll31259372
Aurora Workforce Center,3155 N Chambers Rd,,,Aurora,CO,80011.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,25,"3155 N Chambers Rd, Aurora, CO 80011",,08:00 AM - 05:00 PM,,ho42039329,false,true,,,,poll31259372
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,26,"355 S First St, Bennett, CO 80102",,08:00 AM - 05:00 PM,,ho33319469,false,true,,,,poll37370478
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,27,"355 S First St, Bennett, CO 80102",,09:00 AM - 02:00 PM,,ho33319469,false,true,,,,poll37370478
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,28,"355 S First St, Bennett, CO 80102",,08:00 AM - 05:00 PM,,ho33319469,false,true,,,,poll37370478
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,29,"355 S First St, Bennett, CO 80102",,09:00 AM - 02:00 PM,,ho33319469,false,true,,,,poll37370478
Bennett Motor Vehicle,355 S First St,,,Bennett,CO,80102.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,30,"355 S First St, Bennett, CO 80102",,08:00 AM - 05:00 PM,,ho33319469,false,true,,,,poll37370478
Commerce City Sheriffäó»s Substation,4201 E 72nd Ave,,,Commerce City,CO,80022.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,31,"4201 E 72nd Ave, Commerce City, CO 80022",,08:00 AM - 05:00 PM,,ho53656714,false,true,,,,poll7828650
Commerce City Sheriffäó»s Substation,4201 E 72nd Ave,,,Commerce City,CO,80022.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,32,"4201 E 72nd Ave, Commerce City, CO 80022",,09:00 AM - 02:00 PM,,ho53656714,false,true,,,,poll7828650
Commerce City Sheriffäó»s Substation,4201 E 72nd Ave,,,Commerce City,CO,80022.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,33,"4201 E 72nd Ave, Commerce City, CO 80022",,08:00 AM - 05:00 PM,,ho53656714,false,true,,,,poll7828650
Commerce City Sheriffäó»s Substation,4201 E 72nd Ave,,,Commerce City,CO,80022.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,34,"4201 E 72nd Ave, Commerce City, CO 80022",,09:00 AM - 02:00 PM,,ho53656714,false,true,,,,poll7828650
Commerce City Sheriffäó»s Substation,4201 E 72nd Ave,,,Commerce City,CO,80022.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,35,"4201 E 72nd Ave, Commerce City, CO 80022",,08:00 AM - 05:00 PM,,ho53656714,false,true,,,,poll7828650
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,36,"992 W 104th Ave, Northglenn, CO 80234",,08:00 AM - 05:00 PM,,ho27374741,false,true,,,,poll87715964
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,37,"992 W 104th Ave, Northglenn, CO 80234",,09:00 AM - 02:00 PM,,ho27374741,false,true,,,,poll87715964
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,38,"992 W 104th Ave, Northglenn, CO 80234",,08:00 AM - 05:00 PM,,ho27374741,false,true,,,,poll87715964
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,39,"992 W 104th Ave, Northglenn, CO 80234",,09:00 AM - 02:00 PM,,ho27374741,false,true,,,,poll87715964
Huron Shopping Center,992 W 104th Ave,,,Northglenn,CO,80234.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,40,"992 W 104th Ave, Northglenn, CO 80234",,08:00 AM - 05:00 PM,,ho27374741,false,true,,,,poll87715964
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031.0,,Adams,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,41,"8452 N Federal Blvd, Westminster, CO 80031",,08:00 AM - 05:00 PM,,ho92410023,false,true,,,,poll95894847
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031.0,,Adams,VSPC,10/29/16,10/29/16,09:00:00-6:00,14:00:00-6:00,42,"8452 N Federal Blvd, Westminster, CO 80031",,09:00 AM - 02:00 PM,,ho92410023,false,true,,,,poll95894847
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031.0,,Adams,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,43,"8452 N Federal Blvd, Westminster, CO 80031",,08:00 AM - 05:00 PM,,ho92410023,false,true,,,,poll95894847
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031.0,,Adams,VSPC,11/5/16,11/5/16,09:00:00-6:00,14:00:00-6:00,44,"8452 N Federal Blvd, Westminster, CO 80031",,09:00 AM - 02:00 PM,,ho92410023,false,true,,,,poll95894847
Westminster Motor Vehicle,8452 N Federal Blvd,,,Westminster,CO,80031.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,45,"8452 N Federal Blvd, Westminster, CO 80031",,08:00 AM - 05:00 PM,,ho92410023,false,true,,,,poll95894847
Brighton Recreation Center,555 N 11th Ave ,,,Brighton,CO,80601.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,46,"555 N 11th Ave, Brighton, CO 80601",,08:00 AM - 05:00 PM,,ho80666930,false,true,,,,poll64763141
Commerce City Rec Center,6060 Parkway Dr  ,,,Commerce City,CO,80022.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,47,"6060 Parkway Dr, Commerce City, CO 80022",,08:00 AM - 05:00 PM,,ho4016562,false,true,,,,poll10010718
Margaret Carpenter Recreation Center,11151 Colorado Blvd ,,,Thornton,CO,80233.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,48,"11151 Colorado Blvd, Thornton, CO 80233",,08:00 AM - 05:00 PM,,ho95937748,false,true,,,,poll33263184
Perl Mack Community Center,7125 Mariposa St ,,,Denver,CO,80221.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,49,"7125 Mariposa St, Denver, CO 80221",,08:00 AM - 05:00 PM,,ho43150941,false,true,,,,poll8780319
Reunion Recreation Center,17910 Parkside Dr N ,,,Commerce City,CO,80022.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,50,"17910 Parkside Dr N, Commerce City, CO 80022",,08:00 AM - 05:00 PM,,ho11861473,false,true,,,,poll38652488
The MAC Recreation Center,3295 West 72nd Ave ,,,Westminster,CO,80030.0,,Adams,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,51,"3295 West 72nd Ave, Westminster, CO 80030",,08:00 AM - 05:00 PM,,ho23220559,false,true,,,,poll62026748
County Clerk,8999 Independence Way,,,Alamosa,CO,81101.0,,Alamosa,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00,52,"8999 Independence Way, Alamosa, CO 81101",,08:00 AM - 05:00 PM,,ho24648572,false,true,,,,poll20195063
County Clerk,8999 Independence Way,,,Alamosa,CO,81101.0,,Alamosa,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00,53,"8999 Independence Way, Alamosa, CO 81101",,08:00 AM - 12:00 PM,,ho24648572,false,true,,,,poll20195063
County Clerk,8999 Independence Way,,,Alamosa,CO,81101.0,,Alamosa,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00,54,"8999 Independence Way, Alamosa, CO 81101",,08:00 AM - 05:00 PM,,ho24648572,false,true,,,,poll20195063
County Clerk,8999 Independence Way,,,Alamosa,CO,81101.0,,Alamosa,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00,55,"8999 Independence Way, Alamosa, CO 81101",,08:00 AM - 12:00 PM,,ho24648572,false,true,,,,poll20195063
County Clerk,8999 Independence Way,,,Alamosa,CO,81101.0,,Alamosa,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00,56,"8999 Independence Way, Alamosa, CO 81101",,08:00 AM - 05:00 PM,,ho24648572,false,true,,,,poll20195063
ASP Education Services Center 4,1085 Peoria Street,,,Aurora,CO,80011.0,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00,57,"1085 Peoria Street, Aurora, CO 80011",,09:00 AM - 03:00 PM,,ho27641996,false,true,,,,poll17026518
ASP Education Services Center 5,1085 Peoria Street,,,Aurora,CO,80011.0,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00,58,"1085 Peoria Street, Aurora, CO 80011",,09:00 AM - 05:00 PM,,ho27641996,false,true,,,,poll17026518
APS Professional Learning and Conference Center ,15771 E First Ave ,,,Aurora,CO,80011.0,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00,59,"15771 E First Ave, Aurora, CO 80011",,09:00 AM - 03:00 PM,,ho60356243,false,true,,,,poll17205960
APS Professional Learning and Conference Center ,15771 E First Ave ,,,Aurora,CO,80011.0,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00,60,"15771 E First Ave, Aurora, CO 80011",,09:00 AM - 05:00 PM,,ho60356243,false,true,,,,poll17205960
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00,61,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 05:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00,62,"14980 E Alameda Dr, Aurora, CO 80012",,10:00 AM - 07:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00,63,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 05:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00,64,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 03:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00,65,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 05:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00,66,"14980 E Alameda Dr, Aurora, CO 80012",,10:00 AM - 07:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00,67,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 05:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00,68,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 03:00 PM,,ho71924722,false,true,,,,poll14456897
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,,,Aurora,CO,80012.0,,Araphahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00,69,"14980 E Alameda Dr, Aurora, CO 80012",,09:00 AM - 05:00 PM,,ho71924722,false,true,,,,poll14456897
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,10/24/16,10/24/16,09:00:00-6:00,17:00:00-6:00,70,"15324 E Hampden Cir, Aurora, CO 80013",,09:00 AM - 05:00 PM,,ho37086282,false,true,,,,poll64563081
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,10/25/16,10/25/16,10:00:00-6:00,19:00:00-6:00,71,"15324 E Hampden Cir, Aurora, CO 80013",,10:00 AM - 07:00 PM,,ho37086282,false,true,,,,poll64563081
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,10/26/16,10/28/16,09:00:00-6:00,17:00:00-6:00,72,"15324 E Hampden Cir, Aurora, CO 80013",,09:00 AM - 05:00 PM,,ho37086282,false,true,,,,poll64563081
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00,73,"15324 E Hampden Cir, Aurora, CO 80013",,09:00 AM - 05:00 PM,,ho37086282,false,true,,,,poll64563081
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00,74,"15324 E Hampden Cir, Aurora, CO 80013",,10:00 AM - 07:00 PM,,ho37086282,false,true,,,,poll64563081
Mission Viejo Library,15324 E Hampden Cir,,,Aurora,CO,80013.0,,Araphahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00,75,"15324 E Hampden Cir, Aurora, CO 80013",,09:00 AM - 05:00 PM,,ho37086282,false,true,,,,poll64563081
