ocd_division,location_name,address1,address2,city,state,zip_code,directions,start_date,end_date,start_time,end_time,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/district:dc,DC BOE Office,441 4th Street NW,,Washington,DC,20001,,10/22/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,1,"441 4th Street NW, Washington, DC 20001",08:30:00-07:00 PM,,ho28726338,false,true,,,,poll66456210
ocd-division/country:us/district:dc,Malcolm X Elementary School,1351 Alaba Avenue SE,Ward 8,Washington,DC,20032,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,2,"1351 Alaba Avenue SE, Ward 8, Washington, DC 20032",08:30:00-07:00 PM,,ho79269348,false,true,,,,poll62887680
ocd-division/country:us/district:dc,Sherwood Recreation Center,640 10th Street NE,Ward 6,Washington,DC,20024,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,3,"640 10th Street NE, Ward 6, Washington, DC 20024",08:30:00-07:00 PM,,ho22041358,false,true,,,,poll15702469
ocd-division/country:us/district:dc,Chevy Chase Community Center,5601 Connecticut Avenue NW,Ward 3,Washington,DC,20015,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,4,"5601 Connecticut Avenue NW, Ward 3, Washington, DC 20015",08:30:00-07:00 PM,,ho88418864,false,true,,,,poll20890758
ocd-division/country:us/district:dc,Columbia Heights Community Center,1480 Girard Street NW,Ward 1,Washington,DC,20009,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,5,"1480 Girard Street NW, Ward 1, Washington, DC 20009",08:30:00-07:00 PM,,ho79917447,false,true,,,,poll87319983
ocd-division/country:us/district:dc,Dorothy Height/Benning Library,3935 Benning Rd. NE,Ward 7,Washington,DC,20019,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,6,"3935 Benning Rd. NE, Ward 7, Washington, DC 20019",08:30:00-07:00 PM,,ho80208848,false,true,,,,poll89099724
ocd-division/country:us/district:dc,King Greenleaf Recreation Center,201 N Street SW,Ward 6,Washington,DC,20024,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,7,"201 N Street SW, Ward 6, Washington, DC 20024",08:30:00-07:00 PM,,ho71998422,false,true,,,,poll46040589
ocd-division/country:us/district:dc,Old Council Chbers One Judiciary Square,441 4th Street NW,Ward 2,Washington,DC,20001,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,8,"441 4th Street NW, Ward 2, Washington, DC 20001",08:30:00-07:00 PM,,ho13020563,false,true,,,,poll4912769
ocd-division/country:us/district:dc,Takoma Community Center,300 Van Buren Street NW,Ward 4,Washington,DC,20011,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,9,"300 Van Buren Street NW, Ward 4, Washington, DC 20011",08:30:00-07:00 PM,,ho66860769,false,true,,,,poll83251246
ocd-division/country:us/district:dc,Turkey Thicket Recreation Center,1100 Michigan Avenue NE,Ward 5,Washington,DC,20017,,10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00,10,"1100 Michigan Avenue NE, Ward 5, Washington, DC 20017",08:30:00-07:00 PM,,ho31294357,false,true,,,,poll44582160
