countyne,sitene,location_ne,address,address2,address3,city,state,zip,directions,voterservices,start_date,end_date,start_time,end_time
Bradford County,County Commission Meeting Room,County Commissinon Meeting Room,945 N Temple Ave,,,Starke,FL,32091,,,11/6/16,11/6/16,09:00  - 05:00,18:00 - 05:00
Broward County,,African erican Research Library,2650 Sistrunk Boulevard,NW 6th Street,,Fort Lauderdale,FL,33306,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Coral Ridge Mall,3200 N. Federal Highway,,,Fort Lauderdale,FL,33306,North or Northwest Entrance,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Davie/ Cooper City Branch Library,4600 SW 82nd Avenue,,,Davie,FL,33328,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Emma Lou Olson Civic Center,1801 NE 6th Street,,,Pompano Beach,FL,33060,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Fort Lauderdale Branch Library/ Art Serve,"1350 E. Sunrise Boulevard, Room 130",,,Fort Lauderdale,FL,33304,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Hallandale Beach Cultural Community Center,410 SE 3rd Street,,,Hallandale Beach,FL,33009,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Hollywood Branch Library,2600 Hollywood Boulevard,,,Hollywood,FL,33020,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Mirar Branch Library,2050 Civic Center Place,,,Mirar,FL,33025,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,North Regional Library/ BC,1100 Coconut Creek Boulevard,,,Coconut Creek,FL,33066,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Northwest Regional Library,3151 University Drive,,,Coral Springs,FL,33065,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Oveta McKeithen Recreational Complex,445 SW 2nd Street,,,Deerfield Beach,FL,33441,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Parkland Recreation and Enrichment Center,10559 Trails End,,,Parkland,FL,33076,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,South Regional Library/ BC,7300 S. Pines Blvd.,,,Pembroke Pines,FL,33024,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Southwest Regional Library,16835 Sheridan Street,,,Pembroke Pines,FL,33331,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Sunrise Senior Center,10650 W. Oakland Park Boulevard,,,Sunrise,FL,33351,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Tarac Branch Library,8701 W. Commercial Boulevard,,,Tarac,FL,33321,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Weston Branch Library,4205 Bonaventure Boulevard,,,Weston,FL,33332,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,West Regional Library,8601 W. Broward Boulevard,,,Plantation,FL,33324,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,,Wilton Manors City Hall,2020 Wilton Drive,,,Wilton Manors,FL,33305,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,Supervisor of Elections` Branch Office,E. Pat Larkins,520 Martin Luther King Boulevard,,,Pompano Beach,FL,33060,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Broward County,Supervisor of Elections` Branch Office,Lauderhill Mall,1519 NW 40th Avenue,,,Lauderhill,FL,33313,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Charlotte County,Charlotte County Historical Courthouse,Charlotte County Historical Courthouse,226 Taylor St,2nd Floor,,Punta Gorda,FL,33950,,www.soe@charlottevotes.com,11/6/16,11/6/16,7:00  - 05:00,19:00 - 05:00
Charlotte County,Mid County Regional Library,Mid County Regional Library,2050 Forrest Nelson Blvd.,,,Port Charlotte,FL,33952,,soe@charlottevotes.com,11/6/16,11/6/16,7:00  - 05:00,19:00 - 05:00
Charlotte County,West County Annex,West County Annex,6868 San Casa Dr.,,,Englewood,FL,34224,,soe@charlottevotes.com,11/6/16,11/6/16,7:00  - 05:00,19:00 - 05:00
Duval County,,Argyle Branch Library,7973 Old Middleburg Rd S,,,Jacksonville,FL,,,duvalelections.com,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Beaches Branch Library,600 3rd St,,,Neptune Beach,FL,32266,,duvalelections.com,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Bradh Brooks Branch Library,1755 Edgewood Ave W,,,Jacksonville,FL,,,http://www.duvalelections.com,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Gateway Town Center,910 W 44th St,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Highlands Regional Library,1826 Dunn Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Legends Community Center,5130 Soutel Dr,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Mandarin Branch Library,3330 Kori Rd,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Murray Hill Branch Library,918 Edgewood Ave S,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Oceanway Community Center,12215 Sago Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Pablo Creek Regional Library,13295 Beach Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Regency Square Branch Library,9900 Regency Square Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,San Marco Branch Library,1513 LaSalle St,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Southeast Regional Library,10599 Deerwood Park Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,South Mandarin Branch Library,12125 San Jose Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Supervisor of Elections Main Office,105 East Monroe St,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,08:00  - 05:00,17:00 - 05:00
Duval County,,University Park Branch Library,3435 University Blvd N,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,Webb Wesconnett Regional Library,6887 103rd St,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Duval County,,West Branch Library,1425 Chaffee Rd S,,,Jacksonville,FL,,,http://www.duvalelections.com/,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
Hillsborough County,,Bloomingdale Regional Public Library ,1906 Bloomingdale Ave ,,,Valrico,FL,33596,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00
