county,site,loc_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Bradford County,County Commission Meeting Room,County Commissinon Meeting Room,945 N Temple Ave,,,Starke,FL,32091.0,,,11/6/16,11/6/16,09:00  - 05:00,18:00 - 05:00,1,"945 N Temple Ave, Starke, FL 32091",,09:00 AM-06:00 PM,,ho62068433,false,true,,,,poll11740564
Broward County,,African erican Research Library,2650 Sistrunk Boulevard,NW 6th Street,,Fort Lauderdale,FL,33306.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,2,"2650 Sistrunk Boulevard, Fort Lauderdale, FL 33306",NW 6th Street,07:00 AM-07:00 PM,,ho83868424,false,true,,,,poll77083548
Broward County,,Coral Ridge Mall,3200 N. Federal Highway,,,Fort Lauderdale,FL,33306.0,North or Northwest Entrance,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,3,"3200 N. Federal Highway, Fort Lauderdale, FL 33306",North or Northwest Entrance,07:00 AM-07:00 PM,,ho29669764,false,true,,,,poll69576050
Broward County,,Davie/ Cooper City Branch Library,4600 SW 82nd Avenue,,,Davie,FL,33328.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,4,"4600 SW 82nd Avenue, Davie, FL 33328",,07:00 AM-07:00 PM,,ho48277210,false,true,,,,poll71645915
Broward County,,Emma Lou Olson Civic Center,1801 NE 6th Street,,,Pompano Beach,FL,33060.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,5,"1801 NE 6th Street, Pompano Beach, FL 33060",,07:00 AM-07:00 PM,,ho91074001,false,true,,,,poll19055751
Broward County,,Fort Lauderdale Branch Library/ Art Serve,"1350 E. Sunrise Boulevard, Room 130",,,Fort Lauderdale,FL,33304.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,6,"1350 E. Sunrise Boulevard, Room 130, Fort Lauderdale, FL 33304",,07:00 AM-07:00 PM,,ho43121966,false,true,,,,poll70876634
Broward County,,Hallandale Beach Cultural Community Center,410 SE 3rd Street,,,Hallandale Beach,FL,33009.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,7,"410 SE 3rd Street, Hallandale Beach, FL 33009",,07:00 AM-07:00 PM,,ho9408296,false,true,,,,poll85491923
Broward County,,Hollywood Branch Library,2600 Hollywood Boulevard,,,Hollywood,FL,33020.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,8,"2600 Hollywood Boulevard, Hollywood, FL 33020",,07:00 AM-07:00 PM,,ho61013155,false,true,,,,poll86499863
Broward County,,Mirar Branch Library,2050 Civic Center Place,,,Mirar,FL,33025.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,9,"2050 Civic Center Place, Mirar, FL 33025",,07:00 AM-07:00 PM,,ho74995603,false,true,,,,poll46158170
Broward County,,North Regional Library/ BC,1100 Coconut Creek Boulevard,,,Coconut Creek,FL,33066.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,10,"1100 Coconut Creek Boulevard, Coconut Creek, FL 33066",,07:00 AM-07:00 PM,,ho21835488,false,true,,,,poll69271563
Broward County,,Northwest Regional Library,3151 University Drive,,,Coral Springs,FL,33065.0,,,11/6/16,11/6/16,07:00  - 05:00,19:00 - 05:00,11,"3151 University Drive, Coral Springs, FL 33065",,07:00 AM-07:00 PM,,ho50100311,false,true,,,,poll90493361
