election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ga/county:appling,appling_cou0001,poll36557195,st13,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ga/county:bacon,bacon_cou0002,poll40515553,st13,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ga/county:baldwin,baldwin_cou0003,poll65028978,st13,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ga/county:banks,banks_cou0004,poll67914767,st13,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ga/county:barrow,barrow_cou0005,poll79145403,st13,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ga/county:ben_hill,ben_hill_cou0006,poll58760185,st13,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ga/county:bleckley,bleckley_cou0007,poll58568805,st13,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ga/county:brantley,brantley_cou0008,poll53023458,st13,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ga/county:brooks,brooks_cou0009,poll47411147,st13,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ga/county:burke,burke_cou0010,poll45183456,st13,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ga/county:camden,camden_cou0011,poll18788402 poll9146010 poll572893 poll57414685,st13,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ga/county:candler,candler_cou0012,poll95769533,st13,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ga/county:carroll,carroll_cou0013,poll48748992 poll6458631,st13,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ga/county:catoosa,catoosa_cou0014,poll6073890 poll60888035,st13,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ga/county:charlton,charlton_cou0015,poll72189202 poll95214235,st13,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ga/county:cherokee,cherokee_cou0016,poll11786087 poll17714935 poll65887783 poll82477895 poll95630966,st13,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ga/county:clarke,clarke_cou0017,poll41641803 poll78563441 poll497885 poll56804289,st13,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ga/county:clay,clay_cou0018,poll80350715,st13,other,,loc0018
