election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:ga/county:appling,appling_cou0001,poll62113224,st13,other,,loc0001
,ocd-id,,ocd-division/country:us/state:ga/county:bacon,bacon_cou0002,poll28526320,st13,other,,loc0002
,ocd-id,,ocd-division/country:us/state:ga/county:baldwin,baldwin_cou0003,poll75519067,st13,other,,loc0003
,ocd-id,,ocd-division/country:us/state:ga/county:banks,banks_cou0004,poll24234168,st13,other,,loc0004
,ocd-id,,ocd-division/country:us/state:ga/county:barrow,barrow_cou0005,poll36427023,st13,other,,loc0005
,ocd-id,,ocd-division/country:us/state:ga/county:bartow,bartow_cou0006,poll22868651,st13,other,,loc0006
,ocd-id,,ocd-division/country:us/state:ga/county:ben_hill,ben_hill_cou0007,poll75630522,st13,other,,loc0007
,ocd-id,,ocd-division/country:us/state:ga/county:bibb,bibb_cou0008,poll24965299,st13,other,,loc0008
,ocd-id,,ocd-division/country:us/state:ga/county:bleckley,bleckley_cou0009,poll80796795,st13,other,,loc0009
,ocd-id,,ocd-division/country:us/state:ga/county:brantley,brantley_cou0010,poll6426697,st13,other,,loc0010
,ocd-id,,ocd-division/country:us/state:ga/county:brooks,brooks_cou0011,poll55612410,st13,other,,loc0011
,ocd-id,,ocd-division/country:us/state:ga/county:bryan,bryan_cou0012,poll65978484 poll99763485,st13,other,,loc0012
,ocd-id,,ocd-division/country:us/state:ga/county:burke,burke_cou0013,poll39546673,st13,other,,loc0013
,ocd-id,,ocd-division/country:us/state:ga/county:camden,camden_cou0014,poll2031949 poll2816528 poll91392655 poll73031270,st13,other,,loc0014
,ocd-id,,ocd-division/country:us/state:ga/county:candler,candler_cou0015,poll20467202,st13,other,,loc0015
,ocd-id,,ocd-division/country:us/state:ga/county:carroll,carroll_cou0016,poll45809951 poll93326381,st13,other,,loc0016
,ocd-id,,ocd-division/country:us/state:ga/county:catoosa,catoosa_cou0017,poll14430696 poll71462269,st13,other,,loc0017
,ocd-id,,ocd-division/country:us/state:ga/county:charlton,charlton_cou0018,poll38704511 poll71770500,st13,other,,loc0018
,ocd-id,,ocd-division/country:us/state:ga/county:chatham,chatham_cou0019,poll9976900 poll89438340 poll42944001 poll46817600 poll41858989,st13,other,,loc0019
,ocd-id,,ocd-division/country:us/state:ga/county:cherokee,cherokee_cou0020,poll57910880 poll80487660 poll37180647 poll69398406 poll53743202,st13,other,,loc0020
,ocd-id,,ocd-division/country:us/state:ga/county:clarke,clarke_cou0021,poll40513691 poll82897683 poll74013291 poll81865928,st13,other,,loc0021
,ocd-id,,ocd-division/country:us/state:ga/county:clay,clay_cou0022,poll75379853,st13,other,,loc0022
,ocd-id,,ocd-division/country:us/state:ga/county:clayton,clayton_cou0023,poll58154161 poll37495131 poll74031220 poll53383563 poll91913042 poll25665361,st13,other,,loc0023
,ocd-id,,ocd-division/country:us/state:ga/county:cobb,cobb_cou0024,poll12974307 poll90218357 poll37605541 poll61089832 poll35269138 poll57620569 poll11654407 poll51145123 poll57962659 poll76223692 poll12182691,st13,other,,loc0024
,ocd-id,,ocd-division/country:us/state:ga/county:colquitt,colquitt_cou0025,poll36771796,st13,other,,loc0025
,ocd-id,,ocd-division/country:us/state:ga/county:columbia,columbia_cou0026,poll93720196 poll32349591 poll53025110,st13,other,,loc0026
,ocd-id,,ocd-division/country:us/state:ga/county:cook,cook_cou0027,poll70468891,st13,other,,loc0027
,ocd-id,,ocd-division/country:us/state:ga/county:coweta,coweta_cou0028,poll68425348 poll1462229,st13,other,,loc0028
,ocd-id,,ocd-division/country:us/state:ga/county:crisp,crisp_cou0029,poll65039349 poll46728333,st13,other,,loc0029
,ocd-id,,ocd-division/country:us/state:ga/county:dawson,dawson_cou0030,poll85096385,st13,other,,loc0030
,ocd-id,,ocd-division/country:us/state:ga/county:dekalb,dekalb_cou0031,poll45261000 poll26202437 poll77974578 poll5672903 poll53894209 poll48769354 poll93851928 poll26557713 poll39567717 poll42748054,st13,other,,loc0031
,ocd-id,,ocd-division/country:us/state:ga/county:dodge,dodge_cou0032,poll74256932,st13,other,,loc0032
,ocd-id,,ocd-division/country:us/state:ga/county:dooly,dooly_cou0033,poll90693509,st13,other,,loc0033
,ocd-id,,ocd-division/country:us/state:ga/county:dougherty,doughtery_cou0034,poll44449423 poll37306650,st13,other,,loc0034
,ocd-id,,ocd-division/country:us/state:ga/county:douglas,douglas_cou0035,poll60568373 poll23208305 poll86549608 poll32318889 poll41090701,st13,other,,loc0035
,ocd-id,,ocd-division/country:us/state:ga/county:early,early_cou0036,poll25533280,st13,other,,loc0036
,ocd-id,,ocd-division/country:us/state:ga/county:elbert,elbert_cou0037,poll97770072,st13,other,,loc0037
,ocd-id,,ocd-division/country:us/state:ga/county:evans,evans_cou0038,poll32754596,st13,other,,loc0038
,ocd-id,,ocd-division/country:us/state:ga/county:fannin,fannin_cou0039,poll23356730,st13,other,,loc0039
,ocd-id,,ocd-division/country:us/state:ga/county:fayette,fayette_cou0040,poll67969312 poll98121603 poll66186326 poll49503235,st13,other,,loc0040
,ocd-id,,ocd-division/country:us/state:ga/county:floyd,floyd_cou0041,poll13071602 poll49276759 poll4095356,st13,other,,loc0041
,ocd-id,,ocd-division/country:us/state:ga/county:forsyth,forsyth_cou0042,poll92878343 poll12605148 poll99419529 poll37578982 poll52627475,st13,other,,loc0042
,ocd-id,,ocd-division/country:us/state:ga/county:franklin,franklin_cou0043,poll80660671,st13,other,,loc0043
