address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"69 Tippins Street, Suite 205,, Baxley, GA 31513",,08:30 AM-05:00 PM,,ho48187756,false,true,,,,poll62113224
"232 West 12th Street, Alma, GA 31510",,09:00 AM-05:00 PM,,ho27827803,false,true,,,,poll28526320
"121 N Wilkinson St, Ste 104,, Milledgeville, GA 31061",,08:30 AM-05:00 PM,,ho6567735,false,true,,,,poll75519067
"226 Candler Street, Homer, GA 30547",,08:00 AM-05:00 PM,,ho86527071,false,true,,,,poll24234168
"233 East Broad Street, Ground Floor,, Winder, GA 30680",,08:00 AM-05:00 PM,,ho72747457,false,true,,,,poll36427023
"115 W Pine Street, Fitzgerald, GA 31750",,07:30 AM-03:45 PM,,ho12079605,false,true,,,,poll75630522
"112 North Second Street, 2nd floor,, Cochran, GA 31014",,08:30 AM-05:00 PM,,ho49514272,false,true,,,,poll80796795
"10305 N. Main St, Suite 400,, Nahunta, GA 31553",,08:00 AM-05:00 PM,,ho75140238,false,true,,,,poll6426697
"610 S Highland Rd, Quitman, GA 31643",,08:00 AM-05:00 PM,,ho97820434,false,true,,,,poll55612410
"602 North Liberty Street, Room 104,, Waynesboro, GA 30830-1417",,09:00 AM-05:00 PM,,ho19708533,false,true,,,,poll39546673
"200 E 4th St, Woodbine, GA 31569",,09:00 AM-05:00 PM,,ho78940976,false,true,,,,poll73031270
"1050 Wildcat Dr, Kingsland, GA 31548",,09:00 AM-03:00 PM,,ho50619145,false,true,,,,poll2031949
"1915 Osborne St, Saint Marys, GA 31558",,09:00 AM-05:00 PM,,ho17270838,false,true,,,,poll91392655
"333 S Ashley St, Kingsland, GA 31548",,09:00 AM-05:00 PM,,ho87099775,false,true,,,,poll2816528
"621 West Pine Street, Metter, GA 30439",,08:00 AM-12:00 PM,,ho13388886,false,true,,,,poll20467202
"423 College Street, Carrollton, GA 30117",,08:00 AM-05:00 PM,,ho27856521,false,true,,,,poll45809951
"424 Leslie Dr, Villa Rica, GA 30180",,08:00 AM-07:00 PM,,ho31823770,false,true,,,,poll93326381
"5238 Evitt Street, Ringgold, GA 30736",,08:00 AM-05:00 PM,,ho87127596,false,true,,,,poll71462269
"3319 Lakeview Dr, Rossville, GA 30741",,08:00 AM-05:00 PM,,ho83332612,false,true,,,,poll14430696
"13063 Florida Ave, Saint George, GA 31562",,09:00 AM-04:00 PM,,ho34199131,false,true,,,,poll38704511
"1520 Third St, Suite C,, Folkston, GA 31537",,08:00 AM-05:00 PM,,ho14229642,false,true,,,,poll71770500
"400 East Main Street, Canton, GA 30114",,08:30 AM-05:00 PM,,ho71056081,false,true,,,,poll80487660
"435 Old Canton Road, Ball Ground, GA 30107",,09:00 AM-04:00 PM,,ho80893724,false,true,,,,poll37180647
"2740 East Cherokee Drive, Canton, GA 30115",,09:00 AM-04:00 PM,,ho4326845,false,true,,,,poll69398406
"4476 Towne Lake Parkway, Woodstock, GA 30189",,09:00 AM-04:00 PM,,ho82597729,false,true,,,,poll57910880
"7735 Main Street, Woodstock, GA 30188",,09:00 AM-04:00 PM,,ho4353581,false,true,,,,poll53743202
"155 East Washington Street, Athens, GA 30601",,08:00 AM-05:00 PM,,ho62045771,false,true,,,,poll40513691
"301 College Avenue, Conference Room 103,, Athens, GA 30601",,08:00 AM-05:00 PM,,ho86714050,false,true,,,,poll74013291
"2025 Baxter Street, Athens, GA 30606",,10:00 AM-06:00 PM,,ho51484410,false,true,,,,poll81865928
"45 Baxter St, Room 137,, Athens, GA 30612",,08:00 AM-05:00 PM,,ho80093739,false,true,,,,poll82897683
"210 South Washington Street, Fort Gaines, GA 39851",,08:00 AM-04:30 PM,,ho73550711,false,true,,,,poll75379853
"875 Six Flags Drive, Austell, GA 30168-7064",,08:00 AM-07:00 PM,,ho96227904,false,true,,,,poll11654407
"3820 Macedonia Rd, Powder Springs, GA 30127-36",,08:00 AM-07:00 PM,,ho99845994,false,true,,,,poll12182691
"3332 Sandy Plains Rd, Marietta, GA 30066-4743",,08:00 AM-07:00 PM,,ho73666365,false,true,,,,poll51145123
"1885 Roswell St, Smyrna, GA 30080-2213",,08:00 AM-07:00 PM,,ho26348980,false,true,,,,poll61089832
"736 Whitlock Ave. NW, Marietta, GA 30064-4663",,08:00 AM-05:00 PM,,ho92646427,false,true,,,,poll57620569
"548 S. Marietta Pkwy, Marietta, GA 30060-2251",,08:00 AM-07:00 PM,,ho59613122,false,true,,,,poll35269138
"4400 Lower Roswell Rd, Marietta, GA 30068-4233",,08:00 AM-07:00 PM,,ho89016627,false,true,,,,poll90218357
"620 Lions Club Dr, Mableton, GA 30126-2438",,08:00 AM-07:00 PM,,ho76745705,false,true,,,,poll76223692
"4845 Dallas Hwy, Powder Springs, GA 30127-4486",,08:00 AM-07:00 PM,,ho99996890,false,true,,,,poll57962659
"3413 Blue Springs Rd. NW, Kennesaw, GA 30144-1082",,08:00 AM-07:00 PM,,ho34093437,false,true,,,,poll37605541
"4120 Canton Rd, Marietta, GA 30066-2714",,08:00 AM-07:00 PM,,ho7601048,false,true,,,,poll12974307
