election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:georgia/county:appling,appling_cou0001,poll4196833,st13,other,,loc0001
,ocd-id,,ocd-division/country:us/state:georgia/county:bacon,bacon_cou0002,poll4738365,st13,other,,loc0002
,ocd-id,,ocd-division/country:us/state:georgia/county:baldwin,baldwin_cou0003,poll27039556,st13,other,,loc0003
,ocd-id,,ocd-division/country:us/state:georgia/county:banks,banks_cou0004,poll49564164,st13,other,,loc0004
,ocd-id,,ocd-division/country:us/state:georgia/county:barrow,barrow_cou0005,poll46759372,st13,other,,loc0005
,ocd-id,,ocd-division/country:us/state:georgia/county:ben_hill,ben_hill_cou0006,poll39153575,st13,other,,loc0006
,ocd-id,,ocd-division/country:us/state:georgia/county:bleckley,bleckley_cou0007,poll10829438,st13,other,,loc0007
,ocd-id,,ocd-division/country:us/state:georgia/county:brantley,brantley_cou0008,poll41647566,st13,other,,loc0008
,ocd-id,,ocd-division/country:us/state:georgia/county:brooks,brooks_cou0009,poll43811779,st13,other,,loc0009
,ocd-id,,ocd-division/country:us/state:georgia/county:burke,burke_cou0010,poll47045407,st13,other,,loc0010
,ocd-id,,ocd-division/country:us/state:georgia/county:camden,camden_cou0011,poll72493758 poll53676183 poll13081778 poll36661134,st13,other,,loc0011
,ocd-id,,ocd-division/country:us/state:georgia/county:candler,candler_cou0012,poll22161037,st13,other,,loc0012
,ocd-id,,ocd-division/country:us/state:georgia/county:carroll,carroll_cou0013,poll95772548 poll90482029,st13,other,,loc0013
,ocd-id,,ocd-division/country:us/state:georgia/county:catoosa,catoosa_cou0014,poll94095884 poll3255323,st13,other,,loc0014
,ocd-id,,ocd-division/country:us/state:georgia/county:charlton,charlton_cou0015,poll38918690 poll76736542,st13,other,,loc0015
,ocd-id,,ocd-division/country:us/state:georgia/county:cherokee,cherokee_cou0016,poll24393984 poll19316922 poll49061440 poll24342679 poll45248702,st13,other,,loc0016
,ocd-id,,ocd-division/country:us/state:georgia/county:clarke,clarke_cou0017,poll7285214 poll36543603 poll12358656 poll68591799,st13,other,,loc0017
,ocd-id,,ocd-division/country:us/state:georgia/county:clay,clay_cou0018,poll98226926,st13,other,,loc0018
,ocd-id,,ocd-division/country:us/state:georgia/county:cobb,cobb_cou0019,poll71629250 poll10857088 poll3316339 poll91198136 poll33461192 poll25233319 poll4875233 poll36159629 poll20840847 poll2544656 poll4903485,st13,other,,loc0019
,ocd-id,,ocd-division/country:us/state:georgia/county:colquitt,colquitt_cou0020,poll31060134,st13,other,,loc0020
,ocd-id,,ocd-division/country:us/state:georgia/county:columbia,columbia_cou0021,poll33756539 poll26326321 poll71404907,st13,other,,loc0021
,ocd-id,,ocd-division/country:us/state:georgia/county:cook,cook_cou0022,poll18894218,st13,other,,loc0022
,ocd-id,,ocd-division/country:us/state:georgia/county:coweta,coweta_cou0023,poll91479136 poll64536064,st13,other,,loc0023
,ocd-id,,ocd-division/country:us/state:georgia/county:crisp,crisp_cou0024,poll38327218 poll79064973,st13,other,,loc0024
,ocd-id,,ocd-division/country:us/state:georgia/county:dawson,dawson_cou0025,poll4333710,st13,other,,loc0025
