name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Appling County Board of Registration,"69 Tippins Street, Baxley, GA 31513",Suite 205,08:30 AM - 05:00 PM,,ho16863213,false,true,,,,poll2760099
,"232 West 12th Street, Alma, GA 31510",,09:00 AM - 05:00 PM,,ho27827803,false,true,,,,poll28526320
,"121 N Wilkinson St, Milledgeville, GA 31061",Ste 104,08:30 AM - 05:00 PM,,ho14264145,false,true,,,,poll15028956
Banks County Registrar's Office,"226 Candler Street, Homer, GA 30547",,08:00 AM - 05:00 PM,,ho86527071,false,true,,,,poll24234168
Barrow County Elections Office,"233 East Broad Street, Winder, GA 30680",Ground Floor,08:00 AM - 05:00 PM,,ho18405380,false,true,,,,poll31288812
Ben Hill Elections Office,"115 W Pine Street, Fitzgerald, GA 31750",,07:30 AM - 03:45 PM,,ho12079605,false,true,,,,poll75630522
Voter Registrar's Office,"112 North Second Street, Cochran, GA 31014",2nd floor,08:30 AM - 05:00 PM,,ho44270223,false,true,,,,poll99394211
Board of Elections and Registration Office,"10305 N. Main St, Nahunta, GA 31553",Suite 400,08:00 AM - 05:00 PM,,ho66872615,false,true,,,,poll12618047
Elections Office,"610 S Highland Rd, Quitman, GA 31643",,08:00 AM - 05:00 PM,,ho97820434,false,true,,,,poll55612410
Burke County Courthouse,"602 North Liberty Street, Waynesboro, GA 30830",Room 104,09:00 AM - 05:00 PM,,ho62313271,false,true,,,,poll89405789
Voter Registration,"200 E 4th St, Woodbine, GA 31569",,09:00 AM - 05:00 PM,,ho78940976,false,true,,,,poll73031270
Kingsland Rec Center,"1050 Wildcat Dr, Kingsland, GA 31548",,09:00 AM - 03:00 PM,,ho50619145,false,true,,,,poll2031949
Salvation Army Resource Center,"1915 Osborne St, Saint Marys, GA 31558",,09:00 AM - 05:00 PM,,ho17270838,false,true,,,,poll91392655
Dept. of Motor Vehicles,"333 S Ashley St, Kingsland, GA 31548",,09:00 AM - 05:00 PM,,ho87099775,false,true,,,,poll2816528
Jack Strickland Building,"621 West Pine Street, Metter, GA 30439",,08:00 AM - 12:00 PM,,ho13388886,false,true,,,,poll20467202
Carroll County Board of Elections and Registration,"423 College Street, Carrollton, GA 30117",Lower Level,08:00 AM - 05:00 PM,,ho27856521,false,true,,,,poll45809951
Powell Park Arts Center,"424 Leslie Dr, Villa Rica, GA 30180",,08:00 AM - 07:00 PM,,ho31823770,false,true,,,,poll93326381
Freedom Center,"5238 Evitt Street, Ringgold, GA 30736",,08:00 AM - 05:00 PM,,ho87127596,false,true,,,,poll71462269
Westside Voting Precinct,"3319 Lakeview Dr, Rossville, GA 30741",,08:00 AM - 05:00 PM,,ho83332612,false,true,,,,poll14430696
Saint George Community Center,"13063 Florida Ave, Saint George, GA 31562",,09:00 AM - 04:00 PM,,ho34199131,false,true,,,,poll38704511
"Charlton County Board of Elections & Registration, Courthouse","1520 Third St, Folkston, GA 31537",Suite C,08:00 AM - 05:00 PM,,ho78138102,false,true,,,,poll10461872
Cherokee County Elections & Registration,"400 East Main Street, Canton, GA 30114",,08:30 AM - 05:00 PM,,ho71056081,false,true,,,,poll80487660
Ball Ground Public Library,"435 Old Canton Road, Ball Ground, GA 30107",,09:00 AM - 04:00 PM,,ho80893724,false,true,,,,poll37180647
Hickory Flat Public Library,"2740 East Cherokee Drive, Canton, GA 30115",,09:00 AM - 04:00 PM,,ho4326845,false,true,,,,poll69398406
Rose Creek Public Library,"4476 Towne Lake Parkway, Woodstock, GA 30189",,09:00 AM - 04:00 PM,,ho82597729,false,true,,,,poll57910880
Woodstock Public Library,"7735 Main Street, Woodstock, GA 30188",,09:00 AM - 04:00 PM,,ho4353581,false,true,,,,poll53743202
Athens-Clarke County Board of Elections,"155 East Washington Street, Athens, GA 30601",,08:00 AM - 05:00 PM,,ho62045771,false,true,,,,poll40513691
Athens Clarke-County City Hall,"301 College Avenue, Athens, GA 30601",Conference Room 103,08:00 AM - 05:00 PM,,ho31102330,false,true,,,,poll26289873
