start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho73749651,sch0001
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho73749651,sch0002
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho73749651,sch0003
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho73749651,sch0004
09:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho19625673,sch0005
09:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho19625673,sch0006
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho19625673,sch0007
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho19625673,sch0008
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho29217598,sch0009
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho29217598,sch0010
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho29217598,sch0011
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho29217598,sch0012
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho4815738,sch0013
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho4815738,sch0014
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho4815738,sch0015
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho4815738,sch0016
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho5658410,sch0017
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho5658410,sch0018
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho5658410,sch0019
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho5658410,sch0020
07:30:00-04:00,15:45:00-04:00,,,,2016-10-17,2016-10-21,ho17275213,sch0021
07:30:00-04:00,15:45:00-04:00,,,,2016-10-24,2016-10-28,ho17275213,sch0022
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho17275213,sch0023
07:30:00-04:00,15:45:00-04:00,,,,2016-10-31,2016-11-04,ho17275213,sch0024
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho44383637,sch0025
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho44383637,sch0026
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho44383637,sch0027
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho44383637,sch0028
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho75928731,sch0029
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho75928731,sch0030
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho75928731,sch0031
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho75928731,sch0032
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho36843494,sch0033
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho36843494,sch0034
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho36843494,sch0035
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho36843494,sch0036
09:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho76494979,sch0037
09:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho76494979,sch0038
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho76494979,sch0039
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho76494979,sch0040
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho59288617,sch0041
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho59288617,sch0042
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho59288617,sch0043
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho59288617,sch0044
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho1569449,sch0045
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho86717595,sch0046
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho10418182,sch0047
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho64710616,sch0048
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho64710616,sch0049
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho64710616,sch0050
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho64710616,sch0051
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho48101864,sch0052
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho48101864,sch0053
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho48101864,sch0054
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho48101864,sch0055
