start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho16863213,sch0001
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho16863213,sch0002
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho16863213,sch0003
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho16863213,sch0004
09:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho27827803,sch0005
09:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho27827803,sch0006
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho27827803,sch0007
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho27827803,sch0008
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho14264145,sch0009
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho14264145,sch0010
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho14264145,sch0011
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho14264145,sch0012
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho86527071,sch0013
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho86527071,sch0014
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho86527071,sch0015
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho86527071,sch0016
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho18405380,sch0017
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho18405380,sch0018
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho18405380,sch0019
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho18405380,sch0020
07:30:00-04:00,15:45:00-04:00,,,,2016-10-17,2016-10-21,ho12079605,sch0021
07:30:00-04:00,15:45:00-04:00,,,,2016-10-24,2016-10-28,ho12079605,sch0022
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho12079605,sch0023
07:30:00-04:00,15:45:00-04:00,,,,2016-10-31,2016-11-04,ho12079605,sch0024
08:30:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho44270223,sch0025
08:30:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho44270223,sch0026
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho44270223,sch0027
08:30:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho44270223,sch0028
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho66872615,sch0029
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho66872615,sch0030
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho66872615,sch0031
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho66872615,sch0032
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho97820434,sch0033
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho97820434,sch0034
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho97820434,sch0035
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho97820434,sch0036
09:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho62313271,sch0037
09:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho62313271,sch0038
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho62313271,sch0039
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho62313271,sch0040
09:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho78940976,sch0041
09:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho78940976,sch0042
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho78940976,sch0043
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho78940976,sch0044
09:00:00-04:00,15:00:00-04:00,,,,2016-10-29,2016-10-29,ho50619145,sch0045
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho17270838,sch0046
09:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho87099775,sch0047
08:00:00-04:00,12:00:00-04:00,,,,2016-10-17,2016-10-21,ho13388886,sch0048
13:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho13388886,sch0049
08:00:00-04:00,12:00:00-04:00,,,,2016-10-24,2016-10-28,ho13388886,sch0050
13:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho13388886,sch0051
09:00:00-04:00,12:00:00-04:00,,,,2016-10-29,2016-10-29,ho13388886,sch0052
13:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho13388886,sch0053
08:00:00-04:00,12:00:00-04:00,,,,2016-10-31,2016-11-04,ho13388886,sch0054
13:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-04,ho13388886,sch0055
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho27856521,sch0056
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho27856521,sch0057
08:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho27856521,sch0058
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho27856521,sch0059
08:00:00-04:00,19:00:00-04:00,,,,2016-10-31,2016-11-04,ho31823770,sch0060
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho87127596,sch0061
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho87127596,sch0062
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho87127596,sch0063
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-02,ho87127596,sch0064
08:00:00-04:00,19:00:00-04:00,,,,2016-11-03,2016-11-03,ho87127596,sch0065
08:00:00-04:00,17:00:00-04:00,,,,2016-11-04,2016-11-04,ho87127596,sch0066
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho83332612,sch0067
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho83332612,sch0068
09:00:00-04:00,16:00:00-04:00,,,,2016-10-29,2016-10-29,ho83332612,sch0069
08:00:00-04:00,17:00:00-04:00,,,,2016-10-31,2016-11-02,ho83332612,sch0070
08:00:00-04:00,19:00:00-04:00,,,,2016-11-03,2016-11-03,ho83332612,sch0071
08:00:00-04:00,17:00:00-04:00,,,,2016-11-04,2016-11-04,ho83332612,sch0072
09:00:00-04:00,16:00:00-04:00,,,,2016-10-22,2016-10-22,ho34199131,sch0073
08:00:00-04:00,17:00:00-04:00,,,,2016-10-17,2016-10-21,ho78138102,sch0074
08:00:00-04:00,17:00:00-04:00,,,,2016-10-24,2016-10-28,ho78138102,sch0075
