county,address_line,directions,start_time,end_time,start_date,end_date
County of Hawaii,"County of Hawaii Aupuni Center, 101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
County of Hawaii,"County of Hawaii Aupuni Center, 101 Pauahi Street, Suite 1, Hilo, Hawaii 96720",Conference Room,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
County of Hawaii,"West Hawaii Civic Center,
 74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
County of Hawaii,"West Hawaii Civic Center,
 74-5044 Ane Keohokalole Highway, Kailua Kona, Hawaii 96740",Community Room (Building G),8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
County of Hawaii,"Waimea Community Center, 65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
County of Hawaii,"Waimea Community Center, 65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,12:00:00 - 09:00,10/29/16,10/29/16
County of Hawaii,"Waimea Community Center, 65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/4/16
County of Hawaii,"Waimea Community Center, 65-1260 Kawaihae Road, Kamuela, Hawaii 96743",,8:00:00 - 09:00,12:00:00 - 09:00,11/5/16,11/5/16
County of Hawaii,"Pahala Community Center, 96-1149 Kamani Street, Pahala, Hawaii 96777",,9:00:00 - 09:00,12:00:00 - 09:00,10/25/16,10/28/16
County of Hawaii,"Pahala Community Center, 96-1149 Kamani Street, Pahala, Hawaii 96777",,13:00:00 - 09:00,15:00:00 - 09:00,10/31/16,11/3/16
County of Hawaii,"Pahala Community Center, 96-1149 Kamani Street, Pahala, Hawaii 96777",,9:00:00 - 09:00,12:00:00 - 09:00,10/25/16,10/28/16
County of Hawaii,"Pahala Community Center, 96-1149 Kamani Street, Pahala, Hawaii 96777",,13:00:00 - 09:00,15:00:00 - 09:00,10/31/16,11/3/16
County of Kauai,"Lihue Neighborhood Center, 3353 Eono Street, Lihue, Hawaii 96766",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
County of Kauai,"Lihue Neighborhood Center, 3353 Eono Street, Lihue, Hawaii 96766",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
County of Maui,"Office of the County Clerk, 200 South High Street, Room #708, Wailuku, Hawaii 96793",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
County of Maui,"Office of the County Clerk, 200 South High Street, Room #708, Wailuku, Hawaii 96793",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,10/25/16,11/5/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,13:00:00 - 09:00,16:00:00 - 09:00,10/25/16,11/5/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,10/29/16,10/29/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,10/25/16,10/28/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,13:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/4/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,11/5/16,11/5/16
County of Maui,"Mitchell Pauole Center, 90 Ainoa Street, Kaunakakai, Hawaii 96748",Conference Room,8:00:00 - 09:00,12:00:00 - 09:00,10/25/16,11/5/16
City & County of Honolulu,"Honolulu Hale, 530 South King Street, Honolulu, Hawaii 96813",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
City & County of Honolulu,"Honolulu Hale, 530 South King Street, Honolulu, Hawaii 96813",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
City & County of Honolulu,"Kapolei Hale, 1000 Uluohia Street, Kapolei, Hawaii 96707",,8:00:00 - 09:00,16:00:00 - 09:00,10/25/16,10/29/16
City & County of Honolulu,"Kapolei Hale, 1000 Uluohia Street, Kapolei, Hawaii 96707",,8:00:00 - 09:00,16:00:00 - 09:00,10/31/16,11/5/16
