id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0002,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0003,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0004,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0005,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0006,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0007,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0008,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0009,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0010,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0011,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
e0012,11/8/2016,2016 General Election,federal,st15,true,,,,,false,2016-10-10,2016-11-01,
