start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho12785108,sch0001
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho12785108,sch0002
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho12785108,sch0003
08:00:00-06:00,17:00:00-06:00,,,,2016-09-23,2016-09-23,ho35836011,sch0004
08:00:00-06:00,17:00:00-06:00,,,,2016-09-26,2016-09-30,ho35836011,sch0005
08:00:00-06:00,17:00:00-06:00,,,,2016-10-03,2016-10-07,ho35836011,sch0006
08:00:00-06:00,17:00:00-06:00,,,,2016-10-11,2016-10-14,ho35836011,sch0007
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho35836011,sch0008
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho35836011,sch0009
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho35836011,sch0010
09:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho70416843,sch0011
08:00:00-06:00,16:30:00-06:00,,,,2016-09-26,2016-09-30,ho70416843,sch0012
08:00:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho70416843,sch0013
08:00:00-06:00,16:30:00-06:00,,,,2016-10-11,2016-10-14,ho70416843,sch0014
08:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho70416843,sch0015
08:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho70416843,sch0016
08:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-03,ho70416843,sch0017
08:00:00-06:00,16:30:00-06:00,,,,2016-09-23,2016-09-23,ho32395439,sch0018
08:00:00-06:00,16:30:00-06:00,,,,2016-09-26,2016-09-30,ho32395439,sch0019
08:00:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho32395439,sch0020
08:00:00-06:00,16:30:00-06:00,,,,2016-10-11,2016-10-14,ho32395439,sch0021
08:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho32395439,sch0022
08:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho32395439,sch0023
08:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho32395439,sch0024
09:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho93513964,sch0025
09:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho93513964,sch0026
09:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho93513964,sch0027
09:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho93513964,sch0028
09:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho93513964,sch0029
08:30:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho41611951,sch0030
08:30:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho41611951,sch0031
08:30:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-04,ho41611951,sch0032
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho24385978,sch0033
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho24385978,sch0034
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho24385978,sch0035
08:00:00-06:00,17:00:00-06:00,,,,2016-09-23,2016-09-23,ho30021981,sch0036
08:00:00-06:00,17:00:00-06:00,,,,2016-09-26,2016-09-30,ho30021981,sch0037
08:00:00-06:00,17:00:00-06:00,,,,2016-10-03,2016-10-07,ho30021981,sch0038
08:00:00-06:00,17:00:00-06:00,,,,2016-10-10,2016-10-14,ho30021981,sch0039
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho30021981,sch0040
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho30021981,sch0041
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho30021981,sch0042
09:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho65686351,sch0043
09:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho65686351,sch0044
09:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho65686351,sch0045
09:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho65686351,sch0046
09:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho65686351,sch0047
08:00:00-06:00,17:00:00-06:00,,,,2016-10-03,2016-10-07,ho23818093,sch0048
08:00:00-06:00,17:00:00-06:00,,,,2016-10-11,2016-10-14,ho23818093,sch0049
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho23818093,sch0050
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho23818093,sch0051
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho23818093,sch0052
09:00:00-07:00,17:00:00-07:00,,,,2016-09-23,2016-09-23,ho86762439,sch0053
09:00:00-07:00,17:00:00-07:00,,,,2016-09-26,2016-09-30,ho86762439,sch0054
09:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho86762439,sch0055
