start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
07:00:00-06:00,18:00:00-06:00,,,,2016-10-17,2016-10-21,ho10016664,sch0001
07:00:00-06:00,18:00:00-06:00,,,,2016-10-24,2016-10-28,ho10016664,sch0002
07:00:00-06:00,18:00:00-06:00,,,,2016-10-31,2016-11-03,ho10016664,sch0003
10:00:00-06:00,16:00:00-06:00,,,,2016-10-29,2016-10-29,ho10016664,sch0004
07:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho10016664,sch0005
09:00:00-06:00,18:00:00-06:00,,,,2016-10-17,2016-10-21,ho3357057,sch0006
09:00:00-06:00,18:00:00-06:00,,,,2016-10-24,2016-10-28,ho3357057,sch0007
09:00:00-06:00,18:00:00-06:00,,,,2016-10-31,2016-11-03,ho3357057,sch0008
09:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho3357057,sch0009
09:00:00-06:00,18:00:00-06:00,,,,2016-10-17,2016-10-21,ho82880809,sch0010
09:00:00-06:00,18:00:00-06:00,,,,2016-10-24,2016-10-28,ho82880809,sch0011
09:00:00-06:00,18:00:00-06:00,,,,2016-10-31,2016-11-03,ho82880809,sch0012
09:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho82880809,sch0013
09:00:00-06:00,18:00:00-06:00,,,,2016-10-17,2016-10-21,ho40741415,sch0014
09:00:00-06:00,18:00:00-06:00,,,,2016-10-24,2016-10-28,ho40741415,sch0015
09:00:00-06:00,18:00:00-06:00,,,,2016-10-31,2016-11-03,ho40741415,sch0016
09:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho40741415,sch0017
08:00:00-06:00,17:00:00-06:00,,,,2016-09-23,2016-09-23,ho91843171,sch0018
08:00:00-06:00,17:00:00-06:00,,,,2016-09-26,2016-09-30,ho91843171,sch0019
08:00:00-06:00,17:00:00-06:00,,,,2016-10-03,2016-10-07,ho91843171,sch0020
08:00:00-06:00,17:00:00-06:00,,,,2016-10-11,2016-10-14,ho91843171,sch0021
08:00:00-06:00,17:00:00-06:00,,,,2016-10-17,2016-10-21,ho91843171,sch0022
08:00:00-06:00,17:00:00-06:00,,,,2016-10-24,2016-10-28,ho91843171,sch0023
08:00:00-06:00,17:00:00-06:00,,,,2016-10-31,2016-11-04,ho91843171,sch0024
09:00:00-06:00,17:00:00-06:00,,,,2016-11-04,2016-11-04,ho98137561,sch0025
09:00:00-06:00,16:30:00-06:00,,,,2016-09-26,2016-09-30,ho98137561,sch0026
09:00:00-06:00,16:30:00-06:00,,,,2016-10-03,2016-10-07,ho98137561,sch0027
09:00:00-06:00,16:30:00-06:00,,,,2016-10-11,2016-10-14,ho98137561,sch0028
09:00:00-06:00,16:30:00-06:00,,,,2016-10-17,2016-10-21,ho98137561,sch0029
09:00:00-06:00,16:30:00-06:00,,,,2016-10-24,2016-10-28,ho98137561,sch0030
09:00:00-06:00,16:30:00-06:00,,,,2016-10-31,2016-11-03,ho98137561,sch0031
08:00:00-06:00,17:00:00-06:00,,,,2016-09-23,2016-09-23,ho1554818,sch0032
08:00:00-06:00,17:00:00-06:00,,,,2016-09-26,2016-09-30,ho1554818,sch0033
08:00:00-06:00,17:00:00-06:00,,,,2016-10-03,2016-10-07,ho1554818,sch0034
