election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:adams,ocd-division/country:us/state:il/county:ad0008,poll2069996,st17,other,,loc0001
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:alexander,ocd-division/country:us/state:il/county:alexan0024,poll46180870,st17,other,,loc0002
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:bond,ocd-division/country:us/state:il/county:b0026,poll89563775,st17,other,,loc0003
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:boone,ocd-division/country:us/state:il/county:bo0040,poll94706128,st17,other,,loc0004
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:brown,ocd-division/country:us/state:il/county:br0043,poll20460238,st17,other,,loc0005
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:bureau,ocd-division/country:us/state:il/county:bur0061,poll62718731 poll10102225 poll90383671,st17,other,,loc0006
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:calhoun,ocd-division/country:us/state:il/county:calh0070,poll15093296,st17,other,,loc0007
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:carroll,ocd-division/country:us/state:il/county:carr0074,poll25985552,st17,other,,loc0008
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:cass,ocd-division/country:us/state:il/county:c0085,poll47010700 poll5864977,st17,other,,loc0009
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:christian,ocd-division/country:us/state:il/county:christ0093,poll69411557,st17,other,,loc0010
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:clark,ocd-division/country:us/state:il/county:cl0110,poll33171586,st17,other,,loc0011
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:clay,ocd-division/country:us/state:il/county:c0119,poll52964475,st17,other,,loc0012
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:clinton,ocd-division/country:us/state:il/county:clin0126,poll26021878,st17,other,,loc0013
,ocd-id,,ocd-division/country/us/state:il/county:ocd-division/country:us/state:il/county:coles,ocd-division/country:us/state:il/county:co0148,poll96092073 poll17314408 poll52817737,st17,other,,loc0014
